sample_id	location_id	sample_collection_method	sample_collection_by	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_flow	sample_received_by	sample_received_date	sample_comment
M04-0433	FarmingtonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/08/2026 09:00 AM	02/09/2026 08:00 AM	02/09/2026 09:15 AM	0.063	LS	02/12/2026	NA
M03-1007	ManningtonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/08/2026 08:00 AM	02/09/2026 08:00 AM	02/09/2026 08:00 AM	0.159	LS	02/12/2026	NA
M03-1008	ManningtonWWTP-01	Composite	NA	Routine Surveillance	Pass	01/25/2026 08:00 AM	01/26/2026 08:00 AM	01/26/2026 08:00 AM	0.294	LS	02/12/2026	NA
M03-1009	ManningtonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/15/2026 08:00 AM	02/16/2026 08:00 AM	02/16/2026 08:00 AM	0.406	LS	02/19/2026	NA
M04-0428	FarmingtonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/15/2026 09:00 AM	02/16/2026 09:00 AM	02/16/2026 09:00 AM	0.123	LS	02/19/2026	NA
O01-0577	GraftonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/08/2026 08:00 AM	02/09/2026 08:00 AM	02/09/2026 08:00 AM	0.89	LS	02/12/2026	NA
R02-1012	ElkinsWWTP-01	Composite	NA	Routine Surveillance	Pass	02/08/2026 08:00 AM	02/09/2026 08:00 AM	02/09/2026 08:00 AM	2.1	LS	02/12/2026	NA
R02-1013	ElkinsWWTP-01	Composite	NA	Routine Surveillance	Pass	02/15/2026 08:00 AM	02/16/2026 08:00 AM	02/16/2026 08:00 AM	2.5	LS	02/19/2026	NA
Q01-1011	MadisonWWTP-01	Composite	NA	Routine Surveillance	Pass	02/04/2026 08:00 AM	02/09/2026 08:00 AM	02/09/2026 08:00 AM	0.30	LS	02/12/2026	NA
Q01-1012	MadisonWWTP-01	Composite	NA	Routine Surveillance	Pass	01/28/2026 08:00 AM	02/02/2026 08:00 AM	02/02/2026 08:00 AM	0.355	LS	02/12/2026	NA
U01-0109	WhiteOakWWTP-01	Composite	NA	Routine Surveillance	Pass	02/08/2026 10:30 PM	02/09/2026 10:30 PM	02/09/2026 10:30 PM	0.370	LS	02/12/2026	NA
W01-1000	SummersvilleWWTP-01	Composite	NA	Routine Surveillance	Pass	02/15/2026 07:00 AM	02/16/2026 07:00 AM	02/16/2026 07:00 AM	1.91	LS	02/19/2026	NA
