Sample ID	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A02-0009	Sample	Sample	WVU Morgantown	Monongalia	CollegePark-02	Pass	Processing	Complete	Composite	08/11/2021 09:55 AM	08/13/2021 09:55 AM	08/13/2021 10:18 AM	Eric Lundstrom		19134	SARS-CoV-2 N1	49.24017906	0	1714.019012	52317.69228	SARS-CoV-2 N2	46.77571774	0	1783.141785	49699.20111					Human RNase P	24837.25324	23.37623835	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				Josh Lambert	08/13/2021	7.8	8/16/21	NT04155	Halcyon		CP000000	B01	JL	8/16/21	2102028	Halcyon		EP000000	A07	JL	08/16/2021	OneStep RT-ddPCR	Manual	DQ	58477036	QX 200		AP000000	A07	JL	
A02-0355	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
L01-0044	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01		Processing	Processing																																																																																																
G02-0002	Sample	Sample	WVU Keyser	Mineral	PotomacState-01	Pass	Processing	Complete	Composite	10/09/2021 09:00 AM	10/11/2021 09:00 AM	10/11/2021 10:20 AM	MH		12076	SARS-CoV-2 N1	0	0	1707.766876	0	SARS-CoV-2 N2	17.34201312	0	1836.244965	18425.88894					Human RNase P	23692.39241	22.29872227	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/13/2021	6.89	10/13/21	NT04474	Halcyon		CP0024	B01	JL	10/13/21	2108255	Halcyon	C5	EP0024	A05	JL	10/14/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	C5	AP0013	E02	JL	
A03-0103	Sample	Sample	K-12	Monongalia	NorthES-01	Pass	Processing	Processing	Composite	10/20/2021 06:00 AM	10/20/2021 02:00 PM	10/21/2021 09:25 AM	BL																				10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05																																							JL	10/22/2021	7.23	10/28/21	NT04474	Halcyon		CP0030	A05	JL	10/28/21	2108255	Halcyon	A5	EP0030	A05	JL											
H01-0034	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	11/07/2021 08:00 AM	11/08/2021 08:00 AM	11/08/2021 08:15 AM	Q		16263	SARS-CoV-2 N1	29	0	1193.4	30812.5	SARS-CoV-2 N2	40.6	0	1245	43137.5					Human RNase P	21462.5	20.2	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				AJ	11/11/2021	6.87	11/12/21	NT04474	Kookaburra		CP0035	B02	AJ	11/12/21	2108255	Kookaburra	G6	EP0035	A06	AJ	11/18/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	G6	AP0020	D06	JL	
A02-0284	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
K01-0046	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01		Processing	Processing																																																																																																
H01-0049	G	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	11/23/2021 08:00 AM	11/24/2021 08:00 AM	11/24/2021 08:15 AM		1.3	10783	SARS-CoV-2 N1	43.68220329	0	721.9914246	77808.92462	SARS-CoV-2 N2	17.46315002	0	850.2881622	31106.23598					Human RNase P	19438.69226	10.91295004	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				JL	12/10/2021	7.14	12/10/21	NT04474	Halcyon		CP0047	D03	AJ	12/10/21	2108255	Halcyon	G5	EP0047	C05	AJ	12/14/2021	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	G5	AP0027	E05	JL	
A1085	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	07/05/2021 12:00 AM	07/05/2021 11:55 PM	07/05/2021 11:55 PM	EL	6.52	14894	SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0	BRSV			0			0	10	Ceres Nanotrap	0.95	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	N1/N2/BRSV Triplex	BRSV Triplex	0.005																																				JL	07/09/2021	6.48	7/9/21			pH - 6.48				7/9/21						JL	07/09/2021	OneStep RT-ddPCR	Manual	DQ							
A02-0194	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Processing	Complete	Composite	10/27/2021 09:25 AM	10/29/2021 09:25 AM	10/29/2021 11:17 AM	CA		13476	SARS-CoV-2 N1	12.22533941	0	1040.980072	12989.42313	SARS-CoV-2 N2	5.238653421	0	1205.935364	5566.06926	None				Human RNase P	3710.574992	3.492305875	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/29/2021	7.01	11/2/21	NT04474	Kookaburra		CP0031	C02	JL	11/2/21	21108255	Kookaburra	F7	EP0031	A07	JL	11/04/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	F7	AP0016	A07	JL	
A02-0156 b	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected	Complete	Composite	03/04/2021 12:00 PM	03/04/2021 12:00 PM	03/04/2021 12:00 PM	EL		12429	SARS-CoV-2 N1				5670	SARS-CoV-2 N2				0					Human RNase P	45450		100	PEG Precipitation	5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	8/11/21																03/15/2021	OneStep RT-ddPCR	Manual	DQ		QX 200					Was A07-0018
K01-0042	Sample	Sample	WWTP	Wood	ParkersburgWWTP-01		Processing	Processing																																																																																																
A1005	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	03/14/2021 05:30 AM	03/14/2021 11:59 AM	03/14/2021 11:59 AM	GG	8.712	9233	SARS-CoV-2 N1				0	SARS-CoV-2 N2				0					Human RNase P	26010		100	PEG Precipitation	3.4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	03/19/2021		3/19/21						TD	3/21/21						TD	03/22/2021	OneStep RT-ddPCR	Manual	DQ		QX 200					
I01-0006	Sample	Sample	WWTP	Morgan	WarmSpringsWWTP-01	Pass	Processing	Complete	Composite	11/07/2021 07:00 AM	11/08/2021 07:00 AM	11/08/2021 09:50 AM	-		16642	SARS-CoV-2 N1	2.827884257	1109.141006	0	3004.62702	SARS-CoV-2 N2	0	1229.36615	0	0	None				Human RNase P	3004.627023	2.827884257	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/12/2021	6.56	11/16/21	NT04474	Kookaburra		CP0036	B02	AJ	11/16/21	2108255	Kookaburra	I6	EP0036	A06	AJ	11/22/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	I6	AP0021	A06	JL	
A02-0212	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Processing	Complete	Composite	11/06/2021 09:00 AM	11/08/2021 09:00 AM	11/08/2021 10:00 AM	CA		15295	SARS-CoV-2 N1	6.2	0	1193.4	6587.5	SARS-CoV-2 N2	3	0	1245	3187.5					Human RNase P	21250	20	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/08/2021	7.1	11/11/21	NT04474	Kookaburra		CP0034	A04	JL	11/11/21	2108255	Kookaburra	D4	EP0034	A04	JL	11/18/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D4	AP0020	B04	JL	
A1043	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	05/04/2021 12:00 AM	05/04/2021 11:55 PM	05/04/2021 11:55 PM	GG	11.798	12654	SARS-CoV-2 N1				0	SARS-CoV-2 N2				0					Human RNase P	39060		100	PEG Precipitation	5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				Josh Lambert	05/07/2021		5/7/21														05/07/2021	OneStep RT-ddPCR	Manual	DQ		QX 200					Reconc vol estimated
A02-0122	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Processing	Complete	Composite	09/20/2021 10:03 AM	09/22/2021 10:03 AM	09/22/2021 10:03 AM	EL		15934	SARS-CoV-2 N1	32.50939846	0	878.4640503	34541.23586	SARS-CoV-2 N2	28.07365417	0	968.4371185	29828.25756					Human RNase P	102191.757	96.18047714	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	09/22/2021	7.11	9/24/21		Halcyon		CP0016	D01	JL	9/24/21	XXXXXX	Halcyon	J3	EP0016	B07	JL	09/24/2021	OneStep RT-ddPCR	Manual	DQ		QX 200	J3	AP0009	C03	JL	
A03-0094	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Processing	Complete	Composite	11/29/2021 06:00 AM	11/29/2021 02:00 PM	11/30/2021 10:10 AM	BL		15518	SARS-CoV-2 N1	3.032726943	0	1030.216827	5402.04487	SARS-CoV-2 N2	3.032726943	0	1109.431686	5402.04487	None				Human RNase P	21612.35835	12.13325381	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	12/01/2021	6.78	12/2/21	NT04474	Kookaburra		CP0042	C06	LW	12/2/21	2108255	Kookaburra	G2	EP0042	C02	LW	12/03/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	NAB14 G2	AP0023	G06	JL	
A02-0273	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
A02-0026	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Processing	Complete	Grab	08/23/2021 09:13 AM	08/23/2021 09:13 AM	08/23/2021 09:13 AM	EL		14246	SARS-CoV-2 N1	8.188365698	-20	2835.271912	8700.13855	SARS-CoV-2 N2	8.188365698	-20	3151.898499	8700.13855					Human RNase P	124208.2214	116.9018555	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	08/23/2021	7.27	8/23/21	NT04155	Kookaburra		CP000002	A02	JL	8/23/21	2102028	Kookaburra		EP000002	A02	JL	08/23/2021	OneStep RT-ddPCR	CHECK	DQ	58477036	QX One	I2	AP0004	B01	JL	
L01-0028	Sample	Sample	WWTP	Doddridge	WestUnionWWTP-01		Processing	Processing																																																																																																
A02-0153 c	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected	Complete	Composite	02/22/2021 12:00 PM	02/22/2021 12:00 PM	02/22/2021 12:00 PM	EL		13221	SARS-CoV-2 N1				34176	SARS-CoV-2 N2				29904					Human RNase P	21360		100	PEG Precipitation	4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	8/10/21	7.43															03/11/2021	OneStep RT-ddPCR	Manual	DQ		QX 200					Was A06-0005
B01-0058	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	11/11/2021 07:00 AM	11/12/2021 07:00 AM	11/12/2021 07:15 AM	-		17681	SARS-CoV-2 N1	47.95669556	0	1092.976303	50953.98903	SARS-CoV-2 N2	42.62334347	0	1279.930573	45287.30243	None				Human RNase P	28294.95117	26.63054228	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	11/16/2021	7.52	11/17/21	NT04474	Halcyon		CP0037	C03	JL	11/17/21	2108255	Halcyon	L3	EP0037	B03	JL	11/29/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D3	AP0022	G03	JL	
A01-0060	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	10/10/2021 12:00 AM	10/10/2021 11:55 PM	10/10/2021 11:55 PM	GG	7.441	15183	SARS-CoV-2 N1	43.43224525	0	2152.007294	46146.76058	SARS-CoV-2 N2	49.64339733	0	2493.552246	52746.10966	None				Human RNase P	46146.76058	43.43224525	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/13/2021	6.89	10/18/21	NT04474	Halcyon		CP0026	D02	JL	10/18/21	2108255	Halcyon	I6	EP0026	B06	JL	10/20/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	I6	AP0014	F05	JL	
A02-0278	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
J01-0045	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
A03-0196	Sample	Sample	K-12	Monongalia	MorgantownHS-01		Processing	Processing																																																																																																
E01-0001	Sample	Sample	WWTP	Mercer	PrincetonWWTP-01	Pass	Processing	Complete	Composite	10/26/2021 08:00 AM	10/27/2021 08:00 AM	10/27/2021 07:50 AM	TT		14999	SARS-CoV-2 N1	28.25413227	0	1040.980072	30020.01554	SARS-CoV-2 N2	7.844967842	0	1205.935364	8335.27833	None				Human RNase P	10002.66749	9.414275289	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/29/2021	7.05	11/2/21	NT04474	Kookaburra		CP0031	C06	JL	11/2/21	21108255	Kookaburra	H7	EP0031	C07	JL	11/04/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	H7	AP0016	C07	JL	
A01-0081	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	11/04/2021 12:00 AM	11/04/2021 11:55 PM	11/04/2021 11:55 PM	GG	7.379	14265	SARS-CoV-2 N1	59.4	0	1193.4	63112.5	SARS-CoV-2 N2	59.4	0	1245	63112.5					Human RNase P	21037.5	19.8	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/05/2021	6.86	11/11/21	NT04474	Kookaburra		CP0034	A03	JL	11/11/21	2108255	Kookaburra	D3	EP0034	A03	JL	11/18/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D3	AP0020	B03	JL	
A02-0029	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Processing	Complete	Grab	08/23/2021 09:46 AM	08/23/2021 09:46 AM	08/23/2021 09:46 AM	EL		14381	SARS-CoV-2 N1	16.52323127	0	2615.09491	17555.93322	SARS-CoV-2 N2	21.03176117	0	2786.116028	22346.24624					Human RNase P	558751.6069	525.8838654	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	08/23/2021	7.54	8/27/21	NT04155	Kookaburra		CP0005	B02	JL	8/27/21	2102028	Kookaburra	B8	EP0005	A08	JL	08/27/2021	OneStep RT-ddPCR	Manual	DQ	58477036	QX One	B8	AP0005	H01	JL	
A02-0348	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
A01-0079	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	11/02/2021 12:00 AM	11/02/2021 11:55 PM	11/02/2021 11:55 PM	GG	7.19	11681	SARS-CoV-2 N1	32.2	0	1193.4	34212.5	SARS-CoV-2 N2	50.4	0	1245	53550					Human RNase P	17212.5	16.2	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/05/2021	6.7	11/11/21	NT04474	Kookaburra		CP0034	A01	JL	11/11/21	2108255	Kookaburra	D1	EP0034	A01	JL	11/18/2021	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D1	AP0020	B01	JL	
