Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A1027	12104	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9336	SARS-CoV-2 N2			4656																													CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				4				JL	Human RNase P	42000	Aiyana-Mei Tom	4/16/21 11:18	4/16/21 11:18	Monongalia County	A1027	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	4/12/21 12:00	Composite	4/13/21 12:00	4/12/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available
A02-0027	18604	OneStep RT-ddPCR	None			8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I3	AP000002	A03	JL	SARS-CoV-2 N1	0	99.93699063	1324.602061	SARS-CoV-2 N2	0	99.94261999	784.0565908																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A03	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A03	JL		Pass	Pass	Pass			8/23/21 9:35	Grab	8/23/21 9:35	8/23/21 9:35				OaklandE-02	
A02-0021	11734	OneStep RT-ddPCR	None			8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	H1	AP000002	B02	JL	SARS-CoV-2 N1	0	99.93699063	7216.191346	SARS-CoV-2 N2	0	99.94261999	7216.191346																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.74	CP000000	A01	JL						WVU Morgantown	Tertiary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H1	EP000000	A01	JL		Pass	Pass	Pass			8/20/21 9:30	Composite	8/20/21 9:30	8/18/21 9:30				OaklandE-02	
A0028	10501	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9676.8	SARS-CoV-2 N2			9676.8																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.6				MS	Human RNase P	9676.8	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0028	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/26/20 0:00	Composite	11/26/20 23:59	11/26/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A1075		OneStep RT-ddPCR	BRSV	493263.75												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.48						Josh Lambert		07/09/2021 11:57 AM		A1075	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/21/2021 11:55 PM	Composite	06/21/2021 11:55 PM	06/21/2021 12:00 AM	JL	06/25/2021	6.48	StarCityWWTP-01	Available
A1071		OneStep RT-ddPCR	BRSV	248805												SARS-CoV-2 N1			0	SARS-CoV-2 N2			3871.25																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.38						Josh Lambert		07/09/2021 11:49 AM		A1071	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/15/2021 11:55 PM	Composite	06/15/2021 11:55 PM	06/15/2021 12:00 AM	JL	06/18/2021	6.38	StarCityWWTP-01	Available
A1002	10921	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			25860	SARS-CoV-2 N2			19380																													CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	38790	Mathilda Santee	3/12/21 11:01	3/12/21 11:01	Monongalia County	A1002	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/9/21 12:00	Composite	3/9/21 12:00	3/9/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A1054		OneStep RT-ddPCR	BRSV	325351.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			3776.25																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 7.02						Josh Lambert		07/08/2021 11:23 AM		A1054	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/23/2021 12:00 AM	Composite	05/23/2021 11:55 PM		JL	05/28/2021	7.02	StarCityWWTP-01	Available
A0223	10196	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			77592	SARS-CoV-2 N2			66504																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	11088	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0223	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/19/21 0:00	Composite	1/19/21 23:59	1/19/21 0:00	TD	1/22/21		StarCityWWTP-01	Available
A02-0012	18304	OneStep RT-ddPCR	None			8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.94874319	4097.80094	SARS-CoV-2 N2	0	99.95073014	10928.96241	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B04	JL			Eric Lundstrum		8/16/21 9:54	WVU Morgantown	Tertiary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A10	JL	NaN	Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 9:54	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	6.65	HonorsSummit-01 (MUB)	
A0022	12254	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			49795.2	SARS-CoV-2 N2			49795.2																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				4.8				MS	Human RNase P	27648	Timothy Driscoll	12/7/20 15:07	12/7/20 15:07	Monongalia County	A0022	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/19/20 0:00	Composite	11/19/20 23:59	11/19/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A06-0005	17313	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1444.04335																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL			Eric Lundstrum		8/10/21 9:07	WVU Morgantown	Secondary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	Pass	Pass	Pass	EL	8/10/21 9:07	Composite	8/10/21 9:00	8/9/21 9:00	JL	8/10/21	7.43	Evansdale-01	
A0027	10133	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			15891.6	SARS-CoV-2 N2			15891.6																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.8				MS	Human RNase P	42362.4	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0027	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/25/20 0:00	Composite	11/25/20 23:59	11/25/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A1098		OneStep RT-ddPCR	BRSV	502288.75												SARS-CoV-2 N1			51418.75	SARS-CoV-2 N2			60776.25																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1098		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/22/21 23:55	Composite	7/22/21 23:55	7/22/21 0:00	JL			StarCityWWTP-01	Available
A0048	16737	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			35424	SARS-CoV-2 N2			50616																													CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				6				MS	Human RNase P	10116	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0048	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/24/20 0:00	Composite	12/24/20 11:59	12/24/20 12:00	TD	1/7/21		StarCityWWTP-01	Available
A1077		OneStep RT-ddPCR	BRSV	145896.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			3942.5																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.42						Josh Lambert		07/09/2021 12:01 PM		A1077	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05					Monongalia County					EL	06/23/2021 11:55 PM	Composite	06/23/2021 11:55 PM	06/23/2021 12:00 AM	JL	06/25/2021	6.42	StarCityWWTP-01	Available
A1033	11036	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			5112	SARS-CoV-2 N2			5112																													CDC N1/N2/RP Triplex	0.005		4/23/21 11:00	100				4				MVS	Human RNase P	97296	Mathilda Santee	4/23/21 10:57	4/23/21 10:57	Monongalia County	A1033	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	4/23/21 10:56	Composite	4/20/21 11:59	4/20/21 12:00	MVS	4/23/21		StarCityWWTP-01	Available
A1051		OneStep RT-ddPCR	BRSV	201922.5												SARS-CoV-2 N1			0	SARS-CoV-2 N2			7196.25																													N1/N2/BRSV Triplex	0.005			10				0.95	pH: 6.74						Josh Lambert		07/08/2021 11:16 AM		A1051	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/18/2021 11:55 PM	Composite	05/18/2021 11:55 PM	05/18/2021 12:00 AM	JL	05/21/2021	6.74	StarCityWWTP-01	Available
A1036	11015	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			28845	SARS-CoV-2 N2			38475																													CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				7.5				KED	Human RNase P	38475	Mathilda Santee	4/30/21 11:06	4/30/21 11:06	Monongalia County	A1036	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:06	Composite	4/25/21 11:59	4/25/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A0227	17665	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			57576	SARS-CoV-2 N2			44784																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	3192	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0227	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/25/21 0:00	Composite	1/25/21 23:59	1/25/21 0:00	TD	1/29/21		StarCityWWTP-01	Available
A1066		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.28						Josh Lambert		07/09/2021 11:40 AM		A1066	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/08/2021 11:55 PM	Composite	06/08/2021 11:55 PM	06/08/2021 12:00 AM	JL	06/11/2021	6.28	StarCityWWTP-01	Available
A0047	17534	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			53163	SARS-CoV-2 N2			79761																													CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				5.5				MS	Human RNase P	8844	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0047	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/23/20 0:00	Composite	12/23/20 11:59	12/23/20 12:00	TD	1/7/21		StarCityWWTP-01	Available
A01-0011																																																																						Monongalia County	Primary																	8/21/21 23:59	Composite	8/21/21 23:59	8/21/21 0:00				StarCityWWTP-01	
A1038	9780	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			4338																													CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				3				KED	Human RNase P	38988	Mathilda Santee	4/30/21 11:08	4/30/21 11:08	Monongalia County	A1038	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:08	Composite	4/27/21 11:59	4/27/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A1037	10058	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			4212	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		4/30/21 11:30	100				3				KED	Human RNase P	42138	Mathilda Santee	4/30/21 11:07	4/30/21 11:07	Monongalia County	A1037	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED		Pass	Not Assessed	Not Assessed	Pass	EL	4/30/21 11:07	Composite	4/26/21 11:59	4/26/21 12:00	MVS	4/30/21		StarCityWWTP-01	Available
A0245	11511	OneStep RT-ddPCR				11/17/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			24528	SARS-CoV-2 N2			14712																													CDC N1/N2/RP Triplex	0.005		11/16/20 17:00	100				4				MS	Human RNase P	44160	Timothy Driscoll	11/16/20 19:12	11/16/20 19:12	Monongalia County	A0245	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/15/20 0:00	Composite	11/15/20 23:59	11/15/20 0:00	TD	11/16/20		StarCityWWTP-01	Available
A0235	14491	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			35088	SARS-CoV-2 N2			31176																													CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Human RNase P	11688	Timothy Driscoll	2/24/21 10:37	2/24/21 10:37	Monongalia County	A0235	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/4/21 8:00	Composite	2/4/21 11:55	2/4/21 12:00	TD	2/11/21		StarCityWWTP-01	Available
A1081		OneStep RT-ddPCR	BRSV	139151.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.47						Josh Lambert		07/09/2021 12:13 PM		A1081	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/29/2021 11:55 PM	Composite	06/29/2021 11:55 PM	06/29/2021 12:00 AM	JL	07/09/2021	6.47	StarCityWWTP-01	Available
A0030	10315	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			57250.8	SARS-CoV-2 N2			52029.6																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.8				MS	Human RNase P	26014.8	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0030	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/30/20 0:00	Composite	11/30/20 23:59	11/30/20 0:00	TD	12/4/20		StarCityWWTP-01	Available
A1089		OneStep RT-ddPCR	BRSV	228807.5												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1089		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/11/21 23:55	Composite	7/11/21 23:55	7/11/21 0:00	JL			StarCityWWTP-01	Available
A1052		OneStep RT-ddPCR	BRSV	181260												SARS-CoV-2 N1			0	SARS-CoV-2 N2			4013.75																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.80						Josh Lambert		07/08/2021 11:19 AM		A1052	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/19/2021 11:55 PM	Composite	05/19/2021 11:55 PM	05/19/2021 12:00 AM	JL	05/21/2021	6.8	StarCityWWTP-01	Available
