Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
E01-0024	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	1/5/22 12:30	1/6/22 0:30	5.486	1/13/22	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	83608.20159	2479	43043.600795	1736271.39458108	51480.79620554	893876.09539331	108061.45074	63332.2896428899	1710959.83698423	2969443.75503254	70083.9701031	32489.6885567021	995966.703841395	1501268.34253936	32106.4894662	76452.6005689354	280973.57069856	461116.277714333
E01-0074	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	3/3/22 9:14	3/4/22 9:15	2.622	3/11/22	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	122642.0733	68090.17517	95366.124235	1217264.89147063	675818.481034487	946541.686252558	63527.6821634	109140.815953008	730712.458274849	1048181.88638074	57052.0799534	93403.0987297293	666569.253591454	898847.640750696	50576.4777434	80848.7327928411	602426.048908059	786946.369122736
A03-0037	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	10/1/21 6:00	10/1/21 14:00	NA	10/15/21	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14320.20038	12273.95572	13297.07805	NA	NA	NA	11942.423548	31757.7717123925	NA	NA	9133.871428	22261.0991906654	NA	NA	6325.319308	13569.603583879	NA	NA
A01-0077	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	10/31/21 0:00	10/31/21 23:55	10.075	11/3/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	138088.2382	56767.52001	97427.879105	5266410.02247897	2165000.00455462	3715705.01351679	89268.24206	92710.0030025966	3254734.54043041	3715864.62871204	74019.3428887	81906.3855714055	2709319.55809131	3300510.15396629	58770.4437174	80343.9637758275	2163904.57575221	3222801.36224281
A02-0226	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	11/17/21 9:00	11/19/21 9:00	NA	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11815.11791	9451.82763	10633.47277	NA	NA	NA	18544.442346	47129.6713764019	NA	NA	16686.36791	45572.5951751458	NA	NA	14828.293474	44133.6422162194	NA	NA
B01-0062	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	11/3/21 7:00	11/4/21 7:00	NA	11/5/21	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	28051.36904	21815.00942	24933.18923	NA	NA	NA	12792.51956	17022.4159680939	454167.906361704	608014.07288832	12778.7243054	13748.2649945522	447126.293645963	301911.448404494	12764.9290508	11121.5615199238	440084.680930221	11853.9123305857
A03-0093	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	11/12/21 6:00	11/12/21 14:00	NA	11/17/21	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	142323.4592	127577.9101	134950.68465	NA	NA	NA	32611.7586138	113493.298918474	NA	NA	30276.6611372	108070.079169032	NA	NA	27941.5636606	102724.158840571	NA	NA
G01-0036	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	1/14/22 9:00	1/15/22 8:00	0.956	1/20/22	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	969868.5551	429417.1894	699642.87225	3509810.721566	1553997.23751788	2531903.97954194	233932.942588	758539.281121874	878891.67125314	2712960.57871523	163565.1070004	552368.053461749	611006.437653425	1979940.02949216	93197.2714128	346257.277178398	343121.20405371	1247210.60845518
N03-0058	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	5/3/22 7:30	5/4/22 7:30	0.57832	5/11/22	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	396	1175	785.5	866.9146112352	2572.28451566	1719.5995634476	8624.3835836	20461.231423243	14203.1052858495	29155.4432745594	7413.0482185	13786.7224904237	12543.9561146646	19405.85083418	6201.7128534	7435.49644942763	10884.8069434797	10529.555823733
I01-0008	not institution specific	wwtp	WWTP	WWTP	17884	WarmSpringsWWTP-01	11/17/21 8:00	11/18/21 8:00	0.512	11/19/21	24-hr flow-weighted composite	Warm Springs	25411		-78.22662	39.62802	3255	Morgan	1.8	Complete	paused	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	23475.04813	26410.35575	24942.70194	45497.6931541931	51186.700676919	48342.196915556	7064.4054722	17187.3861472993	23310.3553694465	998687.33521113	7278.9302332	18490.8129885711	24980.757909973	1051535.49711686	7493.4549942	19897.5332773964	26651.1604504995	1104383.65902258
A03-0116	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	11/12/21 6:00	11/12/21 14:00	NA	11/17/21	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	39961.34564	49188.6051	44574.97537	NA	NA	NA	42628.3760978	81996.8725379436	NA	NA	37737.6980331	59918.6015368077	NA	NA	32847.0199684	44216.6849819133	NA	NA
D01-0080	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	5/3/22 7:40	5/4/22 7:40	1.28	5/6/22	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1214343.052	864598.5854	1039470.8187	5883886.50556329	4189260.96788354	5036573.73672341	480643.79936	814591.139197857	2324641.2886302	3953432.76121212	444112.55451	668544.479605888	2147779.43526849	3246113.13980859	407581.30966	526999.122358129	1970917.58190679	2560771.51453212
A02-0324	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	2/20/22 9:00	2/4/22 9:00	NA	2/4/22	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	76769.30889	62542.15345	69655.73117	NA	NA	NA	95647.48571	176263.549287431	NA	NA	92619.4722698	196880.773499316	NA	NA	89591.4588296	217949.129203169	NA	NA
A02-0054	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	8/25/21 9:38	8/27/21 9:38	NA	8/27/21	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	406899.3926	199924.6812	303412.0369	NA	NA	NA	150220.549358	358659.324796297	NA	NA	131054.5922602	304524.231257216	NA	NA	111888.6351624	268299.289603423	NA	NA
A01-0053	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	10/2/21 0:00	10/2/21 23:55	7.465	10/5/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	195434.0112	169583.6031	182508.80715	5522591.02741266	4792107.98123541	5157349.50432403	371892.2642	747544.966813504	11950328.641735	27196462.0287072	385421.276127	751538.131640853	12339185.4601566	27372455.3032509	398950.288054	757756.130807407	12728042.2785783	27593249.7363172
E01-0094	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	4/13/22 9:00	4/14/22 9:00	2.303	4/21/22	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	16400.61133	5466.157682	10933.384506	142977.236824203	47652.8652311982	95315.0510277007	36721.417022	53708.0750438903	384104.795779417	540842.529789017	32791.9925562	53684.3238928222	331798.089883219	492604.667445069	28862.5680904	56060.4161061775	279491.38398702	499111.215946712
K01-0079	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	4/27/22 6:24	4/28/22 6:24	5.043	5/4/22	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	25009.50672	19450.54941	22230.028065	477427.047348593	371307.538292951	424367.292820772	18369.6988698	13906.4024787982	331555.583724822	178228.475123496	17664.4537472	18411.7172905961	307930.919908944	214634.795632969	16959.2086246	23783.8856912177	284306.256093066	283802.52071038
G01-0005	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	10/10/21 9:00	10/11/21 9:10	NA	10/13/21	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	290704.2825	296401.18	293552.73125	NA	NA	NA	407217.13458	528722.468527757	NA	NA	409316.835788	548770.247808508	NA	NA	411416.536996	570542.123556819	NA	NA
A01-0066	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	10/18/21 0:00	10/18/21 23:55	7.491	10/20/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	29247.75258	31198.81615	30223.284365	829364.080588089	884689.427022005	857026.753805047	44083.417088	19912.7151070654	1368394.14055184	1046238.44755445	30969.084025	5334.61671249047	953052.251708873	517392.957963771	17854.750962	15295.8560023109	537710.362865908	434113.521279972
B01-0054	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	12/1/21 7:00	12/2/21 7:00	6.929	12/3/21	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19868.1042	9932.874665	14900.4894325	521122.608895354	260530.421380383	390826.515137869	10553.1918144	15487.2822975638	290431.149429653	400443.220513371	9209.1210282	10464.656702834	261337.118332513	264557.670239577	7865.050242	7031.8185067685	232243.087235373	208988.187514122
A02-0289	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	1/12/22 9:00	1/14/22 9:00	NA	1/14/22	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	173361.2788	27689.66261	100525.470705	NA	NA	NA	104088.1462794	186209.921892218	NA	NA	89894.5884157	182475.520590093	NA	NA	75701.030552	199185.814093003	NA	NA
A03-0251	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	3/9/22 6:00	3/9/22 14:00	NA	3/11/22	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2523	2755	2639	NA	NA	NA	14342.98325	53824.8530481131	NA	NA	14754.48325	53392.033531167	NA	NA	15165.98325	52963.1852305696	NA	NA
