sbatch_id	sample_id	variant	proportion	aliases	cdc_status	watch_status
SARS_20240104	A01-0722	HK.18	0.00502513		NA	5
SARS_20240104	A01-0722	XBB.1.16.1	0.00192809	FU	NA	5
SARS_20240104	A01-0722	FY.5.2	0.00263505		NA	5
SARS_20240104	A01-0722	FL.10.1	0.00239808		NA	5
SARS_20240104	A01-0720	JF.1.1	0.0717131		NA	5
SARS_20240104	A01-0720	XCG	0.00148148	BA.5.2*,XBB.1	NA	5
SARS_20240104	A01-0720	BA.2.9.4	0.003003		NA	5
SARS_20240104	A01-0720	XBB.1.5.1	0.00486224	HJ	NA	5
SARS_20240104	A01-0720	BA.2.32	0.00105152		NA	5
SARS_20240104	A01-0720	XBB.1.5.63	0.00246609		NA	5
SARS_20240104	A01-0720	XBB.2.7	0.00157978		NA	5
SARS_20240104	A01-0720	XBB.2.11	0.0011976		NA	5
SARS_20240104	A01-0720	JD.1.1.7	0.00166102		NA	5
SARS_20240104	A01-0720	HK.13.1	0.0021164		NA	5
SARS_20240104	A01-0720	EG.5.1.1	0.00153265	XCZ,XCN	NA	5
SARS_20240104	A01-0720	HK.17	0.00153265		NA	5
SARS_20240104	A01-0720	XBB.1.5.6	0.0361648		NA	5
SARS_20240104	A01-0720	XBB.1.42.1	0.01594615		NA	5
SARS_20240104	A01-0720	XBB.1.16.29	0.00138122		NA	5
SARS_20240104	A01-0720	EG.4	0.00744761		NA	5
SARS_20240104	A01-0720	JA.1	0.00308642		NA	5
SARS_20240104	A01-0720	JG.3.2	0.04819275		NA	5
SARS_20240104	A01-0720	XBB.2.3.13	0.00308642	JA	NA	5
SARS_20240104	A01-0720	EG.5.1.2	0.00225225		NA	5
SARS_20240104	A01-0720	HK.2	0.02272725		NA	5
SARS_20240104	A01-0720	FY.6.2	0.00102881		NA	5
SARS_20240104	A01-0720	FL.27	0.00121433		NA	5
SARS_20240104	A01-0720	GJ.1	0.02164532		NA	5
SARS_20240104	A01-0720	XBB.1.22.2	0.00209205	HU	NA	5
SARS_20240104	A01-0720	FL.37	0.00136674		NA	5
SARS_20240104	A01-0720	XBB.1.5.107	0.00131926	JZ	NA	5
SARS_20240104	A01-0720	FL.2.1	0.00231929		NA	5
SARS_20240104	A01-0720	HK.11	0.00153265		NA	5
SARS_20240104	A01-0720	HK.3	0.00153265		NA	5
SARS_20240104	A01-0720	XBB.2	0.03659323		NA	5
SARS_20240104	A01-0720	HK.3.4	0.00235479		NA	5
SARS_20240104	A01-0720	XBB.1.5.30	0.0013369	HM	NA	5
SARS_20240104	A01-0720	HV.1.7	0.00320513		NA	5
SARS_20240104	A01-0720	JD.1.1.5	0.0011274		NA	5
SARS_20240104	A01-0720	XBB.1.16.9	0.0907801		NA	5
SARS_20240104	A01-0720	EG.5.1.13	0.00693642		NA	5
SARS_20240104	A01-0720	GG.1	0.00185873		NA	5
SARS_20240104	A01-0720	XBB.1.5.20	0.0149064		NA	5
SARS_20240104	A01-0720	JD.1.1.2	0.00186567		NA	5
SARS_20240104	A01-0720	HK.3.13	0.00120676		NA	5
SARS_20240104	A01-0720	HK.3.12	0.0114943		NA	5
SARS_20240104	A01-0720	JF.1	0.0564609		NA	5
SARS_20240104	A01-0720	FL.17	0.00331345		NA	5
SARS_20240104	A01-0720	GJ.6	0.0025		NA	5
SARS_20240104	A01-0720	FL.1.5.2	0.0466636		NA	5
SARS_20240104	A01-0720	XBB.1.5.38	0.00185873	GG	NA	5
SARS_20240104	A01-0720	HV.1.5	0.00102775		NA	5
SARS_20240104	A01-0720	XBB.1.42	0.01594615		NA	5
SARS_20240104	A01-0720	HK.3.3	0.00105932		NA	5
SARS_20240104	A01-0720	XBB.2.3.19	0.005561	JY	NA	5
SARS_20240104	A01-0720	EG.4.5	0.00744761		NA	5
SARS_20240104	A01-0720	HG.2	0.00104058		NA	5
SARS_20240104	A01-0720	XBB.2.4	0.03659323		NA	5
SARS_20240104	A01-0720	EG.5.1.16	0.14164556		NA	5
SARS_20240104	A01-0720	XBB.1.5.18	0.00129199		NA	5
SARS_20240104	A01-0720	XBB.1.5.34	0.00203666		NA	5
SARS_20240104	A01-0720	XBB.1.9.1	0.00231929	FL,XCC	VBM	3
SARS_20240104	A01-0720	EG.13	0.0038553		NA	5
SARS_20240104	A01-0720	HK.18	0.00139276		NA	5
SARS_20240104	A01-0720	JG.3	0.04819275		NA	5
SARS_20240104	A01-0720	BA.2.8	0.00106496		NA	5
SARS_20240104	A01-0720	HV.1.4	0.00190235		NA	5
SARS_20240104	A01-0720	HK.2.1	0.02272725		NA	5
SARS_20240104	A01-0720	FL.10.1	0.00124533		NA	5
SARS_20240104	A01-0720	HK.3.7	0.00153265		NA	5
SARS_20240104	A01-0720	JD.2	0.025974		NA	5
SARS_20240104	A01-0720	EG.6.1	0.00146616		NA	5
SARS_20240104	A01-0720	XBB.1.5.93	0.00122175	HD	NA	5
SARS_20240104	A01-0720	HK.13	0.00153265		NA	5
SARS_20240104	A01-0720	HK.3.9	0.00299034		NA	5
SARS_20240104	A01-0720	XBB.1.16.12	0.00840267		NA	5
SARS_20240104	A01-0720	XBB.1.5.47	0.00522534	FZ	NA	5
SARS_20240104	A01-0720	GJ.1.2.4	0.05946653		NA	5
SARS_20240104	A01-0720	HK.3.5	0.00303337		NA	5
SARS_20240104	A01-0720	FL.2	0.00231929		NA	5
SARS_20240104	A01-0720	JD.1.1.1	0.0011655		NA	5
SARS_20240104	A01-0720	FL.6	0.00775194		NA	5
SARS_20240104	D01-0258	XCG	0.00224719	BA.5.2*,XBB.1	NA	5
SARS_20240104	D01-0258	BA.2.9.4	0.00171821		NA	5
SARS_20240104	D01-0258	XBB.1.26	0.00357143		NA	5
SARS_20240104	D01-0258	CQ.2	0.0013177		NA	5
SARS_20240104	D01-0258	FL.2.4	0.00111732		NA	5
SARS_20240104	D01-0258	JF.4	0.00112233		NA	5
SARS_20240104	D01-0258	FL.13.5	0.00111857		NA	5
SARS_20240104	D01-0258	XBB.1.16.15	0.00330766	JM,XCW	NA	5
SARS_20240104	D01-0258	JD.1.1.7	0.23270189		NA	5
SARS_20240104	D01-0258	FY.4.2	0.00131234		NA	5
SARS_20240104	D01-0258	XCQ	0.0015361	XBB.2.3,XBB.1.5	VBM	3
SARS_20240104	D01-0258	FL.20.1	0.0010989		NA	5
SARS_20240104	D01-0258	XBB.2.7	0.00203666		NA	5
SARS_20240104	D01-0258	GJ.7	0.00226941		NA	5
SARS_20240104	D01-0258	FL.10	0.0018315		NA	5
SARS_20240104	D01-0258	HV.1	0.01302141		VBM	2
SARS_20240104	D01-0258	FL.9	0.0041841		NA	5
SARS_20240104	D01-0258	JG.1	0.022187		NA	5
SARS_20240104	D01-0258	XBB.2.5	0.0079787		NA	5
SARS_20240104	D01-0258	XDB	0.03422981		NA	5
SARS_20240104	D01-0258	FL.15	0.00125156		NA	5
SARS_20240104	D01-0258	XBB.1.5.72	0.00123762		NA	5
SARS_20240104	D01-0258	XBB.1.16.18	0.00222469		NA	5
SARS_20240104	D01-0258	EG.5.1.4	0.01213981		NA	5
SARS_20240104	D01-0258	EG.5.1.2	0.00136054		NA	5
SARS_20240104	D01-0258	B.1.1.289	0.00153139		NA	5
SARS_20240104	D01-0258	HF.1.2	0.00308642		NA	5
SARS_20240104	D01-0258	FL.18	0.00210084		NA	5
SARS_20240104	D01-0258	B.1.1.221	0.00177726		NA	5
SARS_20240104	D01-0258	HK.29	0.0016835		NA	5
SARS_20240104	D01-0258	XBB.1.43.1	0.00161031		NA	5
SARS_20240104	D01-0258	FL.2.1	0.02178772		NA	5
SARS_20240104	D01-0258	HK.30	0.00225225		NA	5
SARS_20240104	D01-0258	FL.5	0.00290698		NA	5
SARS_20240104	D01-0258	JD.2.1	0.00311289		NA	5
SARS_20240104	D01-0258	XBB.2	0.00993878		NA	5
SARS_20240104	D01-0258	JD.1.1.5	0.00157233		NA	5
SARS_20240104	D01-0258	XBB.1.16.9	0.0015748		NA	5
SARS_20240104	D01-0258	EG.5.1.13	0.00637755		NA	5
SARS_20240104	D01-0258	HK.31	0.00127226		NA	5
SARS_20240104	D01-0258	FY.5.3	0.00186047		NA	5
SARS_20240104	D01-0258	XDJ	0.021868		NA	5
SARS_20240104	D01-0258	JF.1	0.04130023		NA	5
SARS_20240104	D01-0258	BA.5.11	0.00235051		NA	5
SARS_20240104	D01-0258	EG.5.1.12	0.00319829		NA	5
SARS_20240104	D01-0258	FL.1.5.2	0.0255102		NA	5
SARS_20240104	D01-0258	FY.5.1.1	0.00113636		NA	5
SARS_20240104	D01-0258	FL.16	0.00310078		NA	5
SARS_20240104	D01-0258	B.1.1.357	0.00133156		NA	5
SARS_20240104	D01-0258	EG.6.1.1	0.00111607		NA	5
SARS_20240104	D01-0258	EG.5.1.15	0.00438596		NA	5
SARS_20240104	D01-0258	EG.10	0.00272615		NA	5
SARS_20240104	D01-0258	JD.1.1	0.01278019	XCP	NA	5
SARS_20240104	D01-0258	HV.1.1	0.00134771		NA	5
SARS_20240104	D01-0258	XBB.1.44	0.00249377		NA	5
SARS_20240104	D01-0258	XBB.1.34	0.0110865		NA	5
SARS_20240104	D01-0258	XBB.1.22	0.00471683		NA	5
SARS_20240104	D01-0258	HV.1.2	0.00134771		NA	5
SARS_20240104	D01-0258	HK.3.10	0.00171527		NA	5
SARS_20240104	D01-0258	XBB.2.4	0.00993878		NA	5
SARS_20240104	D01-0258	XCD	0.00153106	BQ.1.1.25*,XBB.1*	NA	5
SARS_20240104	D01-0258	EG.6.1.2	0.0021692		NA	5
SARS_20240104	D01-0258	HF.1	0.00396825		NA	5
SARS_20240104	D01-0258	HK.3.2.2	0.0011325		NA	5
SARS_20240104	D01-0258	XBB.1.9.4	0.01807275		NA	5
SARS_20240104	D01-0258	XBB.1.9.1	0.02178772	FL,XCC	VBM	3
SARS_20240104	D01-0258	XBB.1.16.16	0.0425532		NA	5
SARS_20240104	D01-0258	JD.1.1.3	0.00109051		NA	5
SARS_20240104	D01-0258	HV.1.4	0.02272463		NA	5
SARS_20240104	D01-0258	HK.18	0.00575816		NA	5
SARS_20240104	D01-0258	HK.3.9	0.02013106		NA	5
SARS_20240104	D01-0258	EG.6.1	0.18825373		NA	5
SARS_20240104	D01-0258	FL.20	0.0010989		NA	5
SARS_20240104	D01-0258	JD.2	0.00641092		NA	5
SARS_20240104	D01-0258	HV.1.6.1	0.00107991		NA	5
SARS_20240104	D01-0258	HV.1.3	0.01302141		NA	5
SARS_20240104	D01-0258	FL.2	0.02178772		NA	5
SARS_20240104	D01-0258	N.9	0.001287		NA	5
SARS_20240104	D01-0258	FL.6	0.0117647		NA	5
SARS_20240104	D01-0258	EG.5.1.6	0.01302141		NA	5
SARS_20240104	D01-0258	XBB.1.16.4	0.00320513		NA	5
SARS_20240104	N03-0433	HK.30	0.00406893		NA	5
SARS_20240104	N03-0433	HV.2	0.00129702		NA	5
SARS_20240104	N03-0433	HK.29	0.00243309		NA	5
SARS_20240104	N03-0433	JF.1.1.2	0.0153139		NA	5
SARS_20240104	N03-0433	EG.2.2	0.00251256		NA	5
SARS_20240104	N03-0433	XBB.1.16.6	0.02220266	JF	VOI	3
SARS_20240104	N03-0433	JF.1.1	0.9349621		NA	5
SARS_20240104	N03-0433	B.1.1.138	0.00156495		NA	5
SARS_20240104	N03-0433	B.1.1.342	0.00273172		NA	5
SARS_20240104	N03-0433	HK.28	0.00110254		NA	5
SARS_20240104	N03-0433	FY.6.2	0.00132802		NA	5
SARS_20240104	N03-0433	FL.1.8	0.00146413		NA	5
SARS_20240104	N03-0433	FL.33.1	0.00243385		NA	5
SARS_20240104	Q01-0479	EG.1.4	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.14	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.8	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.11	0.0030294		NA	5
SARS_20240104	Q01-0479	GD.2	0.0030294		NA	5
SARS_20240104	Q01-0479	GD.3	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.3	0.0030294		NA	5
SARS_20240104	Q01-0479	GE.1.1	0.25		NA	5
SARS_20240104	Q01-0479	HK.3	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.3	0.0030294	XCV,XCY	NA	5
SARS_20240104	Q01-0479	XCT	0.0030294	JG.4,DV.7.1	NA	5
SARS_20240104	Q01-0479	XCY	0.0030294	GK.4,EG.5.1.3	NA	5
SARS_20240104	Q01-0479	EG.5.2.3	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.4	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.32	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.27.1	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.33	0.0030294		NA	5
SARS_20240104	Q01-0479	XDC	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.28	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.8	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.16	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.1	0.0030294	XCZ,XCN	NA	5
SARS_20240104	Q01-0479	HK.23	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.9	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.17	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.2.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.18	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.5	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.7	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.13	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.2.1	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.2	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.9	0.0030294		NA	5
SARS_20240104	Q01-0479	KB.1	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.27	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.1	0.0030294		NA	5
SARS_20240104	Q01-0479	XCT.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.2.5	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.6	0.0030294		NA	5
SARS_20240104	Q01-0479	XDF	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.4	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.31	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.2.3.21	0.1516192		NA	5
SARS_20240104	Q01-0479	HK.3.12	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.9	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9.5	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.19	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9.2	0.0030294	EG	VBM	3
SARS_20240104	Q01-0479	HK.27.1.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.8	0.0030294		NA	5
SARS_20240104	Q01-0479	HV.1.5	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.4.5	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.3	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9.3	0.0030294	GD	NA	5
SARS_20240104	Q01-0479	HK.21	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.3.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.4	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.10.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.2	0.0030294		NA	5
SARS_20240104	Q01-0479	GE.1.6	0.25		NA	5
SARS_20240104	Q01-0479	HK.30	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.24.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.6	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.14	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.8	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.11	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9.7	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.4.1	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.3.3	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.1.2	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.13.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.7	0.0030294		NA	5
SARS_20240104	Q01-0479	HV.1	0.0030294		VBM	2
SARS_20240104	Q01-0479	JG.3.4	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.17	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.5	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.19	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.9.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.1.6	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.4	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.16	0.0030294		NA	5
SARS_20240104	Q01-0479	XBB.1.9.4	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.7	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.3	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.18	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.13	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.2.2	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.11	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.2	0.0030294		NA	5
SARS_20240104	Q01-0479	HV.1.3	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.4.3	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.5	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5	0.0030294		VOI	2
SARS_20240104	Q01-0479	HK.7	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.3.6	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.15	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.11.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.13	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.24	0.0030294		NA	5
SARS_20240104	Q01-0479	HK.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.5.1.12	0.0030294		NA	5
SARS_20240104	Q01-0479	GD.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.9	0.0030294		NA	5
SARS_20240104	Q01-0479	JG.4	0.0030294	XCT	NA	5
SARS_20240104	Q01-0479	EG.5.1.15	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.4.1	0.0030294		NA	5
SARS_20240104	Q01-0479	EG.10	0.0030294		NA	5
SARS_20240104	Q01-0479	HV.1.1	0.0030294		NA	5
SARS_20240104	Q01-0479	HV.1.2	0.0030294		NA	5
SARS_20240104	A01-0715	B.1.1.196	0.00137222		NA	5
SARS_20240104	A01-0715	FL.23.1	0.00210526		NA	5
SARS_20240104	A01-0715	GS.4	0.00109409		NA	5
SARS_20240104	A01-0715	GE.1.1	0.00267651		NA	5
SARS_20240104	A01-0715	B.6	0.00103306		NA	5
SARS_20240104	A01-0715	XBB.1.5.26	0.00136705	EU	NA	5
SARS_20240104	A01-0715	XBB.2.3.13	0.00294985	JA	NA	5
SARS_20240104	A01-0715	BA.2.86.1	0.0083921		NA	5
SARS_20240104	A01-0715	XBB.1.5.91	0.02649265		NA	5
SARS_20240104	A01-0715	EG.5.1.2	0.0971731		NA	5
SARS_20240104	A01-0715	GJ.1	0.04803736		NA	5
SARS_20240104	A01-0715	FL.2.7	0.00330033		NA	5
SARS_20240104	A01-0715	HV.1	0.07773997		VBM	2
SARS_20240104	A01-0715	FL.9	0.00636943		NA	5
SARS_20240104	A01-0715	XBB.1.5.100	0.00102564	HY	NA	5
SARS_20240104	A01-0715	XBB.1.5.6	0.0348584		NA	5
SARS_20240104	A01-0715	XBB.1.34.1	0.00185322		NA	5
SARS_20240104	A01-0715	FL.1	0.04813562		NA	5
SARS_20240104	A01-0715	XBB.1.16.29	0.00259067		NA	5
SARS_20240104	A01-0715	BA.2.86.2	0.00103627		NA	5
SARS_20240104	A01-0715	XDB	0.02616708		NA	5
SARS_20240104	A01-0715	EG.9.1	0.00222717		NA	5
SARS_20240104	A01-0715	JA.1	0.00294985		NA	5
SARS_20240104	A01-0715	BA.2.9.4	0.0041425		NA	5
SARS_20240104	A01-0715	HN.5	0.00168332	XDA	NA	5
SARS_20240104	A01-0715	JF.4	0.0209302		NA	5
SARS_20240104	A01-0715	XBB.1.5.63	0.00134409		NA	5
SARS_20240104	A01-0715	XBB.2.11	0.00151057		NA	5
SARS_20240104	A01-0715	KH.1	0.00127796		NA	5
SARS_20240104	A01-0715	XBB.1.16.10	0.0413793		NA	5
SARS_20240104	A01-0715	XBB.1.5.66	0.002886		NA	5
SARS_20240104	A01-0715	XBB.1.16.12	0.00984355		NA	5
SARS_20240104	A01-0715	XBB.1.5.47	0.006	FZ	NA	5
SARS_20240104	A01-0715	JD.2	0.00694444		NA	5
SARS_20240104	A01-0715	GJ.1.2.2	0.00591716		NA	5
SARS_20240104	A01-0715	XAD	0.00196078	BA.1*,BA.2*	NA	5
SARS_20240104	A01-0715	XBB.1.5.12	0.00235571		NA	5
SARS_20240104	A01-0715	HV.1.3	0.07773997		NA	5
SARS_20240104	A01-0715	FL.1.5.1	0.00986729	XCK	VOI	3
SARS_20240104	A01-0715	XDD	0.0212081		NA	5
SARS_20240104	A01-0715	EG.5.1.6	0.07773997		NA	5
SARS_20240104	A01-0715	XBB.1.16.4	0.00292398		NA	5
SARS_20240104	A01-0715	XBB.1.5.34	0.00199601		NA	5
SARS_20240104	A01-0715	XBB.1.9.1	0.09614355	FL,XCC	VBM	3
