Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
C01-0041	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	11/17/2021 07:00 AM	11/18/2021 07:00 AM	6.011	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	128589.0806	59299.78721	93944.433905	2925928.73587181	1349313.25909817	2137620.99748499	112009.901008	89665.4226930028	2499504.35554651	2655647.36923165	95475.658075	83790.4250022781	2079305.66261162	2331823.619114	78941.415142	91585.3171933623	1659106.96967674	2282758.25927999
E02-0074	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	02/24/2022 08:00 AM	02/25/2022 08:00 AM	0.571	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	124728.2016	152843.2757	138785.73865	269596.154904253	330366.019096764	299981.087000508	477006.33092	543901.146426171	326603.626733944	460855.160130614	515707.05746	546731.129714479	353197.867299129	464208.012332154	554407.784	551997.465787517	379792.107864314	468503.570028535
A04-0061	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	04/20/2022 08:00 AM	04/21/2022 08:00 AM	0.725	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	40631.8650394679	33010.3896930814	36821.1273662747	111510.994473313	90594.4479548633	101052.721214088	21719.4199003279	22876.5870340337	61624.3657725439	61117.7432403268	19535.7813946903	19868.8617282767	56653.0957425528	56656.6822155089	17352.1428890526	18779.920634423	51681.8257125617	57100.999234466
A02-0434	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/04/2022 09:00 AM	04/06/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	886	2356	1621	NA	NA	NA	1347	1863.11177896662	NA	NA	1776.39596302584	1770.45415290059	NA	NA	2205.79192605167	1877.68325666318	NA	NA
C01-0036	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	11/09/2021 07:00 AM	11/10/2021 07:00 AM	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	69405.93064	83310.26614	76358.09839	NA	NA	NA	29243.9042704	52382.8845836753	705804.806177049	625706.282386592	32618.4173163	60499.7455511733	842134.534004001	663617.620628924	35992.9303622	68950.4648420341	978464.261830953	753954.31766211
A04-0025	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	02/28/2022 08:00 AM	03/01/2022 08:00 AM	0.737	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	150778.8572	172025.6844	161402.2708	420649.968055254	479925.368790653	450287.668422954	161201.165936	303966.701713921	433348.66634433	693773.142802152	160848.490194	245199.982731183	434798.683987581	541109.126654397	160495.814452	191528.439134306	436248.701630831	398564.205057541
E01-0066	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	02/17/2022 10:15 AM	02/18/2022 10:15 AM	2.907	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9051.728379	9051.728379	9051.728379	99606.9105789982	99606.9105789982	99606.9105789982	336792.5560758	342961.524255434	3000526.34793398	3089619.41901816	345927.0613558	358451.893426102	3070181.9835774	3166629.92160814	355061.5666358	388449.503190812	3139837.61922082	3378404.06131002
D01-0014	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	01/17/2022 07:15 AM	01/18/2022 07:15 AM	NA	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	284700.1228	36496.14394	160598.13337	NA	NA	NA	487264.61058	797280.098779009	NA	NA	352856.541797	689407.887587912	NA	NA	218448.473014	780567.708334384	NA	NA
A01-0195	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/07/2022 12:00 AM	03/08/2022 12:00 AM	10.1	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	29721.64594	27597.97353	28659.809735	1136337.01915313	1055143.41429999	1095740.21672656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0197	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	10/27/2021 12:14 PM	10/29/2021 12:14 PM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	6624.563895	22088.70873	14356.6363125	NA	NA	NA	9051.493834	24547.8703173718	1205234.418654	26265079.9903284	12715.955446	25298.6178490901	1079179.48207413	25255219.7317302	16380.417058	28305.4976301808	953124.54549426	24245359.473132
A0229	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/27/2021 12:00 AM	01/27/2021 11:59 PM	9.352	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	61140	50940	56040	2164426.5751248	1803334.8010608	1983880.6880928	427515	1488065.03989493	15841715.2584911	56897528.7910523	364695.3	1264536.35174975	13514325.593869	48354477.9684863	301875.6	1041032.74945898	11186935.9292469	39812061.6029981
D01-0048	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	05/01/2022 07:30 AM	05/02/2022 07:30 AM	1.27	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	204822.719693184	213378.759026527	209100.739359855	984679.223619295	1025812.13202239	1005245.67782084	234094.197303057	368754.412100208	1118909.47646307	1805365.90240286	221522.840470075	337980.793922174	1058802.096302	1655684.50557841	208951.483637094	308052.067619836	998694.716140934	1509990.06245443
A02-0249	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	12/04/2021 09:00 AM	12/06/2021 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1817	4947.091956	3382.045978	NA	NA	NA	1524.9519608	2179.9192781776	NA	NA	3986.7288077	4935.72606430446	NA	NA	6448.5056546	8613.15783786823	NA	NA
A0241	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	02/14/2021 12:00 PM	02/14/2021 11:55 AM	9.362	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	43740	72930	58335	1550102.2282908	2584566.8840706	2067334.5561807	137020.8	374448.670878317	4958479.57184438	13827897.2114114	132460.8	324465.720843132	4781549.16094375	11993941.0802054	127900.8	275579.369859084	4604618.75004311	10195462.196758
O01-0052	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	04/27/2022 07:15 AM	04/28/2022 07:15 AM	2.03	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	332	3064.28520474583	1698.14260237292	2551.2149236	23547.1389895007	13049.1769565504	4502.05365939438	10441.7172881604	33374.6834369231	71176.055215261	6248.51472628489	12443.0898361854	46752.2076658461	84216.307111091	7994.97579317541	14620.166268089	60129.731894769	98869.5821817948
A02-0008	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	08/11/2021 09:45 AM	08/13/2021 09:45 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	6589.87239	1317.83566	3953.854025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0312	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	01/26/2022 09:00 AM	01/28/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	515731.8538	544976.8907	530354.37225	NA	NA	NA	980020.41756	1952751.08661078	NA	NA	902999.002366	2046473.18354592	NA	NA	825977.587172	2153051.76576223	NA	NA
A01-0227	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/13/2022 12:00 AM	04/14/2022 12:00 AM	9.7	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32474.3589386344	28864.8520410061	30669.6054898202	1192409.00177799	1059873.40577609	1126141.20377704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A01-0183	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	02/22/2022 12:00 AM	02/23/2022 12:00 AM	10	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	192985.5448	182089.4507	187537.49775	7305294.11141368	6892832.27574287	7099063.19357827	139746.181536	81794.8205186054	5603305.19047709	3369957.58901668	130554.65195	96206.9769082147	5253105.9251005	4071451.73429978	121363.122364	114564.478997961	4902906.65972392	4899425.10364732
C01-0010	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	09/27/2021 07:00 AM	09/28/2021 07:00 AM	NA	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	37600.79622	67410.84516	52505.82069	NA	NA	NA	24315.7713142	30852.7601684449	630900.791222698	777192.188573827	34094.2933639	42085.7976857255	793048.291465228	1039860.28571989	43872.8154136	54158.6008964517	955195.791707759	1425175.16967097
A01-0036	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	09/01/2021 12:00 AM	09/01/2021 11:55 PM	12.161	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	72143.12136	38447.71758	55295.41947	3321063.2145057	1769916.49556542	2545489.85503556	102962.514398	95391.2197526763	3854559.9383955	3075702.46368598	94980.145346	104393.660812354	3533890.52933161	3404305.16960583	86997.776294	122403.72566366	3213221.12026771	4124783.74742185
E02-0010	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	11/16/2021 08:00 AM	11/17/2021 08:00 AM	0.117	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	63350.70759	58067.82402	60709.265805	28057.5830361366	25717.8310416551	26887.7070388959	28117.732286	37479.8910224667	18489.3433625513	430681.67415938	26218.152675	36850.4842985512	17904.405363931	404352.685221035	24318.573064	37012.5167901209	17319.4673653106	378023.69628269
A02-0263	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	12/11/2021 09:00 AM	12/13/2021 09:00 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2208	2259	2233.5	NA	NA	NA	35766.530036	120577.873068038	1205234.418654	26265079.9903284	34272.9933956	114302.949460249	1079179.48207413	25255219.7317302	32779.4567552	108055.220797881	953124.54549426	24245359.473132
M03-0013	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	02/23/2022 11:30 AM	02/24/2022 11:30 AM	0.253	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11341.29792	1720	6530.64896	10861.6600275148	1647.2590156	6254.45952155742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0369	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	02/23/2022 09:00 AM	02/24/2022 11:08 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2674.906016	8025.230058	5350.068037	NA	NA	NA	18676.5408466	25859.3517986775	1205234.418654	26265079.9903284	15045.3630681	18735.0465310905	1079179.48207413	25255219.7317302	11414.1852896	15725.6091298149	953124.54549426	24245359.473132
O01-0027	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	02/18/2022 08:05 AM	02/19/2022 08:05 AM	1.23	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8927.210234	8927.210234	8927.210234	41565.5755970197	41565.5755970197	41565.5755970197	31355.1491468	66240.3673070574	180514.431421743	385476.263385368	29442.7926028	60255.1845174864	169634.972367336	352006.418175769	27530.4360588	54543.9362695143	158755.513312929	320227.489336501
G01-0038	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	01/03/2022 09:00 AM	01/04/2022 08:00 AM	1.573	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1240	14326.36036	7783.18018	7383.5179132	85305.5954427568	46344.5566779784	13064.0156488	32056.9939180221	61786.1634304597	122822.7545975	14767.1039534	34738.0162941479	69082.9487770491	129546.059306875	16470.192258	38551.5896342389	76379.7341236385	149430.640732548
B01-0164	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	05/04/2022 07:00 AM	05/05/2022 07:00 AM	13.3	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	16193.6112307012	10795.0450479984	13494.3281393498	815282.789921155	543486.83061941	679384.810270283	38424.492906779	23161.91696299	1885958.2008641	1673156.2211722	37580.0690744072	28317.5874881548	2047563.60160995	2188890.82629575	36735.6452420353	35858.1368829436	2209169.00235581	2716342.43711444
A02-0162	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	10/09/2021 09:00 AM	10/11/2021 09:00 AM	NA	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1539.51589	6158.687994	3849.101942	NA	NA	NA	7087.3830682	14158.358029704	NA	NA	7317.4645133	6878.76910742637	NA	NA	7547.5459584	11721.5453616253	NA	NA
A03-0145	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	12/10/2021 06:00 AM	12/10/2021 02:00 PM	NA	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2546.666586	2546.666586	2546.666586	NA	NA	NA	1688.5333172	1700.70859731824	NA	NA	1894.1333172	1443.48670471007	NA	NA	2099.7333172	1395.12859437542	NA	NA
A02-0028	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	08/21/2021 09:00 AM	08/23/2021 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	14006.2701	14006.2701	14006.2701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
