Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
A03-0329	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	05/02/2022 06:00 AM	05/02/2022 02:00 PM	NA	05/05/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	20	1982	1001	NA	NA	NA	NA	NA	NA	1054.5806034	2296.38685299862	NA	NA	1779.0806034	1207.95114197197	NA	NA	2503.5806034	582.943119338228	NA	NA
A1062	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/02/2021 12:00 AM	06/02/2021 11:55 PM	8.513	06/04/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	4013.75	4013.75	4013.75	129343.877755788	129343.877755788	129343.877755788	0.000267637555362911	0.000267637555362911	NA	3278	6361.6480421472	96280.5241358665	178528.987937182	3384.925	4888.09132685191	100186.294842956	143176.162074603	3491.85	4572.31417346672	104092.065550045	142516.368590667
A02-0472	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/25/2022 09:00 AM	04/27/2022 09:00 AM	NA	04/27/2022	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	231076.5606	236798.3159	233937.43825	NA	NA	NA	NA	NA	NA	228085.357905	536417.374359286	NA	NA	244540.556878	603326.131716468	NA	NA	260995.755851	670634.755766976	NA	NA
A01-0149	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/10/2022 12:00 AM	01/11/2022 12:00 AM	12.5	01/18/2022	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	101390.8719	18658.84457	60024.858235	4797575.25498724	882892.210296546	2840233.73264189	0.00992711317453079	0.00182687512476524	NA	95861.898036	55622.3580588461	4258625.6589564	1886077.43688197	78337.505372	35431.2591444941	3538315.54910183	2141633.61206508	60813.112708	66457.9375290277	2818005.43924725	3825355.02018736
H01-0146	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/03/2022 08:00 AM	03/04/2022 08:00 AM	2.3	03/11/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32100.21313	7405.55956	19752.886345	279478.675904197	64476.0821922451	171977.379048221	0.0023289889658683	0.000537300684935376	NA	15762.189484	20294.9947698544	137892.885167019	177979.50400954	12414.4649342	11874.6568434628	108352.672126283	103870.687180748	9066.7403844	8400.91394794227	78812.4590855465	71739.3375479512
N03-0020	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	03/22/2022 07:30 AM	03/23/2022 07:30 AM	0.494	03/30/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3124.595778	3124.595778	3124.595778	5842.9707953755	5842.9707953755	5842.9707953755	0.000315324921498947	0.000315324921498947	NA	18484.5170962	41251.9593426289	46433.3625185716	110154.635006378	19320.2808157	42322.6978011571	48597.5042748449	112269.068202908	20156.0445352	44241.2079843767	50761.6460311182	116445.474893085
E02-0079	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	02/11/2022 08:00 AM	02/12/2022 08:00 AM	0.156	02/18/2022	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	395055.2648	157575.5534	276315.4091	233289.599388545	93052.1397929595	163170.869590752	0.00975698868208049	0.003891766616184	NA	169038.574786	247302.902466325	110800.409949686	149313.837510069	134097.876008	160098.106583673	88767.2900131414	99077.6177231192	99157.17723	82153.3433932627	66734.1700765974	58092.4302157015
L01-0084	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/21/2022 09:00 AM	04/22/2022 09:00 AM	0.144	04/27/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2444	2227	2335.5	1332.22205376	1213.93556208	1273.07880792	0.000236209584	0.000215236801787234	NA	2184.2968444	903.572482765098	2403.69290068935	1278.54733115796	1812.7484222	887.367621085104	2020.33574990568	1444.94035608957	1441.2	1725.98569956918	1636.978599122	2564.06997396184
C01-0039	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	11/15/2021 07:00 AM	11/16/2021 07:00 AM	7.006	11/23/2021	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	79163.80808	62772.81582	70968.31195	2099470.30003325	1664771.6382007	1882120.96911698	0.00419894060006651	0.00332954327640141	NA	65016.6026	60887.5087978381	1452744.13109944	1730555.04185226	58942.9240385	51457.3576870252	1296628.41118174	1038234.178364	52869.245477	61259.9049857187	1140512.69126404	869197.981575513
N02-0020	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/22/2022 07:00 AM	03/23/2022 07:00 AM	7.23	03/30/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12140.42092	3034.775304	7587.598112	332265.283557039	83057.2913048108	207661.287430925	0.00125392589462238	0.000313447397180205	NA	9927.5040742	8215.00345299087	340273.727296454	274108.258776538	8111.7209668	7571.24863117298	286642.25588294	307295.968750127	6295.9378594	9335.94686492619	233010.784469426	405076.331275078
A02-0301	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	01/19/2022 09:00 AM	01/21/2022 09:00 AM	NA	01/21/2022	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3014956.155	3153337.34	3084146.7475	NA	NA	NA	NA	NA	NA	929264.28401	2279858.17105486	NA	NA	794289.085702	2391977.88507373	NA	NA	659313.887394	2569057.02729703	NA	NA
E01-0087	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	03/29/2022 08:25 AM	03/30/2022 08:25 AM	2.421	03/31/2022	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	34979.91275	29147.89908	32063.905915	320572.627197129	267125.2684972	293848.947847164	0.000890479519992024	0.000742014634714443	NA	85099.166072	174001.655692519	791714.13092213	1724210.7510056	74164.7338616	153256.403028801	694720.878202788	1524323.58505139	63230.3016512	136783.28026342	597727.625483445	1352326.53663072
A03-0293	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	04/01/2022 06:00 AM	04/01/2022 02:00 PM	NA	04/04/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1635	235	935	NA	NA	NA	NA	NA	NA	1705.8	785.975376402818	NA	NA	1692.9420035	1314.08034139521	NA	NA	1680.084007	2087.66793230746	NA	NA
E01-0010	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	11/17/2021 08:00 AM	11/18/2021 08:00 AM	1.853	11/19/2021	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	71343.69358	71343.69358	71343.69358	500430.68795548	500430.68795548	500430.68795548	0.00139008524432078	0.00139008524432078	NA	68566.369058	57779.7300714481	568860.635481285	923024.419558727	66955.28518	52665.622771806	545885.359472836	781633.462972111	65344.201302	48982.3694539866	522910.083464388	645314.793445815
A03-0344	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	05/16/2022 06:00 AM	05/16/2022 02:00 PM	NA	05/17/2022	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1484	2618	2051	NA	NA	NA	NA	NA	NA	3165.38386731744	10108.0006875757	NA	NA	3705.08386731744	9549.57083364701	NA	NA	4244.78386731744	8993.07866478492	NA	NA
H01-0158	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/15/2022 08:00 AM	03/16/2022 08:00 AM	2.7	03/18/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	27094.4735	13545.04857	20319.761035	276921.965515415	138438.618229882	207680.291872648	0.00230768304596179	0.00115365515191568	NA	46562.353808	109343.808680791	497112.006540323	1154225.1924158	46117.275413	114430.997569072	493162.367292504	1208262.57074621	45672.197018	119899.480148724	489212.728044686	1266257.39315984
A02-0347	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	02/12/2022 09:00 AM	02/27/2022 09:00 AM	NA	02/14/2022	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	53198.77714	29546.5406	41372.65887	NA	NA	NA	NA	NA	NA	378539.816618	884770.618660288	NA	NA	373187.159997	885485.750837761	NA	NA	367834.503376	886518.1367019	NA	NA
A02-0214	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	11/08/2021 10:00 AM	11/10/2021 09:58 AM	NA	11/10/2021	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1700	5100	3400	NA	NA	NA	NA	NA	NA	7867.6644652	11956.9837490364	NA	NA	9349.1747577	11633.902003986	NA	NA	10830.6850502	13324.9491178066	NA	NA
J01-0035	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	04/25/2022 07:30 AM	04/26/2022 07:30 AM	0.164	04/27/2022	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2583	2685	2634	1603.54510092	1666.8674394	1635.20627016	0.00022907787156	0.000238123919914286	NA	1486.4	2211.14417147224	1088.026011742	1444.04767436505	2035.4009517	949.774026708415	1690.39474245032	218.64964579685	2584.4019034	583.671725988286	2292.76347315864	1425.82793710934
A02-0110	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	09/15/2021 09:30 AM	09/17/2021 09:30 AM	NA	09/17/2021	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5201.830938	2600.78026	3901.305599	NA	NA	NA	NA	NA	NA	20034.3940554	45485.021857067	NA	NA	18890.9772236	45501.8876128169	NA	NA	17747.5603918	46078.0279618096	NA	NA
N03-0053	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	04/21/2022 07:30 AM	04/22/2022 07:30 AM	0.68392	04/27/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3002.382866	1930	2466.191433	7772.921865343	4996.610981896	6384.7664236195	0.0004194777045517	0.000269649810140097	NA	9303.4669152	32441.4020894554	14838.0590964719	46099.5365321078	10663.0876512	35225.9360276282	17167.8475975231	49618.8650310857	12022.7083872	38110.6268175283	19497.6360985743	53426.7608803326
C01-0034	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	11/07/2021 07:00 AM	11/08/2021 07:00 AM	NA	11/12/2021	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	49286.16226	69983.49965	59634.830955	NA	NA	NA	NA	NA	NA	16180.5160872	34251.9109174885	705804.806177049	625706.282386592	19480.6851712	41415.9275572468	842134.534004001	663617.620628924	22780.8542552	48703.0393908949	978464.261830953	753954.31766211
P01-0073	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	04/25/2022 12:35 PM	04/26/2022 12:35 PM	0.215	04/28/2022	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11355.12348	8516.054889	9935.5891845	9241.51656407176	6930.90325753444	8086.2099108031	0.000319554514663616	0.000239657788988051	NA	4316.3483208	8115.24360268202	3989.69462309795	6753.02938826853	4001.7963799	6517.34642900345	3712.62636760242	5169.38993961957	3687.244439	5143.46104528341	3435.55811210689	3887.11032703863
D01-0065	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	04/25/2022 07:20 AM	04/26/2022 07:20 AM	1.2	04/27/2022	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	116901.8273	96980.59738	106941.21234	531025.615295632	440533.587753871	485779.601524751	0.0031236800899743	0.00259137404561101	NA	93764.737314	147282.116312667	429457.105257332	673558.101122358	87131.570446	132574.695386236	399097.54812679	606430.431299695	80498.403578	118437.215096276	368737.990996247	541950.676625223
A1016	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/28/2021 12:00 PM	03/28/2021 11:55 AM	10.979	04/09/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10800	16170	13485	448848.177012	672025.4650263	560436.82101915	0.000928753883901672	0.00139055095395278	NA	11159.2	24081.4081582641	382852.541864654	752808.517413976	12327.9	16446.654765849	424679.53413697	522523.799606972	13496.6	13664.5103998854	466506.526409286	451265.412725573
A03-0125	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	03/04/2022 06:00 AM	03/04/2022 01:53 PM	NA	03/07/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	20988.67938	13116.69197	17052.685675	NA	NA	NA	NA	NA	NA	7566.17553	16932.3270590678	NA	NA	7192.3830198	13806.0139389177	NA	NA	6818.5905096	11100.9940707986	NA	NA
C01-0102	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	01/09/2022 07:00 AM	01/10/2022 07:00 AM	22.516	01/11/2022	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	20975.10863	3495.122753	12235.1156915	1787756.57425483	297897.321521686	1042826.94788826	0.00357551314850966	0.000595794643043372	NA	40512.741007	45471.2287213217	2085813.80451426	1824739.03641177	25765.0036878	30958.129854654	1314342.10575281	1228748.52069305	11017.2663686	17250.0401332529	542870.406991366	689080.618727711
H01-0172	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/29/2022 08:00 AM	03/30/2022 08:00 AM	1.9	04/01/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2502	365	1433.5	17995.082058	2625.181835	10310.1319465	0.00014995901715	2.18765152916667e-05	NA	2713.3804882	3384.33900177511	19572.6249034906	24165.1456500904	2714.4884814	1574.0682800907	20190.4625666815	12032.1938260542	2715.5964746	3473.60674689405	20808.3002298725	29633.8067250915
N02-0024	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/14/2022 07:00 AM	03/15/2022 07:00 AM	12.1	03/23/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1392227.24	1461848.223	1427037.7315	63768826.0904776	66957708.0700998	65363267.0802887	0.2406552422465	0.252689667409238	NA	286551.300534	1138338.95667956	13080927.7118671	52184405.5428318	294354.2116913	1166136.59126084	13431482.061867	53464679.5592685	302157.1228486	1193962.24059271	13782036.4118668	54745852.9752046
A01-0015	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	08/25/2021 12:00 AM	08/25/2021 11:55 PM	8.915	08/27/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	438414.6786	180041.0271	309227.85285	14795149.5354489	6075831.96567796	10435490.7505634	0.0306140323113907	0.0125720740888883	NA	143462.20831	310994.422781884	5042350.73125169	10340958.5562503	117987.235286	214155.061136187	4176215.59691992	7152726.76738241	92512.262262	136800.194331133	3310080.46258816	4752444.83049609
A01-0010	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	08/19/2021 12:01 AM	08/19/2021 11:59 PM	11.28	08/20/2021	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	47941.2756	56169.02781	52055.151705	2047064.89229827	2398385.1790622	2222725.03568024	0.00423577406947996	0.00496272384344935	NA	36771.838176	23132.6472421097	1472669.85913584	971187.847702966	38236.802751	26703.1279202857	1554193.66402911	1226462.43567109	39701.767326	35289.2144758835	1635717.46892237	1629395.00012277
H01-0128	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/14/2022 08:00 AM	02/15/2022 08:00 AM	NA	02/18/2022	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	18705.2412	18705.2412	18705.2412	NA	NA	NA	NA	NA	NA	18939.6669544	22469.8233016895	137702.957465257	187260.911729532	15104.8180076	16601.974586396	106802.650444665	131417.025261396	11269.9690608	14730.6092154642	75902.3434240729	104607.670663278
A03-0325	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	04/29/2022 06:00 AM	04/29/2022 12:55 PM	NA	04/29/2022	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1	2768	1384.5	NA	NA	NA	NA	NA	NA	1538.7639592	2236.41844391327	NA	NA	2067.0639592	982.668808729532	NA	NA	2595.3639592	277.088892919417	NA	NA
