Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.far.mean	n1.far.ci	n1.mid.mean	n1.mid.ci	n1.near.mean	n1.near.ci	n1.load.far.mean	n1.load.far.ci	n1.load.mid.mean	n1.load.mid.ci	n1.load.near.mean	n1.load.near.ci	n1n2.far.mean	n1n2.far.ci	n1n2.mid.mean	n1n2.mid.ci	n1n2.near.mean	n1n2.near.ci	n1n2.load.far.mean	n1n2.load.far.ci	n1n2.load.mid.mean	n1n2.load.mid.ci	n1n2.load.near.mean	n1n2.load.near.ci	n2.far.mean	n2.far.ci	n2.mid.mean	n2.mid.ci	n2.near.mean	n2.near.ci	n2.load.far.mean	n2.load.far.ci	n2.load.mid.mean	n2.load.mid.ci	n2.load.near.mean	n2.load.near.ci
A01-0174	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	02/09/2022 12:00 AM	02/10/2022 12:00 AM	192314.1718	199923.6605	10.9	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	192314.1718	199923.6605	196118.91615	7935069.08090048	8249043.95825702	8092056.51957875	1366118.33318	1912621.95140509	1617120.55848	3071059.17971365	355667.49788	582085.560478992	48671087.9505446	63569343.2470736	54601924.6854527	102124061.193943	13272148.9250429	17237607.2820563	1349441.82417333	1905399.05931328	1610102.604	3059222.11029399	353795.9042	582819.444241451	48061065.9495399	63300047.3279402	54350755.5432925	101734132.717487	13181329.5859007	17272122.7626114	1332765.31516667	1898413.17955581	1603084.64952	3047445.71799114	351924.31052	583779.709653087	47451043.9485353	63043229.9652525	54099586.4011324	101346237.787832	13090510.2467585	17321751.2542156
A01-0011	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	08/21/2021 12:00 AM	08/21/2021 11:59 PM	51799.74765	23210.10455	10.554	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	51799.74765	23210.10455	37504.9261	2069462.96616235	927271.926719152	1498367.44644075	39761.45829	40176.600760068	54445.687435	59995.7531328535	36771.838176	23132.6472421097	1420196.18520286	1457178.15805586	1981784.00141326	2156395.75218214	1472669.85913584	971187.847702966	42454.1298413333	42671.9912936903	57443.257262	64160.6949542357	38236.802751	26703.1279202857	1519814.49479959	1554436.53056346	2102958.1171258	2313004.18886382	1554193.66402911	1226462.43567109	45146.8013926667	45386.0802057086	60440.827089	68659.9427698011	39701.767326	35289.2144758835	1619432.80439633	1660090.90234474	2224132.23283834	2483631.61315787	1635717.46892237	1629395.00012277
R01-0011	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	04/14/2022 09:00 AM	04/15/2022 08:30 AM	0	0	0.148	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	22272.5047776475	30794.2349242017	7994.52475318684	7587.56849433442	6734.04237069189	10401.0477420636	22879.944269636	32740.1859965377	5230.57974959608	4906.80819345966	4766.31741065889	8376.31630390514	17051.4986761846	18982.6126531871	7196.84176775626	7204.22202932336	5138.67639983073	6341.8770993122	19092.4574928195	28601.9188722189	4861.65284168741	4783.03302710245	3452.12493847097	4295.13477236984	11830.4925747216	9550.6168695896	6399.15878232568	7788.92463707099	3543.31042896957	8795.16661045407	15304.9707160031	25676.3103736071	4492.72593377874	5670.72262923766	2137.93246628304	4943.05287793177
K01-0043	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	02/28/2022 06:21 AM	03/01/2022 06:28 AM	111388.2941	158103.995	8.085	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	111388.2941	158103.995	134746.14455	3409043.17975402	4838779.0674192	4123911.12358661	226445.788402667	116316.908228635	156302.875791	52745.3019164923	127946.016922	84071.1981284589	5799256.60855585	2218872.93154668	4403107.28235248	1200226.44774597	4246754.37801402	3009590.32401398	202621.308621333	126262.916977735	121798.007185	36281.0573570601	109038.073647	88303.4620405482	5132588.11571258	2462105.68398723	3501641.14461476	1116319.01085282	3578986.64301915	2770010.01025794	178796.82884	140575.583999555	87293.138579	48476.2132945071	90130.130372	115775.164287258	4465919.6228693	2848935.02856653	2600175.00687703	1626844.8130017	2911218.90802428	3630028.49719055
O01-0023	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	03/31/2022 06:15 AM	04/01/2022 06:15 AM	0	2830.05947247148	1.88	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	2830.05947247148	1415.02973623574	0	20140.3186040539	10070.159302027	10253.5306969658	12578.5060612498	11776.1497632601	20291.6400373807	6251.20370462537	18194.3053045952	69713.11425988	81451.3026422665	78840.2155657156	131107.620746286	42982.8544741762	121575.989179464	8930.84306176752	10697.0472266083	9898.99988402613	17374.8598193064	5383.41210968793	11252.1486267882	60457.654141416	68679.0432348983	65921.3518164711	111475.605155089	36808.0633311492	74665.6715280003	7608.15542656928	9300.6677040538	8021.85000479221	15117.4529290916	4515.62051475048	6897.26426326161	51202.194022952	59661.4338505249	53002.4880672265	96931.9396413613	30633.2721881222	45010.9476184803
A1076	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/22/2021 12:00 AM	06/22/2021 11:55 PM	0	4892.5	12.985	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	4892.5	2446.25	0	240483.737748625	120241.868874312	851.833333333333	1314.45379747722	472.625	1457.20719215865	945.25	3892.48541975545	26883.2105427125	41434.2535364929	14656.13845504	45188.10974019	29312.27691008	120706.279283069	1308.625	1388.3851506968	972.5625	1759.90419897652	1945.125	4103.96126869988	40479.6266227608	41899.125365246	30574.0004343525	51232.9365532724	61148.000868705	114648.338115403	1765.41666666667	2281.75086952361	1472.5	3425.75134351256	2945	8707.5426865803	54076.0427028092	66541.4393488134	46491.862413665	99482.3036607195	92983.72482733	247217.064877058
A02-0448	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	04/11/2022 09:00 AM	04/13/2022 08:54 AM	2802.61910520494	0	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2802.61910520494	0	1401.30955260247	NA	NA	NA	2454.05314179758	6796.1915605466	432.860986329615	1593.22952192319	865.72197265923	7015.57587979941	NA	NA	NA	NA	NA	NA	1732.17083172251	4543.35291025401	432.860986329615	1593.22952192319	865.72197265923	7015.57587979941	NA	NA	NA	NA	NA	NA	1010.28852164745	2350.2669442575	432.860986329615	1593.22952192319	865.72197265923	7015.57587979941	NA	NA	NA	NA	NA	NA
N03-0039	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	02/17/2022 07:35 AM	02/18/2022 07:35 AM	44125.39311	38239.3194	0.70815	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	44125.39311	38239.3194	41182.356255	118284.209573078	102505.776176675	110394.992874876	NA	NA	NA	NA	95074.8436906	186496.705905008	NA	NA	NA	NA	1519302.88471587	3946675.83014663	NA	NA	NA	NA	71806.8375338	129366.393991679	NA	NA	NA	NA	1064347.06764694	2645368.11002467	NA	NA	NA	NA	48538.831377	84374.3559428778	NA	NA	NA	NA	609391.250578015	1363536.98425628
H01-0157	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	03/14/2022 08:00 AM	03/15/2022 08:00 AM	10445.3004710376	13927.6455715299	3.1	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10445.3004710376	13927.6455715299	12186.4730212837	122573.209053818	163437.731351068	143005.470202443	24248.1749980259	27331.2852053809	28683.3677550389	43400.0744819579	40891.828425194	115823.317260087	240430.698952891	290461.556774	293227.473030026	461568.197344974	440165.869739944	1221440.92419006	22237.3470422367	28326.2625944474	27367.8380962551	45227.5598277493	41545.2559994962	119893.912600147	223010.792104895	301925.138570809	282081.159621251	481340.922063552	446516.343735078	1265150.60781443	20226.5190864475	29594.7761557248	26052.3084374713	47205.7841092579	42198.6835737984	124091.961868071	205590.8852569	315337.308293261	270934.846212476	502197.410266573	452866.817730213	1310318.46510097
A02-0332	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	02/05/2022 09:00 AM	02/07/2022 09:00 AM	41142.91169	48861.70104	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	41142.91169	48861.70104	45002.306365	NA	NA	NA	981919.708362222	979899.188234513	1245420.47801	1582401.42274007	439489.42802	2278693.20544591	NA	NA	NA	NA	NA	NA	993428.16839	1091233.88061424	1314375.21487583	1739345.88166538	438584.698085	2352219.08285961	NA	NA	NA	NA	NA	NA	1004936.62841778	1214573.34306667	1383329.95174167	1898230.54688513	437679.96815	2429789.80274337	NA	NA	NA	NA	NA	NA
A03-0041	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	10/11/2021 06:00 AM	10/11/2021 02:00 PM	0	0	NA	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	NA	NA	9238.85295666667	24992.6339457306	18477.7059133333	97641.4252731559	NA	NA	NA	NA	NA	NA	NA	NA	7128.52430816667	17680.6078131456	13975.2857133333	67028.9434276147	NA	NA	NA	NA	NA	NA	NA	NA	5018.19565966667	10899.329196717	9472.86551333333	39436.3703825909	NA	NA	NA	NA	NA	NA
E02-0108	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	04/14/2022 08:00 AM	04/15/2022 08:00 AM	2872.93176166713	5746.06047011912	0.186	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2872.93176166713	5746.06047011912	4309.49611589312	2022.79177930742	4045.72222614001	3034.25700272372	25734.2805648223	29761.3244136738	17997.2106297501	11128.4122202852	14291.7973631993	27113.4104750494	14189.687788392	14750.0612600982	11145.5363740276	8577.56836284296	10106.8764377185	23468.0719219539	25100.3762385808	25709.7116764125	18852.4426866788	11544.4609532233	16501.9134529866	30536.3011998684	14235.2105161972	13120.0458559887	12012.7838209368	9658.43130614058	11733.4347299472	26386.3653495126	24466.4719123394	22316.9802721965	19707.6747436076	13357.0180707771	18712.029542774	34459.1233583611	14280.7332440024	12047.1837291596	12880.031267846	11302.20914602	13359.9930221759	29511.837554323
O01-0014	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	04/15/2022 07:10 AM	04/16/2022 07:10 AM	11132.2381161153	17813.0011260509	1.2	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11132.2381161153	17813.0011260509	14472.6196210831	50568.1025845488	80915.4151110772	65741.758847813	4644.5043310523	4854.22168626082	4706.2957920134	4471.97120491328	4908.82848668843	8378.08297094902	34303.5230974835	34333.3355081078	36480.936173807	35372.544214551	33777.3873410023	51364.4202349342	4458.56572128832	3886.78812429531	4431.39040935784	4846.47747330987	5194.13942797109	10802.9979542781	32589.5915741087	28012.751849647	33817.9842956228	36846.4619567048	34405.1387340093	67792.4304510734	4272.62711152434	3720.44800869266	4156.48502670228	5579.42237519697	5479.45036925375	13435.2736477659	30875.6600507338	26945.6015919684	31155.0324174385	41123.9545708042	35032.8901270163	87193.4552582644
A02-0137	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	09/29/2021 10:39 AM	10/01/2021 10:39 AM	72340.13602	16323.95921	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	72340.13602	16323.95921	44332.047615	NA	NA	NA	72556.4750066667	90971.7740216097	20360.7598933333	31501.4685631246	22999.98723	130581.09224141	NA	NA	NA	NA	NA	NA	72027.1319930556	90711.3587754323	20562.2657729167	34148.3294748797	24498.9887441667	146825.948343652	NA	NA	NA	NA	NA	NA	71497.7889794444	90631.0224614377	20763.7716525	37734.6111327829	25997.9902583333	166787.515996719	NA	NA	NA	NA	NA	NA
A01-0202	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/15/2022 12:00 AM	03/16/2022 12:00 AM	28157.0475921035	30973.794311285	10.6	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	28157.0475921035	30973.794311285	29565.4209516943	1129811.27697162	1242834.21367314	1186322.74532238	56158.8285686872	23976.2565546393	48568.2319620309	31456.6340466763	28700.4633740617	21036.1226386202	2240694.24924984	821650.703202807	1836121.89009901	962622.032645197	1248406.80727936	884536.428888141	51500.6661626567	19794.9916777855	47728.4355559851	29764.3306156279	29582.9528789702	31829.4206702277	2067772.79940688	702628.68301844	1803366.66514421	930689.919181352	1274003.59349455	1261287.92391024	46842.5037566262	20796.1186706949	46888.6391499393	29895.9945502443	30465.4423838786	44391.9455120381	1894851.34956391	794130.406257442	1770611.44018941	972647.029515013	1299600.37970974	1741741.81416487
A02-0402	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	03/14/2022 09:00 AM	03/16/2022 09:00 AM	0	0	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G01-0004	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	10/09/2021 08:45 AM	10/10/2021 09:00 AM	92150.051	28325.17728	NA	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	92150.051	28325.17728	60237.61414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0103	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/04/2020 12:00 AM	11/04/2020 11:59 PM	12420	12420	6.95	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12420	12420	12420	326752.80579	326752.80579	326752.80579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1030	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/15/2021 12:00 PM	04/16/2021 12:00 PM	7632	0	10.003	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7632	0	3816	288989.16194736	0	144494.58097368	26933.2	20767.9133245418	32655.6	31701.5096870165	18627.6	43537.9897312581	935586.774275868	683651.489086595	1130570.46791326	1045552.76165971	656924.091189552	1434226.83047336	25248.8	19582.5402769167	30237.6	30498.9363284976	17506.2	32953.5002547197	883414.780374296	640446.384053997	1049655.86420959	998982.315780429	626268.720528192	1093775.09382082	23564.4	19463.0111236765	27819.6	30854.369822782	16384.8	24998.7553085739	831242.786472724	639401.059038102	968741.260505916	1014159.48136427	595613.349866832	883453.664132878
S01-0046	not institution specific	wwtp	WWTP	WWTP	21939	FollansbeeWWTP-01	03/07/2022 06:00 AM	03/08/2022 06:00 AM	0	0	0.944	24-hr time-weighted composite	Follansbee	26037		-80.59829	40.3258	6468	Brooke	1.6	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
