assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
4302_03	4302_03	07/11/2023 7:0	07/12/2023 7:0	Routine Surveillance	7.322	Pass	CSB	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
6805	6805	01/22/2025 7:0	01/23/2025 7:0	Routine Surveillance	9.611	Pass	CSB	SARS-CoV-2	N2	MUIDSL	72008.10909	72008.10909	145.470927454545	2619768.45819015	5292.46153169728	100	0	NA	yes
5875	5875	06/17/2024 8:30	06/18/2024 8:30	Routine Surveillance	0.48	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	66694.68284	66694.68284	926.315039444444	121184.025297295	1683.11146246243	100	0	NA	yes
1043	1043	03/12/2022 0:1	03/13/2022 0:1	Routine Surveillance	22.11	Pass	HSB	SARS-CoV-2	N1	MUIDSL	6825.6	6825.6	12.1885714285714	571271.42530656	1020.12754519029	100	0	NA	yes
2537	2537	09/21/2022 0:1	09/22/2022 0:1	Routine Surveillance	6.91	Pass	HSB	SARS-CoV-2	N2	MUIDSL	835519.3138	835519.3138	1491.99877464286	21854831.674653	39026.4851333089	100	0	NA	yes
6498	6498	10/22/2024 8:30	10/23/2024 8:30	Routine Surveillance	0.587	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	109507.4654	109507.4654	1520.93701944444	243329.494250091	3379.57630902904	100	0	NA	yes
4962	4962	11/25/2023 8:30	11/26/2023 8:30	Routine Surveillance	0.967	Pass	DUN	SARS-CoV-2	N1	MUIDSL	915920.1264	915920.1264	10176.8902933333	3352717.80988852	37252.4201098725	100	0	NA	yes
7030	7030	03/18/2025 8:30	03/19/2025 8:30	Routine Surveillance	0.639	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	322334.3372	322334.3372	4476.86579444444	779687.111339981	10828.9876574997	100	0	NA	yes
2417_18	2417_18	09/03/2022 9:0	09/04/2022 9:0	Routine Surveillance	1.661	Pass	DUN	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	0	0	0	0	0	100	0	NA	yes
6941	6941	02/27/2025 0:0	02/28/2025 0:0	Routine Surveillance	11.54	Pass	HSB	SARS-CoV-2	N1	MUIDSL	346390.5573	346390.5573	618.554566607143	15131597.4255338	27020.7096884532	100	0	NA	yes
6338	6338	09/22/2024 0:0	09/23/2024 0:0	Routine Surveillance	5.05	Pass	HSB	SARS-CoV-2	N1	MUIDSL	317798.0423	317798.0423	567.496504107143	6075129.23087936	10848.4450551417	100	0	NA	yes
4773	4773	10/15/2023 7:0	10/16/2023 7:0	Routine Surveillance	6.658	Pass	CSB	SARS-CoV-2	N1	MUIDSL	106103.8971	106103.8971	214.351307272727	2674164.08228169	5402.35168137715	100	0	NA	yes
6298	6298	09/12/2024 0:0	09/13/2024 0:0	Routine Surveillance	5.27	Pass	HSB	SARS-CoV-2	N2	MUIDSL	885622.6921	885622.6921	1581.46909303571	17667385.1231349	31548.9020055981	100	0	NA	yes
5047	5047	12/13/2023 9:0	12/14/2023 9:0	Routine Surveillance	0.072	Pass	SRO	SARS-CoV-2	N1	MUIDSL	3428138.924	3428138.924	84645.4055308642	934337.618229516	23070.0646476424	100	0	NA	yes
7188	7188	04/30/2025 7:0	05/01/2025 7:0	Routine Surveillance	7.18	Pass	CSB	SARS-CoV-2	N1	MUIDSL	105453.8488	105453.8488	213.038078383838	2866155.86618354	5790.21387107785	100	0	NA	yes
6912	6912	02/17/2025 7:15	02/19/2025 7:15	Routine Surveillance	0.373	Pass	PUT	SARS-CoV-2	N2	MUIDSL	9625.142068	4812.571034	98.2157353877551	13590.2956702892	277.352972863045	100	0	NA	yes
1976	1976	07/06/2022 9:0	07/09/2022 9:0	Routine Surveillance	3.17	Pass	HRSB	SARS-CoV-2	N2	MUIDSL	1794254.494	598084.831333333	2079.64404650139	21530604.8261002	74865.6240693353	100	0	NA	yes
7379	7379	06/17/2025 7:0	06/18/2025 7:0	Routine Surveillance	15.419	Pass	CSB	SARS-CoV-2	N1	MUIDSL	62201.09463	62201.09463	125.658777030303	3630506.01886641	7334.35559366951	100	0	NA	yes
6001	6001	07/16/2024 7:0	07/17/2024 7:0	Routine Surveillance	10.303	Pass	CSB	SARS-CoV-2	N2	MUIDSL	319481.8258	319481.8258	645.41782989899	12460136.0005709	25171.9919203452	100	0	NA	yes
5395	5395	03/04/2024 7:0	03/05/2024 7:0	Routine Surveillance	10.12	Pass	CSB	SARS-CoV-2	N2	MUIDSL	154362.5593	154362.5593	311.843554141414	5913374.82507011	11946.2117678184	100	0	NA	yes
6576	6576	11/11/2024 7:0	11/12/2024 7:0	Routine Surveillance	5.556	Pass	CSB	Influenza Virus A (FluA)	M	MUIDSL	38957.83279	38957.83279	78.7026925050505	819350.930728776	1655.25440551268	100	0	NA	yes
3062	3062	12/06/2022 8:30	12/07/2022 8:30	Routine Surveillance	0.152	Pass	SRO	SARS-CoV-2	N2	MUIDSL	93785.02369	93785.02369	2315.67959728395	53962.2445120072	1332.40109906191	100	0	NA	yes
6028	6028	07/22/2024 0:0	07/23/2024 0:0	Routine Surveillance	6.52	Pass	HSB	SARS-CoV-2	N1	MUIDSL	215928.7214	215928.7214	385.5870025	5329309.39311153	9516.62391627058	100	0	NA	yes
6694	6694	12/12/2024 0:0	12/13/2024 0:0	Routine Surveillance	8.02	Pass	HSB	Influenza Virus A (FluA)	M	MUIDSL	83900.36622	83900.36622	149.822082535714	2547130.22804866	4548.44683580118	100	0	NA	yes
5740	5740	05/13/2024 8:30	05/14/2024 8:30	Routine Surveillance	1.342	Pass	DUN	SARS-CoV-2	N2	MUIDSL	59356.41825	59356.41825	659.515758333333	301531.804896777	3350.35338774197	100	0	NA	yes
7295	7295	05/24/2025 8:0	05/25/2025 8:0	Routine Surveillance	1.666	Pass	DUN	SARS-CoV-2	N1	MUIDSL	34718.78469	34718.78469	385.764274333333	218953.774699119	2432.8197188791	100	0	NA	yes
7030	7030	03/18/2025 8:30	03/19/2025 8:30	Routine Surveillance	0.639	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	208474.9222	208474.9222	2895.48503055556	504275.19230162	7003.82211530028	100	0	NA	yes
4901	4901	11/11/2023 23:40	11/12/2023 23:40	Routine Surveillance	5.91	Pass	HSB	SARS-CoV-2	N1	MUIDSL	112345.8624	112345.8624	200.617611428571	2513376.14233662	4488.17168274397	100	0	NA	yes
4087_88_4109_10	4087_88_4109_10	05/30/2023 7:0	05/31/2023 7:0	Routine Surveillance	6.3505	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	0	0	0	0	0	100	0	NA	yes
3149_50	3149_50	12/19/2022 4:0	12/20/2022 4:0	Routine Surveillance	6.806	Pass	CSB	SARS-CoV-2	del69/70	MUIDSL	85613.38782	85613.38782	172.956339030303	2205700.55648273	4455.96072016713	100	0	NA	yes
5345_57_63_72	5345_57_63_72	02/21/2024 10:0	02/22/2024 10:0	Routine Surveillance	0.6475	Pass	PRPSD	Influenza Virus A (FluA)	M	MUIDSL	143579.6252	143579.6252	2051.13750285714	351921.267495845	5027.44667851207	100	0	NA	yes
4482	4482	08/15/2023 8:30	08/16/2023 8:30	Routine Surveillance	0.657	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	614949.2741	614949.2741	8540.96214027778	1529387.68150777	21241.4955764968	100	0	NA	yes
5177	5177	01/15/2024 0:0	01/16/2024 0:0	Routine Surveillance	16.58	Pass	HSB	SARS-CoV-2	N1	MUIDSL	154244.256	154244.256	275.436171428571	9680693.08016024	17286.9519288576	100	0	NA	yes
6225	6225	08/29/2024 8:20	08/30/2024 8:20	Routine Surveillance	0.586	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	885756.6833	885756.6833	12653.6669042857	1964829.99302696	28068.9999003852	100	0	NA	yes
6134	6134	08/14/2024 8:25	08/15/2024 8:25	Routine Surveillance	0.564	Pass	PRPSD	SARS-CoV-2	N2	MUIDSL	526031.1127	526031.1127	7514.73018142857	1123061.2969597	16043.73281371	100	0	NA	yes
7599	7599	08/21/2025 0:0	08/22/2025 0:0	Routine Surveillance	7.8	Pass	HSB	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
7155	7155	04/22/2025 0:0	04/23/2025 0:0	Routine Surveillance	8.39	Pass	HSB	SARS-CoV-2	N1	MUIDSL	167029.202	167029.202	298.266432142857	5304778.95684426	9472.81956579332	100	0	NA	yes
5873	5873	06/17/2024 7:0	06/18/2024 7:0	Routine Surveillance	9.841	Pass	CSB	SARS-CoV-2	N2	MUIDSL	331525.4688	331525.4688	669.748421818182	12350059.6363509	24949.6154269715	100	0	NA	yes
2762	2762	10/24/2022 8:30	10/25/2022 8:30	Routine Surveillance	1.32	Pass	SRO	SARS-CoV-2	N1	MUIDSL	10200	10200	251.851851851852	50966.76024	1258.43852444444	100	0	NA	yes
6114	6114	08/11/2024 0:0	08/12/2024 0:0	Routine Surveillance	4.87	Pass	HSB	SARS-CoV-2	N1	MUIDSL	455319.7384	455319.7384	813.070961428571	8393795.10886194	14988.9198372535	100	0	NA	yes
7567	7567	08/11/2025 7:50	08/12/2025 7:50	Routine Surveillance	0.529	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
7544	7544	08/06/2025 8:15	08/07/2025 8:15	Routine Surveillance	1.049	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
3305	3305	01/17/2023 7:0	01/18/2023 7:0	Routine Surveillance	19.34	Pass	CSB	SARS-CoV-2	N2	MUIDSL	232556.0331	232556.0331	469.810167878788	17025387.5091918	34394.7222407914	100	0	NA	yes
4937	4937	11/20/2023 9:30	11/21/2023 9:30	Routine Surveillance	1.249	Pass	PRPSD	SARS-CoV-2	N2	MUIDSL	296090.6267	296090.6267	4229.86609571429	1399909.69960134	19998.7099943049	100	0	NA	yes
6015	6015	07/18/2024 0:0	07/19/2024 0:0	Routine Surveillance	5.69	Pass	HSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	0	0	0	0	0	100	0	NA	yes
3152_64	3152_64	12/20/2022 6:0	12/21/2022 6:0	Routine Surveillance	0.621	Pass	PRPSD	SARS-CoV-2	del69/70	MUIDSL	298648.4289	298648.4289	4266.40612714286	702044.691279499	10029.2098754214	100	0	NA	yes
4835	4835	10/28/2023 23:40	10/29/2023 23:40	Routine Surveillance	8.47	Pass	HSB	SARS-CoV-2	N2	MUIDSL	1397855.282	1397855.282	2496.17014642857	44818626.9249117	80033.2623659138	100	0	NA	yes
5583	5583	04/10/2024 8:30	04/11/2024 8:30	Routine Surveillance	0.142	Pass	SRO	SARS-CoV-2	N1	MUIDSL	158491.8737	158491.8737	3913.37959753086	85193.8547544258	2103.55196924508	100	0	NA	yes
5293	5293	02/07/2024 8:30	02/08/2024 8:30	Routine Surveillance	0.13	Pass	SRO	SARS-CoV-2	N1	MUIDSL	243837.7082	243837.7082	6020.68415308642	119993.340869657	2962.79853999153	100	0	NA	yes
4405	4405	07/29/2023 9:0	07/30/2023 9:0	Routine Surveillance	1.067	Pass	DUN	SARS-CoV-2	N1	MUIDSL	0	0	0	0	0	100	0	NA	yes
3489	3489	02/15/2023 8:30	02/16/2023 8:30	Routine Surveillance	0.749	Pass	SRCM	SARS-CoV-2	N1	MUIDSL	440000	440000	6111.11111111111	1247519.7196	17326.6627722222	100	0	NA	yes
4729	4729	10/03/2023 8:30	10/04/2023 8:30	Routine Surveillance	0.079	Pass	SRO	SARS-CoV-2	N1	MUIDSL	593364.5725	593364.5725	14650.9770987654	177444.126724591	4381.33646233557	100	0	NA	yes
5308	5308	02/13/2024 0:0	02/14/2024 0:0	Routine Surveillance	20.26	Pass	HSB	SARS-CoV-2	N1	MUIDSL	52833.24122	52833.24122	94.3450736071429	4051908.41764012	7235.55074578593	100	0	NA	yes
6001_02	6001_02	07/16/2024 7:0	07/17/2024 7:0	Routine Surveillance	10.303	Pass	CSB	SARS-CoV-2	del69/70	MUIDSL	211890.4114	211890.4114	428.061437171717	8263954.7230887	16694.8580264418	100	0	NA	yes
5930_39	5930_39	07/01/2024 8:30	07/02/2024 8:30	Routine Surveillance	0.5615	Pass	PRPSD	Influenza Virus A (FluA)	M	MUIDSL	14147.76294	14147.76294	202.110899142857	30071.1792789611	429.58827541373	100	0	NA	yes
6199_207	6199_207	08/26/2024 8:15	08/27/2024 8:15	Routine Surveillance	0.572	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
5984	5984	07/11/2024 0:0	07/12/2024 0:0	Routine Surveillance	5.16	Pass	HSB	SARS-CoV-2	N1	MUIDSL	330230.1407	330230.1407	589.696679821429	6450291.42084108	11518.3775372162	100	0	NA	yes
5172	5172	01/11/2024 0:0	01/12/2024 0:0	Routine Surveillance	20.45	Pass	HSB	SARS-CoV-2	N1	MUIDSL	109821.5908	109821.5908	196.109983571429	8501468.84721816	15181.1943700324	100	0	NA	yes
2391_2406_20	2391_2406_20	08/31/2022 0:0	09/01/2022 0:0	Routine Surveillance	7	Pass	HSB	SARS-CoV-2	del69/70	MUIDSL	150540.0777	150540.0777	268.821567321429	3988991.4086845	7123.19894407946	100	0	NA	yes
6731	6731	12/26/2024 8:0	12/27/2024 8:0	Routine Surveillance	0.761	Pass	PRPSD	Influenza Virus B (FluB)	NEP/NS1	MUIDSL	0	0	0	0	0	100	0	NA	yes
3796	3796	04/10/2023 0:0	04/13/2023 0:0	Routine Surveillance	2.01	Pass	HRSB	SARS-CoV-2	N1	MUIDSL	1181319.71	393773.236666667	1369.21741599731	8988276.68129651	31253.787271103	100	0	NA	yes
6455	6455	10/14/2024 0:0	10/15/2024 0:0	Routine Surveillance	5.68	Pass	HSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	3809.047118	3809.047118	6.80186985357143	81898.8126893868	146.247879802476	100	0	NA	yes
5738	5738	05/14/2024 7:15	05/16/2024 7:15	Routine Surveillance	0.2	Pass	PUT	SARS-CoV-2	N1	MUIDSL	34685.8263	17342.91315	353.937003061225	26260.0147468566	535.918668303196	100	0	NA	yes
3845	3845	04/17/2023 23:40	04/18/2023 23:40	Routine Surveillance	6.32	Pass	HSB	SARS-CoV-2	N1	MUIDSL	0	0	0	0	0	100	0	NA	yes
4953	4953	11/23/2023 7:50	11/24/2023 7:50	Routine Surveillance	0.618	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	125603.4851	125603.4851	1794.33550142857	293834.705513018	4197.63865018597	100	0	NA	yes
6448	6448	10/14/2024 7:0	10/15/2024 7:0	Routine Surveillance	4.881	Pass	CSB	Respiratory Syncitial Virus, Human (RSV)	G	MUIDSL	8129.397035	8129.397035	16.4230243131313	150203.505152496	303.441424550497	100	0	NA	yes
5885	5885	06/18/2024 7:0	06/19/2024 7:0	Routine Surveillance	9.636	Pass	CSB	SARS-CoV-2	N1	MUIDSL	211805.8443	211805.8443	427.890594545455	7725874.61688654	15607.8275088617	100	0	NA	yes
7245	7245	05/12/2025 9:30	05/13/2025 9:30	Routine Surveillance	0.689	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	156719.923	156719.923	2238.85604285714	408748.673805443	5839.26676864919	100	0	NA	yes
5896	5896	06/23/2024 0:0	06/24/2024 0:0	Routine Surveillance	6.27	Pass	HSB	SARS-CoV-2	N2	MUIDSL	228795.4092	228795.4092	408.563230714286	5430349.37572237	9697.05245664709	100	0	NA	yes
6770	6770	01/12/2025 0:0	01/13/2025 0:0	Routine Surveillance	8.24	Pass	HSB	SARS-CoV-2	N1	MUIDSL	1149724.388	1149724.388	2053.07926428571	35861948.3315716	64039.193449235	100	0	NA	yes
6427	6427	10/08/2024 8:30	10/09/2024 8:30	Routine Surveillance	0.583	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	195788.8603	195788.8603	2719.28972638889	432085.266936574	6001.18426300797	100	0	NA	yes
4666	4666	09/25/2023 8:30	09/26/2023 8:30	Routine Surveillance	0.482	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	136189.5323	136189.5323	1891.52128194444	248487.010817524	3451.20848357672	100	0	NA	yes
6352	6352	09/25/2024 7:0	09/26/2024 7:0	Routine Surveillance	15.909	Pass	CSB	Influenza Virus A (FluA)	M	MUIDSL	14595	14595	29.4848484848485	878941.36983555	1775.63913098091	100	0	NA	yes
4246	4246	06/27/2023 7:0	06/29/2023 7:0	Routine Surveillance	0.115	Pass	PUT	SARS-CoV-2	N2	MUIDSL	7155.48	3577.74	73.0151020408163	3114.938937882	63.5701824057551	100	0	NA	yes
3365	3365	01/26/2023 8:45	01/27/2023 8:45	Routine Surveillance	0.863	Pass	PRPSD	SARS-CoV-2	N2	MUIDSL	717959.3086	717959.3086	10256.5615514286	2345435.80891517	33506.2258416453	100	0	NA	yes
5925	5925	06/27/2024 8:30	06/28/2024 8:30	Routine Surveillance	0.586	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	415430.0213	415430.0213	5934.71459	921527.752760531	13164.6821822933	100	0	NA	yes
5586	5586	04/09/2024 7:10	04/11/2024 7:10	Routine Surveillance	0.156	Pass	PUT	SARS-CoV-2	N1	MUIDSL	110546.9182	55273.4591	1128.02977755102	65280.6039012601	1332.2572224747	100	0	NA	yes
3785	3785	04/05/2023 23:40	04/06/2023 23:40	Routine Surveillance	13.02	Pass	HSB	SARS-CoV-2	N1	MUIDSL	218315.65	218315.65	389.849375	10759913.4655578	19214.1311884961	100	0	NA	yes
7526	7526	07/29/2025 8:30	07/30/2025 8:30	Routine Surveillance	0.121	Pass	SRO	SARS-CoV-2	N2	MUIDSL	10262.81193	10262.81193	253.402763703704	4700.7230598609	116.067236045948	100	0	NA	yes
5022_26_34_35	5022_26_34_35	12/07/2023 23:40	12/08/2023 23:40	Routine Surveillance	7.08	Pass	HSB	Influenza Virus A (FluA)	M	MUIDSL	29190	29190	52.125	782312.514732	1396.98663345	100	0	NA	yes
3013	3013	11/30/2022 8:30	12/01/2022 8:30	Routine Surveillance	0.927	Pass	SRCM	SARS-CoV-2	N2	MUIDSL	2098180.962	2098180.962	29141.40225	7362674.50610282	102259.368140317	100	0	NA	yes
1830	1830	06/18/2022 0:1	06/19/2022 0:1	Routine Surveillance	8.71	Pass	HSB	SARS-CoV-2	N2	MUIDSL	1016586.59	1016586.59	1815.33319642857	33517796.2502081	59853.2075896572	100	0	NA	yes
7524	7524	07/30/2025 7:0	07/31/2025 7:0	Routine Surveillance	10.632	Pass	CSB	SARS-CoV-2	N2	MUIDSL	32312.93261	32312.93261	65.2786517373737	1300481.76759433	2627.23589412996	100	0	NA	yes
4466	4466	08/13/2023 7:0	08/14/2023 7:0	Routine Surveillance	6.1	Pass	CSB	SARS-CoV-2	N1	MUIDSL	266474.4854	266474.4854	538.332293737374	6153162.60884589	12430.631533022	100	0	NA	yes
2758	2758	10/24/2022 8:45	10/25/2022 8:45	Routine Surveillance	0.549	Pass	PRPSD	SARS-CoV-2	N2	MUIDSL	711403.513	711403.513	10162.9073285714	1478431.73070779	21120.4532958255	100	0	NA	yes
3664_67_78_79	3664_67_78_79	03/15/2023 23:40	03/16/2023 23:40	Routine Surveillance	6.61	Pass	HSB	SARS-CoV-2	del69/70	MUIDSL	49570.90318	49570.90318	88.5194699642857	1240341.33312965	2214.89523773152	100	0	NA	yes
4540	4540	08/26/2023 9:0	08/27/2023 9:0	Routine Surveillance	1.0633	Pass	DUN	SARS-CoV-2	N2	MUIDSL	717010.6411	717010.6411	7966.78490111111	2885986.79750999	32066.5199723332	100	0	NA	yes
5854	5854	06/11/2024 7:0	06/12/2024 7:0	Routine Surveillance	6.061	Pass	CSB	SARS-CoV-2	N1	MUIDSL	129193.4341	129193.4341	260.996836565657	2964132.76141885	5988.14699276536	100	0	NA	yes
6477	6477	10/17/2024 8:30	10/18/2024 8:30	Routine Surveillance	0.592	Pass	PRPSD	SARS-CoV-2	N1	MUIDSL	499404.0489	499404.0489	7134.34355571429	1119145.85580196	15987.797940028	100	0	NA	yes
