Asset Tag ID,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Comments,Sample QC Check,Sample Flow (MGD),Event Type
V01-0014,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/09/2025 07:00 AM,04/08/2025 07:00 AM,04/09/2025 07:00 AM,AJ,04/17/2025,,Pass,3.6,Routine Surveillance
V01-0013,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/07/2025 07:00 AM,04/06/2025 07:00 AM,04/07/2025 07:00 AM,AJ,04/11/2025,,Pass,2.9,Routine Surveillance
V01-0011,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,04/08/2025 07:00 AM,04/07/2025 07:00 AM,04/08/2025 07:00 AM,AJ,04/17/2025,,Fail: Missing Required Data,,Routine Surveillance
V01-0010,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/12/2025 07:00 AM,03/11/2025 07:00 AM,03/12/2025 07:00 AM,AJ,03/20/2025,,Pass,3.6,Routine Surveillance
V01-0009,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/05/2025 08:00 AM,03/04/2025 08:00 AM,03/05/2025 08:00 AM,AJ,03/13/2025,,Pass,3.1,Routine Surveillance
V01-0008,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,02/19/2025 07:00 AM,02/18/2025 07:00 AM,02/19/2025 07:00 AM,AJ,02/27/2025,,Pass,3.86,Routine Surveillance
V01-0007,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,02/27/2025 08:00 AM,02/26/2025 08:00 AM,02/27/2025 08:00 AM,AJ,03/06/2025,,Pass,3.6,Routine Surveillance
V01-0006,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,02/25/2025 07:00 AM,02/24/2025 07:00 AM,02/25/2025 07:00 AM,AJ,03/06/2025,,Pass,3.6,Routine Surveillance
V01-0005,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,02/13/2025 08:00 AM,02/12/2025 08:00 AM,02/13/2025 08:00 AM,AJ,02/27/2025,,Pass,3.82,Routine Surveillance
V01-0004,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/04/2025 08:00 AM,03/03/2025 08:00 AM,03/04/2025 08:00 AM,AJ,03/13/2025,,Pass,3.1,Routine Surveillance
V01-0003,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,02/28/2025 08:00 AM,02/27/2025 08:00 AM,02/28/2025 08:00 AM,AJ,03/06/2025,,Pass,3.7,Routine Surveillance
V01-0002,Hardy,MoorefieldWWTP-01,Sample,WWTP,Composite,,03/03/2025 06:30 AM,03/02/2025 06:30 AM,03/03/2025 06:30 AM,AJ,03/06/2025,,Pass,2.6,Routine Surveillance
V01-0001,Hardy,MoorefieldWWTP-01,Sample,WWTP,,,,,,AJ,02/13/2025,,Fail: Missing Required Data,,Routine Surveillance
U01-1005,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/22/2026 08:40 AM,01/21/2026 08:40 AM,01/22/2026 08:40 AM,LS,01/29/2026,,Pass,0.302,Routine Surveillance
U01-1004,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/22/2025 12:00 AM,12/21/2025 12:00 AM,12/22/2025 12:00 AM,LS,01/08/2026,,Pass,0.592,Routine Surveillance
U01-1003,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/05/2026 10:00 AM,01/04/2026 10:00 AM,01/05/2026 10:00 AM,LS,01/08/2026,,Pass,0.412,Routine Surveillance
U01-1002,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/29/2025 11:00 AM,12/28/2025 11:00 AM,12/29/2025 11:00 AM,LS,01/08/2026,,Pass,0.777,Routine Surveillance
U01-1001,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/15/2025 12:40 PM,12/14/2025 12:00 PM,12/15/2025 12:40 PM,LS,12/18/2025,,Pass,0.441,Routine Surveillance
U01-1000,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/08/2025 09:10 PM,12/07/2025 09:00 PM,12/08/2025 09:00 PM,LS,12/11/2025,,Pass,0.352,Routine Surveillance
U01-0184,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/17/2025 10:25 AM,11/16/2025 10:25 AM,11/17/2025 10:25 AM,LS,11/20/2025,,Pass,0.354,Routine Surveillance
U01-0183,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,10/14/2025 10:00 AM,10/13/2025 10:00 AM,10/14/2025 10:00 AM,LS,10/16/2025,,Pass,0.17,Routine Surveillance
U01-0182,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/24/2025 09:40 AM,11/23/2025 09:40 AM,11/23/2025 09:40 AM,LS,11/26/2025,,Pass,0.636,Routine Surveillance
U01-0181,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,10/06/2025 09:00 AM,10/05/2025 09:00 AM,10/06/2025 09:00 AM,LS,10/09/2025,,Pass,0.095,Routine Surveillance
U01-0180,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/10/2025 10:15 AM,11/09/2025 10:15 AM,11/10/2025 10:15 AM,LS,11/13/2025,,Pass,0.384,Routine Surveillance
U01-0177,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,10/20/2025 09:45 AM,10/19/2025 09:45 AM,10/20/2025 09:45 AM,LS,10/23/2025,,Pass,0.195,Routine Surveillance
U01-0175,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/03/2025 10:00 AM,11/02/2025 10:00 AM,11/03/2025 10:00 AM,LS,11/13/2025,,Pass,0.22,Routine Surveillance
U01-0174,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/20/2026 10:00 AM,01/19/2026 08:00 AM,01/20/2026 08:00 AM,AJ,01/22/2026,,Pass,0.343,Routine Surveillance
U01-0172,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/12/2026 10:00 AM,01/11/2026 10:00 AM,01/12/2026 10:00 AM,LS,01/15/2026,,Pass,0.734,Routine Surveillance
U01-0168,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/13/2026 10:00 AM,02/12/2026 10:00 AM,02/13/2026 10:00 AM,LS,02/26/2026,,Pass,0.911,Routine Surveillance
U01-0167,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,10/27/2025 09:30 AM,10/26/2025 09:30 AM,10/27/2025 09:30 AM,AJ,10/30/2025,,Pass,0.164,Routine Surveillance
U01-0165,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/01/2025 09:52 AM,11/30/2025 09:52 AM,12/01/2025 09:52 AM,AJ,12/04/2025,,Pass,0.331,Routine Surveillance
U01-0164,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/11/2025 09:40 AM,08/10/2025 09:40 AM,08/11/2025 09:40 AM,AJ,08/14/2025,LEFT IN OFFICE OVERNIGHT,Pass,0.147,Routine Surveillance
U01-0162,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/16/2026 10:00 AM,02/15/2026 10:00 AM,02/16/2026 10:00 AM,LS,02/26/2026,,Pass,1.092,Routine Surveillance
U01-0161,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/02/2026 10:40 PM,02/01/2026 10:40 PM,02/02/2026 10:40 PM,LS,02/05/2026,,Pass,0.244,Routine Surveillance
U01-0160,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/19/2025 08:45 AM,08/18/2025 08:45 AM,08/19/2025 08:45 AM,AJ,08/21/2025,,Pass,0.1,Routine Surveillance
U01-0159,Monongalia,CheatLakeWWTP-01,Sample,WWTP,Composite,,09/02/2025 08:00 AM,09/01/2025 08:00 AM,09/02/2025 08:00 AM,AJ,09/04/2025,,Pass,0.123,Routine Surveillance
U01-0158,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,07/28/2025 10:00 AM,07/27/2025 10:00 AM,07/28/2025 10:00 AM,ID,07/30/2025,Only had sample retrieved date/time (est start and stop time),Pass,0.579,Routine Surveillance
U01-0157,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,07/07/2025 09:00 AM,07/06/2025 09:00 AM,07/07/2025 09:00 AM,AJ,07/09/2025,,Pass,0.171,Routine Surveillance
U01-0156,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,09/15/2025 09:15 PM,09/14/2025 09:00 PM,09/15/2025 09:15 PM,LS,09/18/2025,,Pass,0.101,Routine Surveillance
U01-0152,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,09/22/2025 09:30 AM,09/21/2025 09:30 AM,09/22/2025 09:30 AM,LS,09/25/2025,,Pass,0.193,Routine Surveillance
U01-0151,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/25/2025 09:00 AM,08/24/2025 09:00 AM,08/25/2025 09:00 AM,AJ,08/28/2025,,Pass,0.169,Routine Surveillance
U01-0150,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/05/2025 07:35 AM,08/04/2025 07:35 AM,08/05/2025 07:35 AM,ID,08/06/2025,,Pass,0.201,Routine Surveillance
U01-0149,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,09/29/2025 09:30 AM,09/28/2025 09:30 AM,09/29/2025 09:30 AM,LS,10/02/2025,,Pass,0.115,Routine Surveillance
U01-0147,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,09/07/2025 09:40 AM,09/06/2025 09:40 AM,09/07/2025 09:40 AM,LS,09/11/2025,,Pass,0.133,Routine Surveillance
U01-0146,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/10/2025 09:30 AM,02/09/2025 09:30 AM,02/10/2025 09:30 AM,AJ,02/13/2025,,Pass,0.827,Routine Surveillance
U01-0145,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/18/2025 10:00 AM,02/17/2025 10:00 AM,02/18/2025 10:00 AM,AJ,02/20/2025,,Pass,0.726,Routine Surveillance
U01-0144,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/24/2025 10:00 AM,02/23/2025 10:00 AM,02/24/2025 10:00 AM,AJ,02/27/2025,,Pass,0.60,Routine Surveillance
U01-0143,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/27/2025 10:30 AM,01/26/2025 10:30 AM,01/28/2025 10:30 AM,AJ,01/29/2025,,Pass,0.481,Routine Surveillance
U01-0141,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/03/2025 09:00 AM,02/02/2025 09:00 AM,02/03/2025 09:00 AM,AJ,02/06/2025,,Pass,0.778,Routine Surveillance
U01-0138,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,10/28/2024 08:00 AM,10/27/2024 08:00 AM,10/28/2024 08:00 AM,AJ,10/30/2024,,Pass,0.114,Routine Surveillance
U01-0137,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/02/2024 09:20 AM,12/01/2024 09:20 AM,12/02/2024 09:20 AM,AJ,12/05/2024,,Pass,0.424,Routine Surveillance
U01-0136,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/04/2024 10:30 AM,11/03/2024 10:00 AM,11/04/2024 10:00 AM,AJ,11/07/2024,,Pass,0.122,Routine Surveillance
U01-0135,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/11/2024 08:15 AM,11/10/2024 08:15 AM,11/11/2024 08:15 AM,AJ,11/14/2024,,Pass,0.100,Routine Surveillance
U01-0134,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/16/2024 09:00 AM,12/15/2024 09:00 AM,12/16/2024 09:00 AM,AJ,12/18/2024,,Pass,0.305,Routine Surveillance
U01-0133,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/18/2024 10:00 AM,11/17/2024 10:00 AM,11/18/2024 10:00 AM,AJ,11/21/2024,,Pass,0.273,Routine Surveillance
U01-0132,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,11/25/2024 09:20 AM,11/24/2024 09:00 AM,11/25/2024 09:00 AM,AJ,12/02/2024,,Pass,0.540,Routine Surveillance
U01-0131,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/09/2024 08:00 AM,12/08/2024 08:00 AM,12/09/2024 08:00 AM,AJ,12/11/2024,,Pass,0.514,Routine Surveillance
U01-0130,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/21/2025 10:00 AM,01/20/2025 10:00 AM,01/21/2025 10:00 AM,AJ,01/23/2025,,Pass,0.730,Routine Surveillance
U01-0129,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,01/13/2025 10:00 AM,01/12/2025 10:00 AM,01/13/2025 10:00 AM,AJ,01/16/2025,,Pass,0.663,Routine Surveillance
U01-0128,Fayette,WhiteOakWWTP-01,Sample,WWTP,,,,,,AJ,01/16/2025,ILLEGIBLE DATE,Fail: Missing Required Data,0.791,Routine Surveillance
U01-0127,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/29/2024 10:00 AM,12/28/2024 10:00 AM,01/09/2025 10:00 AM,AJ,01/09/2025,,Pass,0.749,Routine Surveillance
U01-0126,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,12/23/2024 01:00 PM,12/22/2024 01:00 PM,12/23/2024 01:00 PM,AJ,01/09/2025,,Pass,0.138,Routine Surveillance
U01-0125,Fayette,WhiteOakWWTP-01,Sample,WWTP,,,,,,AJ,06/26/2025,,Fail: Missing Required Data,0.192,Routine Surveillance
U01-0124,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,05/27/2025 10:15 AM,05/26/2025 09:00 AM,05/27/2025 09:00 AM,BB,05/29/2025,,Pass,0.312,Routine Surveillance
U01-0119,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,04/29/2025 10:00 AM,04/28/2025 10:00 AM,04/29/2025 10:00 AM,AJ,05/01/2025,,Pass,0.322,Routine Surveillance
U01-0115,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,07/14/2025 10:30 AM,07/13/2025 10:00 AM,07/14/2025 10:00 AM,BB,07/16/2025,"only collected time present, estimated start and stop time ",Pass,0.824,Routine Surveillance
U01-0113,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,06/02/2025 09:00 AM,06/01/2025 09:00 AM,06/02/2025 09:00 AM,BB,06/04/2025,,Pass,0.268,Routine Surveillance
U01-0112,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,04/07/2025 10:00 AM,04/06/2025 10:00 AM,04/07/2025 10:00 AM,AJ,04/11/2025,,Pass,0.901,Routine Surveillance
U01-0111,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,07/21/2025 09:30 AM,07/20/2025 09:30 AM,07/21/2025 09:30 AM,AJ,07/22/2025,,Pass,0.418,Routine Surveillance
U01-0109,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,02/09/2026 10:30 PM,02/08/2026 10:30 PM,02/09/2026 10:30 PM,LS,02/12/2026,,Pass,0.370,Routine Surveillance
U01-0107,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,06/16/2025 04:10 PM,06/15/2025 04:10 PM,06/16/2025 04:10 PM,AJ,06/19/2025,,Pass,0.216,Routine Surveillance
U01-0103,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,04/14/2025 11:00 AM,04/13/2025 11:00 AM,04/14/2025 11:00 AM,AJ,04/17/2025,,Pass,0.600,Routine Surveillance
U01-0099,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,07/15/2024 08:45 AM,07/14/2024 08:45 AM,07/15/2024 08:45 AM,,,,Pass,0.145,Routine Surveillance
U01-0095,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,03/11/2025 08:55 AM,03/10/2025 08:00 AM,03/11/2025 08:00 AM,AJ,03/20/2025,,Pass,0.484,Routine Surveillance
U01-0092,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,05/19/2025 08:35 AM,05/19/2025 08:35 AM,05/19/2025 08:35 AM,EM,05/21/2025,,Pass,6.02,Routine Surveillance
U01-0087,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,03/24/2025 09:00 AM,03/23/2025 09:00 AM,03/24/2025 09:00 AM,AJ,03/27/2025,,Pass,0.440,Routine Surveillance
U01-0086,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/05/2024 08:00 AM,08/04/2024 08:00 AM,08/05/2024 08:00 AM,AJ,08/07/2024,,Pass,0.136,Routine Surveillance
U01-0084,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,05/05/2025 09:00 AM,05/04/2025 09:00 AM,05/05/2025 09:00 AM,AJ,05/08/2025,,Pass,0.398,Routine Surveillance
U01-0081,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,03/17/2025 08:00 AM,03/16/2025 08:00 AM,03/17/2025 08:00 AM,AJ,03/20/2025,,Pass,0.470,Routine Surveillance
U01-0079,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,05/10/2025 09:00 AM,05/09/2025 09:00 AM,05/10/2025 09:00 AM,AJ,05/15/2025,,Pass,0.231,Routine Surveillance
U01-0078,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,03/01/2025 10:00 AM,02/28/2025 10:00 AM,03/01/2025 10:00 AM,AJ,03/06/2025,,Pass,0.465,Routine Surveillance
U01-0077,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/12/2024 09:15 AM,08/11/2024 09:15 AM,08/12/2024 09:15 AM,AJ,08/20/2024,,Pass,0.113,Routine Surveillance
U01-0059,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,04/21/2025 09:40 AM,04/20/2025 09:00 AM,04/21/2025 09:00 AM,AJ,04/24/2025,,Pass,0.4,Routine Surveillance
U01-0057,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,08/19/2024 08:30 AM,08/18/2024 08:30 AM,08/19/2024 08:30 AM,AJ,08/20/2024,,Pass,0.310,Routine Surveillance
U01-0054,Fayette,WhiteOakWWTP-01,Sample,WWTP,Composite,,06/09/2025 10:00 AM,06/08/2025 10:00 AM,06/09/2025 10:00 AM,"ID, BB",06/10/2025,Has site as Raleigh and location as White Oaks,Pass,0.309,Routine Surveillance
T01-0424,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,11/24/2025 01:00 PM,11/23/2025 01:00 PM,11/24/2025 01:00 PM,LS,11/26/2025,,Pass,0.40,Routine Surveillance
T01-0423,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,12/15/2025 08:30 AM,12/14/2025 08:30 AM,12/15/2025 08:30 AM,LS,12/18/2025,,Pass,0.15,Routine Surveillance
T01-0422,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,01/12/2026 12:15 PM,01/11/2026 12:00 PM,01/12/2026 12:00 PM,LS,01/15/2026,,Pass,0.2,Routine Surveillance
T01-0421,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,01/26/2026 09:30 AM,01/25/2026 09:30 AM,01/26/2026 09:30 AM,LS,01/29/2026,,Pass,0.56,Routine Surveillance
T01-0419,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,11/12/2025 12:15 PM,11/11/2025 12:00 PM,11/12/2025 12:15 PM,LS,11/20/2025,,Pass,0.36,Routine Surveillance
T01-0418,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,12/09/2025 08:00 AM,12/08/2025 08:00 AM,12/09/2025 08:00 AM,LS,12/18/2025,,Pass,0.21,Routine Surveillance
T01-0417,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,12/29/2025 08:30 AM,12/28/2025 08:30 AM,12/29/2025 08:30 AM,LS,01/08/2026,,Pass,0.53,Routine Surveillance
T01-0416,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,12/22/2025 07:30 AM,12/21/2025 07:30 AM,12/22/2025 07:30 AM,LS,01/08/2026,,Pass,0.24,Routine Surveillance
T01-0415,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,01/19/2026 07:30 AM,01/18/2026 07:30 AM,01/19/2026 07:30 AM,LS,01/29/2026,,Pass,0.11,Routine Surveillance
T01-0414,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,08/18/2025 07:00 AM,08/17/2025 07:00 AM,08/18/2025 07:00 AM,AJ,08/21/2025,,Pass,0.23,Routine Surveillance
T01-0413,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,08/11/2025 07:00 AM,08/10/2025 07:00 AM,08/11/2025 07:00 AM,AJ,08/14/2025,,Pass,0.18,Routine Surveillance
T01-0412,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,08/25/2025 12:00 PM,08/24/2025 12:00 PM,08/25/2025 12:00 PM,AJ,08/28/2025,,Pass,0.30,Routine Surveillance
T01-0411,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,06/30/2025 07:00 AM,06/29/2025 07:00 AM,06/30/2025 07:00 AM,AJ,07/09/2025,,Pass,0.31,Routine Surveillance
T01-0410,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,07/21/2025 08:00 AM,07/20/2025 08:00 AM,07/21/2025 08:00 AM,AJ,07/22/2025,,Pass,0.52,Routine Surveillance
T01-0408,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,06/23/2025 06:00 AM,06/22/2025 06:00 AM,06/23/2025 06:00 AM,AJ,06/26/2025,,Pass,0.15,Routine Surveillance
T01-0407,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,07/14/2025 01:35 PM,07/13/2025 01:30 PM,07/14/2025 01:30 PM,BB,07/16/2025,"Start and end time not present, only collected time, so estimated start and stop time ",Pass,0.89,Routine Surveillance
T01-0406,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,07/07/2025 08:00 AM,07/06/2025 08:00 AM,07/07/2025 08:00 AM,AJ,07/09/2025,,Pass,0.20,Routine Surveillance
T01-0405,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,08/04/2025 07:45 AM,08/03/2025 07:45 AM,08/04/2025 07:45 AM,ID,08/06/2025,,Pass,0.2,Routine Surveillance
T01-0403,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,10/13/2025 12:00 AM,10/12/2025 12:00 AM,10/13/2025 12:00 AM,LS,10/16/2025,,Pass,0.31,Routine Surveillance
T01-0402,Mason,PointPleasantWWTP-01,Sample,WWTP,Composite,,02/09/2026 07:45 AM,02/08/2026 07:45 AM,02/09/2026 07:45 AM,LS,02/26/2026,,Pass,0.46,Routine Surveillance
