Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
H01-0021		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	C6	AP0015	C06	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	D04	JL	WWTP	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	C6	EP0028	C06	JL	MoundsvilleWWTP-01	DRC	10/19/21 8:15	Composite	10/19/21 8:00	10/18/21 8:00			Pass	JL	10/25/21	7.06	Marshall	Processing	Processing
A1038	9780	OneStep RT-ddPCR	Human RNase P		38988					5/3/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				4338																																				CDC N1/N2/RP Triplex	0.005	Sample		4/30/21	100			PEG Precipitation	3				KED	WWTP	Sample	5/3/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				KED	StarCityWWTP-01	EL	4/30/21 11:08	Composite	4/27/21 11:59	4/27/21 12:00	8.459		Pass	MVS	4/30/21		Monongalia	Processing	Complete
G02-0017																																																																			Sample	DATES ONLY -- NO TIMES ON LABEL											WVU Keyser	Sample											PotomacState-01	MT	11/5/21 12:00	Composite	11/4/21 0:00	11/4/21 0:00			Pass	JL	11/12/21	7.02	Mineral	Processing	Processing
C01-0041																																																																															WWTP												WheelingWWTP-01	-	11/18/2021 07:00 AM	Composite	11/18/2021 07:00 AM	11/17/2021 07:00 AM			Pass	AJ	11/23/2021	6.18	Ohio		
A03-0068																																																																			Sample												K-12	Sample											MorgantownHS-01	BL	11/5/21 13:30	Composite	11/5/21 13:30	11/5/21 6:00			Pass	JL	11/10/21		Monongalia	Processing	Processing
A0037	13832	OneStep RT-ddPCR	Human RNase P		98064					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				85800	SARS-CoV-2 N2				85800																																				CDC N1/N2/RP Triplex	0.005	Sample		12/13/20	100			PEG Precipitation	4				MS	WWTP	Sample	12/14/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GG	12/9/20 0:00	Composite	12/9/20 11:59	12/9/20 12:00			Pass	TD	12/11/20		Monongalia	Processing	Complete
A02-0171	12494	OneStep RT-ddPCR	Human RNase P	66.0064888000488	70131.8943500519	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	E2	AP0014	B01	JL	SARS-CoV-2 N1	54.6779298782348	0	2152.00729370118	58095.3004956245	SARS-CoV-2 N2	24.495084285736	0	2493.55224609376	26026.0270535945																																					0.005	Sample		2021-10-15	10	NT04474	Halcyon	Nanotrap	0.425		CP0025	A02	JL	WVU Morgantown	Sample	2021-10-15	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	E2	EP0025	A02	JL	HonorsSummit-01 (MUB)	CA	10/15/21 9:47	Composite	10/15/21 9:47	10/13/21 9:58			Pass	JL	10/15/21	7.5	Monongalia	Processing	Processing
A1078	10954	OneStep RT-ddPCR		40.85		BRSV		97018.75		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.39				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/24/21 23:55	Composite	6/24/21 23:55	6/24/21 0:00	7.935 		Pass	JL	7/9/21	6.39	Monongalia	Processing	Complete
A03-0101	52.1	OneStep RT-ddPCR	Human RNase P			None				2021-11-01	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B8	AP0015	F08	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-28	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0030	C04	LW	K-12	Sample	2021-10-28	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B8	EP0030	B08	LW	MountainviewES-01	BL	10/26/21 9:55	Composite	10/25/21 14:00	10/25/21 6:00			Pass	JL	10/27/21		Monongalia	Processing	Processing
G01-0056	51.7	OneStep RT-ddPCR	Human RNase P			None				2021-11-01	OK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B7	AP0015	B07	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	C03	JL	WWTP	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B7	EP0028	B07	JL	KeyserWWTP-01	--	10/20/21 8:40	Composite	10/20/21 8:00	10/19/21 9:00			Pass	JL	10/25/21	7.1	Mineral	Processing	Processing
C01-0034																																																																			Sample												WWTP	Sample											WheelingWWTP-01	GZ	11/8/21 7:00	Composite	11/8/21 7:00	11/7/21 7:00			Pass	JL	11/12/21	4.72	Ohio	Processing	Processing
A02-0128	13251	OneStep RT-ddPCR	Human RNase P	28.4278965	30204.64003					9/29/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	L7	AP0010	B07	JL	SARS-CoV-2 N1	17.76340961	0	1097.667847	18873.62272	SARS-CoV-2 N2	26.65014505	0	1200.682373	28315.77912																																				CDC N1/N2/RP Triplex	0.005	Sample		9/27/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0017	C03	JL	WVU Morgantown	Sample	9/27/21	0.4	2105049	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L7	EP0017	B03	JL	Evansdale-01	EL	9/27/21 9:15	Composite	9/27/21 9:15	9/25/21 9:15			Pass	JL	9/27/21	6.74	Monongalia	Processing	Complete
A02-0156	19654	OneStep RT-ddPCR				BRSV	798.7569427	848679.2517		8/13/21	Manual	DQ		QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	0	2236.361694	0	SARS-CoV-2 N2	0	0	2276.707153	0																																				CDC N1/N2/RP Triplex	0.005	Sample	Was A07-0018	8/13/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP000000	B04	JL	WVU Morgantown	Sample	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	TowersBB-01	EL	8/11/21 9:00	Composite	8/11/21 9:00	8/10/21 9:00			Pass	JL	8/11/21		Monongalia	Processing	Complete
A02-0226																																																																			Sample												WVU Morgantown	Sample											Evansdale-01	EL	11/19/21 10:12	Composite	11/19/21 9:00	11/17/21 9:00						7.31	Monongalia	Processing	Processing
H01-0056																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A1027	12104	OneStep RT-ddPCR	Human RNase P		42000					4/19/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				9336	SARS-CoV-2 N2				4656																																				CDC N1/N2/RP Triplex	0.005	Sample		4/16/21	100			PEG Precipitation	4				JL	WWTP	Sample	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL	StarCityWWTP-01	EL	4/12/21 12:00	Composite	4/13/21 12:00	4/12/21 12:00	11.895		Pass	MVS	4/16/21		Monongalia	Processing	Complete
E01-0004																																																																			Sample												WWTP	Sample											PrincetonWWTP-01	TT	11/3/21 8:00	Composite	11/3/21 8:00	11/2/21 8:00			Pass	JL	11/5/21	6.64	Mercer	Processing	Processing
H01-0090																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
C01-0032																																																																			Sample												WWTP	Sample											WheelingWWTP-01	GZ	11/3/21 7:00	Composite	11/3/21 7:00	11/2/21 7:00			Pass	JL	11/5/21	6.45	Ohio	Processing	Processing
B01-0075																																																																																											CharlestonWWTP-01	-	11/17/2021 07:40 AM	Composite	11/17/2021 07:00 AM	11/16/2021 07:00 AM			Pass	AJ	11/19/2021	6.98	Kanawha		
A03-0014	20020	OneStep RT-ddPCR	Human RNase P	8.28712225	8805.06739					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	H5	AP0012	E02	JL	SARS-CoV-2 N1	38.69451046	0	1593.187866	41112.91736	SARS-CoV-2 N2	15.19495606	0	2077.493896	16144.64082																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	B01	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H5	EP0021	A05	JL	NorthES-01	BL	9/30/21 12:05	Composite	9/29/21 14:10	9/29/21 6:00			Pass	JL	10/6/21	7.12	Monongalia	Processing	Complete
J01-0036																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A01-0050	10558	OneStep RT-ddPCR	Human RNase P	19.86253142	21103.93964					10/5/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	C7	AP0011	G01	JL	SARS-CoV-2 N1	48.58279228	1355.395355	0	51619.2168	SARS-CoV-2 N2	53.00443649	1548.404388	0	56317.21377																																				CDC N1/N2/RP Triplex	0.005	Sample		10/1/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425	C7	CP0019	B01	JL	WWTP	Sample	10/1/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	C7	EP0019	A07	JL	StarCityWWTP-01	JF	9/28/21 11:10	Composite	9/27/21 23:55	9/27/21 0:00	7.004 		Pass	JL	10/1/21		Monongalia	Processing	Complete
