Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0002	20957	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	0	99.9626001999652	94129.9834410575	SARS-CoV-2 N2	0	99.9632629606967	91705.6337478285																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A02-0007																																																																Eric Lundstrum		08/12/2021 09:14 AM	WVU Morgantown	Building/Complex															Pass	EL	08/12/2021 09:14 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021		Evansdale-01		2021-08-25.16-05-35
A02-0005				08/16/2021										SARS-CoV-2 N1			0	SARS-CoV-2 N2			3062.97486																															NaN												Eric Lundstrum		08/13/2021 09:12 AM	WVU Morgantown	G											NaN	Pass			Pass	Eric Lundstrom	08/13/2021 09:12 AM	Composite	08/13/2021 09:00 AM	08/12/2021 09:00 AM	Josh Lambert	08/13/2021	7.34	Evansdale-01		2021-08-25.16-05-35
A02-0004 1K	16637	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	1k	AP000000	B04	JL	SARS-CoV-2 N1	0	99.9626001999652	104599.207046434	SARS-CoV-2 N2	0	99.9632629606967	105079.10474132																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 1K HI-SARS	CP000000	B06	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 1K HI-SARS	EP000000	B06	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A07-0018	19654	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL		Josh Lambert		08/13/2021 12:24 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:00 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	NaN	TowersBB-01		2021-08-25.16-05-35
A02-0001	16799	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B07	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C03	JL		Eric Lundstrum		08/12/2021 09:35 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 09:35 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	Evansdale-01		2021-08-25.16-05-35
A02-0002 100K	11472	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	0	99.9626001999652	106173.550652154	SARS-CoV-2 N2	0	99.9632629606967	106173.111729002																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL							2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL		Pass	Pass	Pass												2021-08-25.16-05-35
A02-0009				08/16/2021										SARS-CoV-2 N1			52317.69228	SARS-CoV-2 N2			49699.20111																															NaN												Eric Lundstrum		08/13/2021 10:18 AM	WVU Morgantown	G												Pass			Pass	Eric Lundstrom	08/13/2021 10:18 AM	Composite	08/13/2021 09:55 AM	08/11/2021 09:55 AM	Josh Lambert	08/13/2021	7.8	CollegePark-02		2021-08-25.16-05-35
A07-0012	18494	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B01	JL	SARS-CoV-2 N1	0	99.9626001999652	132.167239744593	SARS-CoV-2 N2	0	99.9632629606967	296.689409662545																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B03	JL		Eric Lundstrum		08/11/2021 09:19 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:19 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.13	OaklandE-02		2021-08-25.16-05-35
A06-0017	17517	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL		Eric Lundstrum		08/11/2021 09:35 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:35 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.55	NorthHighSt-02 (MUB)		2021-08-25.16-05-35
A02-0003	16102	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C02	JL	SARS-CoV-2 N1	0	99.9626001999652	104737.02594238	SARS-CoV-2 N2	0	99.9632629606967	104826.157386962																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C06	JL		Eric Lundstrum		08/12/2021 09:59 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C06	JL		Pass	Pass	Pass	Pass	EL	08/12/2021 09:59 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	CollegePark-02		2021-08-25.16-05-35
A06-0005	17313	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL		Eric Lundstrum		08/10/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	Pass	Pass	Pass	EL	08/10/2021 09:07 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.43	Evansdale-01		2021-08-25.16-05-35
A01-0001	19475	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.9626001999652	1001.17265013246	SARS-CoV-2 N2	0	99.9632629606967	1188.98352929571																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	None	Josh Lambert		08/13/2021 12:13 PM	Monongalia County	WWTP	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	08/09/2021 11:55 PM	Composite	08/09/2021 11:55 PM	08/09/2021 12:00 AM	JL	08/13/2021	NaN	StarCityWWTP-01		2021-08-25.16-05-35
