Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
A03-0198																																																																																											MountainviewES-01												Monongalia		
A02-0007																																																																			Sample												WVU Morgantown	Sample											Evansdale-01	EL	8/12/21 9:14	Composite	8/12/21 9:00	8/11/21 9:00			Pass	JL	8/12/21		Monongalia	Processing	Confirming
A03-0056	14281	OneStep RT-ddPCR	Human RNase P	36.27520323	38542.40343	None				11/8/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	B4	AP0017	B04	AJ	SARS-CoV-2 N1	255.108757	0	560.2787018	271053.0543	SARS-CoV-2 N2	248.4474564	0	653.7683868	263975.4224																																					0.005	Sample		11/5/21	10	NT04474	Kookaburra	Ceres Nanotrap	0.425		CP00033	B06	JL	K-12	Sample	11/5/21	0.4	21108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B4	EP0033	B04	JL	NorthES-01	BL	10/28/21 10:40	Composite	10/27/21 14:00	10/27/21 6:00			Pass	JL	11/1/21	7.61	Monongalia	Processing	Complete
A1008	11651	OneStep RT-ddPCR	Human RNase P		74217.6					3/22/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005	Sample		3/19/21	100			PEG Precipitation	3.6				TD	WWTP	Sample	3/21/21	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				TD	StarCityWWTP-01	GG	3/17/21 11:59	Composite	3/17/21 11:59	3/17/21 12:01	8.151		Pass	JL	3/19/21		Monongalia	Processing	Complete
J01-0034																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A02-0259																																																																																											WVU-Morgantown												Monongalia		
H01-0076																																																																															WWTP												MoundsvilleWWTP-01	-	11/29/2021 08:15 AM	Composite	11/29/2021 08:00 AM	11/28/2021 08:00 AM			Pass	AJ	12/03/2021	6.96	Marshall		
A1015	8511	OneStep RT-ddPCR	Human RNase P		119568					3/30/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				33192	SARS-CoV-2 N2				19920																																				CDC N1/N2/RP Triplex	0.005	Sample		3/26/21	100			PEG Precipitation	4				MVS	WWTP	Sample	3/29/21	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MVS	StarCityWWTP-01	EL	3/26/21 10:55	Composite	3/25/21 12:00	3/25/21 12:00	8.288		Pass	MVS	3/26/21		Monongalia	Processing	Complete
A03-0035	15054	OneStep RT-ddPCR	Human RNase P	12.28637815	13054.27678					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	I8	AP0012	H03	JL	SARS-CoV-2 N1	31.60509348	0	1593.187866	33580.41182	SARS-CoV-2 N2	26.33495331	0	2077.493896	27980.88789																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	D04	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	I8	EP0021	B08	JL	CheatLakeES-01	BL	9/30/21 12:00	Grab	9/30/21 12:00	9/30/21 12:00			Pass	JL	10/6/21	8.56	Monongalia	Processing	Complete
A02-0199	14869	OneStep RT-ddPCR	Human RNase P	42.76138306	45433.9695					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	K5	AP0012	E04	JL	SARS-CoV-2 N1	1.473141611	0	1593.187866	1565.212961	SARS-CoV-2 N2	17.68424153	0	2077.493896	18789.50663																																				CDC N1/N2/RP Triplex	0.005	Sample		10/8/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0022	A05	JL	WVU Morgantown	Sample	10/8/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K5	EP0022	A05	JL	CollegePark-02	EL	10/8/21 10:00	Composite	10/8/21 10:00	10/6/21 10:00			Pass	JL	10/8/21	7.29	Monongalia	Processing	Complete
L01-0022																																																																																											WestUnionWWTP-01												Doddridge		
A02-0113	13429	OneStep RT-ddPCR	Human RNase P	12.26813793	13034.89655					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	G4	AP0008	E04	JL	SARS-CoV-2 N1	17.52786994	0	1320.22522	18623.36181	SARS-CoV-2 N2	15.7744956	0	1524.019623	16760.40158																																				CDC N1/N2/RP Triplex	0.005	Sample		9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	C04	JL	WVU Morgantown	Sample	9/17/21	0.4	2105033	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	G4	EP0012	A12	JL	NorthHighSt-02 (MUB)	EL	9/17/21 10:39	Composite	9/17/21 10:39	9/15/21 10:39			Pass	JL	9/17/21	7.07	Monongalia	Processing	Complete
A03-0024	10896	OneStep RT-ddPCR	Human RNase P	4.319304526	4589.261059					9/29/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	K7	AP0010	A07	JL	SARS-CoV-2 N1	0	0	1097.667847	0	SARS-CoV-2 N2	0	0	1200.682373	0																																				CDC N1/N2/RP Triplex	0.005	Sample		9/27/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0017	B01	JL	K-12	Sample	9/27/21	0.4	2105049	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K7	EP0017	A07	JL	NorthES-01	BL	9/23/21 11:15	Composite	9/22/21 14:00	9/22/21 6:00			Pass	JL	9/24/21	6.97	Monongalia	Processing	Complete
K01-0026																																																																																											ParkersburgWWTP-01												Wood		
A0027	10133	OneStep RT-ddPCR	Human RNase P		42362.4					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				15891.6	SARS-CoV-2 N2				15891.6																																				CDC N1/N2/RP Triplex	0.005	Sample		12/4/20	100			PEG Precipitation	3.8				MS	WWTP	Sample	12/7/20	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MS	StarCityWWTP-01	GG	11/25/20 0:00	Composite	11/25/20 23:59	11/25/20 0:00	7.450		Pass	TD	11/30/20		Monongalia	Processing	Complete
A02-0056	11965	OneStep RT-ddPCR	Human RNase P	0	0					9/2/21	Manual	DQ		QX One	BRSV Triplex	G3	AP000000	C02	JL	SARS-CoV-2 N1	29.38838005	0	3138.026123	31225.1538	SARS-CoV-2 N2	13.70998979	0	3336.080627	14566.86415																																				CDC N1/N2/RP Triplex	0.005	Sample		9/2/21	10	 NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0007	B05	JL	WVU Morgantown	Sample	9/2/21	0.4	2102028	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	G3	EP0007	A11	JL	NorthHighSt-02 (MUB)	EL	8/27/21 10:39	Composite	8/27/21 9:49	8/25/21 9:49			Pass	JL	8/27/21	7.17	Monongalia	Processing	Complete
A1069	13142	OneStep RT-ddPCR		156.28		BRSV		371165		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.42				WWTP	Sample	7/7/21	0.4			Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05				JL	StarCityWWTP-01	EL	6/13/21 23:55	Composite	6/13/21 23:55	6/13/21 0:00	8.646		Pass	JL	6/18/21	6.42	Monongalia	Processing	Complete
A03-0188																																																																																											MorgantownHS-01												Monongalia		
A02-0277																																																																																											WVU-Morgantown												Monongalia		
A02-0341																																																																																											WVU-Morgantown												Monongalia		
H01-0099																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
H01-0060																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A02-0230	9524	OneStep RT-ddPCR	Human RNase P	7.41278409957886	13204.0216773748	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	E3	AP0023	A03	JL	SARS-CoV-2 N1	0	0	1030.21682739258	0	SARS-CoV-2 N2	9.88423109054566	0	1109.43168640137	17606.2866300345																																					0.005			2021-11-29	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0040	A03	AJ	WVU Morgantown		2021-11-29	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075	E3	EP0040	A03	AJ	OaklandE-02	CA	11/22/21 9:57	Composite	11/22/21 9:57	11/20/21 9:57			Pass	AJ	11/19/21	7.16	Monongalia	Processing	Complete
H01-0097																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A03-0194																																																																																											MountainviewES-01												Monongalia		
A02-0175	10160	OneStep RT-ddPCR	Human RNase P	37.0833993	39401.11175	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	H7	AP0014	G04	JL	SARS-CoV-2 N1	2.316000909	0	2152.007294	2460.750965	SARS-CoV-2 N2	18.5343945	0	2493.552246	19692.79416																																					0.005	Sample		10/18/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0026	B03	JL	WVU Morgantown	Sample	10/18/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	H7	EP0026	A07	JL	NorthHighSt-02 (MUB)	EL	10/18/21 9:58	Composite	10/18/21 9:00	10/16/21 9:00			Pass	JL	10/18/21		Monongalia	Processing	Complete
J01-0010																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A02-0107	12293	OneStep RT-ddPCR	Human RNase P	163.2592964	173463.0024					9/20/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	D6	AP0008	C06	JL	SARS-CoV-2 N1	47.89996147	0	1320.22522	50893.70906	SARS-CoV-2 N2	32.56136179	0	1524.019623	34596.4469																																				CDC N1/N2/RP Triplex	0.005	Sample		9/15/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0012	A06	JL	WVU Morgantown	Sample	9/15/21	0.4	2105033	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	D6	EP0012	A06	JL	HonorsSummit-01 (MUB)	EL	9/15/21 9:45	Composite	9/15/21 9:45	9/13/21 9:50			Pass	JL	9/15/21	7.1	Monongalia	Processing	Complete
A02-0242																																																																															WVU Morgantown												CollegePark-02	GZ	12/03/2021 10:07 AM	Composite	12/03/2021 09:00 AM	12/01/2021 09:00 AM			Pass	AJ	12/01/2021	7.86	Monongalia		
A1048	15163	OneStep RT-ddPCR	Human RNase P		39102					5/17/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				6510	SARS-CoV-2 N2				6510																																				CDC N1/N2/RP Triplex	0.005	Sample		5/14/21	100			PEG Precipitation	7				MVS	WWTP	Sample	5/17/21	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MVS	StarCityWWTP-01	EL	5/14/21 10:54	Composite	5/13/21 11:59	5/13/21 12:00	9.878		Pass	MVS	5/14/21		Monongalia	Processing	Complete
H01-0040	10201	OneStep RT-ddPCR	Human RNase P	4.61360991	8217.992652	None				11/29/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	C4	AP0022	C04	JL	SARS-CoV-2 N1	16.15159392	0	1092.976303	28770.02668	SARS-CoV-2 N2	27.69524097	0	1279.930573	49332.14799																																					0.005	Sample		2021-11-22	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0039	A04	AJ	WWTP	Sample	2021-11-22	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.075	C4	EP0039	A04	AJ	MoundsvilleWWTP-01	-	11/15/21 8:15	Composite	11/15/21 8:00	11/14/21 8:00			Pass	AJ	11/19/21	6.98	Marshall	Processing	Complete
A02-0081																																																																			Sample		9/3/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0008	B05	JL	WVU Morgantown	Sample	9/3/21	0.4	2102028	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	J3	EP0008	A11	JL	CollegePark-02	EL	9/3/21 10:46	Grab	9/3/21 10:46	9/3/21 10:46			Pass	JL	9/3/21	8.22	Monongalia	Processing	Confirming
K01-0033																																																																																											ParkersburgWWTP-01												Wood		
A0239	10568	OneStep RT-ddPCR	Human RNase P		13350					3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				86880	SARS-CoV-2 N2				106950																																				CDC N1/N2/RP Triplex	0.005	Sample		2/22/21	100			PEG Precipitation	5				AT	WWTP	Sample	2/24/21	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				AT	StarCityWWTP-01	GG	2/10/21 8:00	Composite	2/10/21 11:55	2/10/21 12:00	8.969		Pass	TD	2/11/21		Monongalia	Processing	Complete
A03-0175																																																																																											SuncrestES-01												Monongalia		
A02-0357																																																																																											WVU-Morgantown												Monongalia		
H01-0006	3500	OneStep RT-ddPCR	Human RNase P	0	0	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	I4	AP0014	D05	JL	SARS-CoV-2 N1	0	0	2152.007294	0	SARS-CoV-2 N2	0	0	2493.552246	0																																				CDC N1/N2/RP Triplex	0.005	Sample		10/18/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0026	C04	JL	WWTP	Sample	10/18/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	I4	EP0026	B04	JL	MoundsvilleWWTP-01	DRC	10/4/21 8:15	Composite	10/4/21 8:00	10/3/21 8:00			Pass	JL	10/8/21	6.93	Marshall	Processing	Confirming
A02-0141	14636	OneStep RT-ddPCR	Human RNase P	22.63067007	24045.08695					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	F4	AP0012	D01	JL	SARS-CoV-2 N1	1.507989615	0	1593.187866	1602.238966	SARS-CoV-2 N2	4.524278045	0	2077.493896	4807.045422																																				CDC N1/N2/RP Triplex	0.005	Sample		10/5/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0020	A04	JL	WVU Morgantown	Sample	10/5/21	0.4	2108052	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	F4	EP0020	A04	JL	NorthHighSt-02 (MUB)	EL	10/4/21 9:56	Composite	10/4/21 9:00	10/2/21 9:56			Pass	JL	10/4/21	7.76	Monongalia	Processing	Complete
C01-0041	12731	OneStep RT-ddPCR	Human RNase P	29.5897698402404	52706.7775279282	None				2021-12-03	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	E8	AP0023	A08	JL	SARS-CoV-2 N1	72.1903610229492	0	1030.21682739258	128589.080572128	SARS-CoV-2 N2	33.2911086082458	0	1109.43168640137	59299.7872084378																																					0.005			2021-11-29	10	NT04474	Halcyon	Ceres Nanotrap	0.475		CP0040	B04	AJ	WWTP		2021-11-29	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075	E8	EP0040	A08	AJ	WheelingWWTP-01	-	11/18/21 7:00	Composite	11/18/21 7:00	11/17/21 7:00			Pass	AJ	11/23/21	6.18	Ohio	Processing	Complete
A03-0146																																																																																											MountainviewES-01												Monongalia		
A02-0178	16471	OneStep RT-ddPCR	Human RNase P	0	0	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	L3	AP0014	C07	JL	SARS-CoV-2 N1	0	0	2152.007294	0	SARS-CoV-2 N2	0	0	2493.552246	0																																					0.005	Sample		10/20/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0027	C03	JL	WVU Morgantown	Sample	10/20/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	L3	EP0027	B03	JL	HonorsSummit-01 (MUB)	CA	10/20/21 9:40	Composite	10/20/21 9:40	10/18/21 9:49			Pass	JL	10/20/21		Monongalia	Processing	Complete
A0025	12472	OneStep RT-ddPCR	Human RNase P		27158.4					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				103305.6	SARS-CoV-2 N2				70675.2																																				CDC N1/N2/RP Triplex	0.005	Sample		12/4/20	100			PEG Precipitation	4.8				MS	WWTP	Sample	12/7/20	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MS	StarCityWWTP-01	GG	11/24/20 0:00	Composite	11/24/20 23:59	11/24/20 0:00	8.122		Pass	TD	11/30/20		Monongalia	Processing	Complete
G01-0051	11994	OneStep RT-ddPCR	Human RNase P	21.58931971	22938.65219	None				10/20/21	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	E5	AP0014	E01	JL	SARS-CoV-2 N1	94.35365677	0	2152.007294	100250.7603	SARS-CoV-2 N2	56.96007729	0	2493.552246	60520.08212																																					0.005	Sample		10/15/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0025	A05	JL	WWTP	Sample	10/15/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	E5	EP0025	A05	JL	KeyserWWTP-01	GP	10/12/21 9:00	Composite	10/12/21 9:00	10/11/21 9:00			Pass	JL	10/15/21	7.24	Mineral	Processing	Complete
