Sample ID	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
E02-0015	Sample	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Processing	Complete	Composite	11/23/21 8:00	11/24/21 8:00	11/24/21 8:00	-	0.077	12105	SARS-CoV-2 N1	0	0	0	0	SARS-CoV-2 N2	0	0	0	0	None				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005	Human RNase P																																			AJ	11/30/21	6.55	11/30/21	NT04474	Halcyon		CP0041	D03	AJ	11/30/21	2108255	Halcyon	I5	EP0041	C05	AJ	12/6/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	I5	AP000024	D02	JL	
A02-0217	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	11/10/21 9:58	11/12/21 9:58	11/12/21 10:30	CA		16179	SARS-CoV-2 N1	4.363358617	0	1092.976303	4636.06853	SARS-CoV-2 N2	16.00293875	0	1279.930573	17003.12242	None				Human RNase P	37112.64148	34.92954493	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	11/12/21	7.28	11/19/21	NT04474	Halcyon		CP0038	A03	AJ	11/19/21	2108255	Halcyon	J3	EP0038	A03	AJ	11/29/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	J3	AP0022	A03	JL	
A01-0051	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Submitted 12-09-2021	Complete	Composite	9/29/21 0:00	9/29/21 23:55	9/30/21 9:30	JF	7.542	15165	SARS-CoV-2 N1	322.0767975	0	1593.187866	342206.5973	SARS-CoV-2 N2	352.9288101	0	2077.493896	374986.8608					Human RNase P	36920.48073	34.74868774	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/1/21	7.48	10/5/21	NT04474	Halcyon		CP0020	A06	JL	10/5/21	2108052	Halcyon	F6	EP0020	A06	JL	10/11/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	F6	AP0012	F01	JL	
A02-0231	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	11/20/21 10:12	11/22/21 10:12	11/22/21 10:12	CA		16172	SARS-CoV-2 N1	0	0	1030.216827	0	SARS-CoV-2 N2	0	0	1109.431686	0	None				Human RNase P	85611.00706	48.06231976	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	11/22/21	7.21	11/29/21	NT04474	Halcyon		CP0040	B02	AJ	11/29/21	2108255	Halcyon	E6	EP0040	A06	AJ	12/3/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	E6	AP0023	A06	JL	
A03-0177	Sample	Sample	K-12	Monongalia	NorthES-01		Processing	Processing																																																																																																
A02-0358	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
J01-0002	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
A02-0191	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Processing	Complete	Composite	10/25/21 10:16	10/27/21 9:55	10/27/21 9:55	EL		16607	SARS-CoV-2 N1	200.6269264	1109.141006	0	213166.1093	SARS-CoV-2 N2	180.6298447	1229.36615	0	191919.21	None				Human RNase P	36155.47538	34.02868271	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/27/21	7.69	10/28/21	NT04474	Halcyon		CP0030	C03	JL	10/28/21	2108255	Halcyon	B7	EP0030	B07	JL	11/22/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	NAB14 B6	AP0021	E03	JL	
J01-0041	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
A02-0347	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
F01-0006	Sample	Sample	WWTP	Lewis	WestonWWTP-01	Pass	Processing	Confirming	Composite	9/30/21 10:00	10/1/21 10:00	10/1/21 23:50	BP		6005	SARS-CoV-2 N1	77.86288261	0	1593.187866	82729.31278	SARS-CoV-2 N2	30.25224209	0	2077.493896	32143.00722					Human RNase P	0	0	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/4/21	6.87	10/5/21	NT04474	Halcyon		CP0020	A01	JL	10/5/21	2108052	Halcyon	F1	EP0020	A01	JL	10/11/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	F1	AP0012	A01	JL	
A02-0064	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Rejected: No Flow	Complete	Grab	8/30/21 10:35	8/30/21 10:35	8/30/21 10:35	EL		13180	SARS-CoV-2 N1	11.96506262	0	2615.09491	12712.87903	SARS-CoV-2 N2	23.93648624	0	2786.116028	25432.51663					Human RNase P	325386.734	306.2463379	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	8/30/21	8.11	8/27/21	XXXXXX	Halcyon		CP000000	A06	JL	8/30/21	2102028	Kookaburra	E6	EP0006	A06	JL	8/30/21	OneStep RT-ddPCR	Manual	DQ	58477036	QX One	E6	AP0005	F04	JL	
C01-0050	G	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Submitted 12-16-2021	Complete	Composite	12/1/21 7:00	12/2/21 7:00	12/2/21 7:00	GZ	6.108	15263	SARS-CoV-2 N1	1.541648507	0	721.9914246	2746.061403	SARS-CoV-2 N2	1.541648507	0	850.2881622	2746.061403	None				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	12/7/21	6.5	12/13/21	NT04474	Halcyon		CP0048	D05	AJ	12/13/21	2108255	Halcyon	J4	EP0048	C04	AJ	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	J4	AP0027	H04	JL	
A02-0313	Sample	Sample	WVU Morgantown	Monongalia			Processing	Processing																																																																																																
A02-0202	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	10/30/21 9:00	11/1/21 9:00	11/1/21 10:04	EL		11179	SARS-CoV-2 N1	6.315208077	0	1040.980072	6709.908582	SARS-CoV-2 N2	16.84432149	0	1205.935364	17897.09158	None				Human RNase P	4473.07216	4.209950268	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/1/21	6.94	11/2/21	NT04474	Kookaburra		CP0031	C04	JL	11/2/21	21108255	Kookaburra	G7	EP0031	B07	JL	11/4/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	G7	AP0016	B07	JL	
A02-0122	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Rejected: No Flow	Complete	Composite	9/20/21 10:03	9/22/21 10:03	9/22/21 10:03	EL		15934	SARS-CoV-2 N1	32.50939846	0	878.4640503	34541.23586	SARS-CoV-2 N2	28.07365417	0	968.4371185	29828.25756					Human RNase P	102191.757	96.18047714	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	9/22/21	7.11	9/24/21		Halcyon		CP0016	D01	JL	9/24/21	XXXXXX	Halcyon	J3	EP0016	B07	JL	9/24/21	OneStep RT-ddPCR	Manual	DQ		QX 200	J3	AP0009	C03	JL	
I01-0003	Sample	Sample	WWTP	Morgan	WarmSpringsWWTP-01	Pass	Rejected: No Flow	Complete	Composite	10/27/21 7:00	10/28/21 7:00	10/28/21 12:10	-		15401	SARS-CoV-2 N1	99.51615334	0	1040.980072	105735.9129	SARS-CoV-2 N2	96.4478302	0	1205.935364	102475.8196	None				Human RNase P	3246.753197	3.055767715	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/29/21	6.91	11/3/21	NT04474	Halcyon		CP0032	C05	JL	11/3/21	21108255	Kookaburra	K1	EP0032	B05	JL	11/4/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	K1	AP0016	F01	JL	
C01-0036	Sample	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/9/21 7:00	11/10/21 7:00	11/10/21 7:00	GZ		14428	SARS-CoV-2 N1	65.32322884	1109.141006	0	69405.93064	SARS-CoV-2 N2	78.40966225	1229.36615	0	83310.26614	None				Human RNase P	62456.6558	58.78273487	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/12/21	6.15	11/16/21	NT04474	Kookaburra		CP0036	A04	AJ	11/16/21	2108255	Kookaburra	I4	EP0036	A04	AJ	11/22/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	I4	AP0021	A04	JL	
B01-0005	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	9/23/21 7:00	9/24/21 7:00	9/24/21 7:15	KM		10908	SARS-CoV-2 N1	0	1355.395355	0	0	SARS-CoV-2 N2	0	1548.404388	0	0					Human RNase P	0	0	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	9/30/21		10/1/21	NT04474	Halcyon	C1	CP0019	A01	JL	10/1/21	2108052	Halcyon	C1	EP0019	A01	JL	10/5/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	C1	AP0011	A01	JL	
A02-0248	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	12/6/21 9:00	12/8/21 9:00	12/8/21 9:10	GZ		15110	SARS-CoV-2 N1	0	0	584.9592972	0	SARS-CoV-2 N2	0	0	645.5539703	0	None				Human RNase P	52734.92128	29.60556984	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	12/8/21	7.78	12/8/21	NT04474	Halcyon		CP0045	D01	AJ	12/8/21	2110258	Halcyon	D5	EP0045	B05	AJ	12/9/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D5	AP0025	D05	JL	
J01-0030	Sample	Sample	WWTP	Preston	AlpineLakeWWTP-01		Processing	Processing																																																																																																
A02-0223	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Composite	11/15/21 10:18	11/17/21 10:18	11/17/21 10:18	CA		12223	SARS-CoV-2 N1	3.850337565	1109.141006	0	4090.983663	SARS-CoV-2 N2	7.701305151	1229.36615	0	8182.636723	None				Human RNase P	42988.75004	40.46000004	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/17/21	7.58	11/17/21	NT04474	Halcyon		CP0037	D03	JL	11/17/21	2108255	Halcyon	L7	EP0037	B07	JL	11/22/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	L7	AP0021	D07	JL	
A02-0038	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Rejected: No Flow	Complete	Grab	8/25/21 9:25	8/25/21 9:25	8/25/21 9:25	EL		10367	SARS-CoV-2 N1	2.609266043	-20	2835.271912	2772.34517	SARS-CoV-2 N2	10.43857574	-20	3151.898499	11090.98673					Human RNase P	489278.3642	460.4972839	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	8/25/21	8.43	8/25/21	NT04155	Kookaburra		CP0004	A04	JL	8/25/21	2102028	Kookaburra	L4	EP0004	A04	JL	8/25/21	OneStep RT-ddPCR	CHECK	DQ	58477036	QX One	L4	AP0004	D02	JL	
A0233	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Rejected: No NTC	Complete	Composite	2/2/21 0:00	2/2/21 23:59	2/2/21 0:00	GS	11.234	17982	SARS-CoV-2 N1				37704	SARS-CoV-2 N2				34560					Human RNase P	0		100	PEG Precipitation	4	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				TD	2/4/21		2/5/21						MS	2/19/21						MS	2/22/21	OneStep RT-ddPCR	Manual	DQ							
F01-0016	Sample	Sample	WWTP	Lewis	WestonWWTP-01	Pass	Rejected: No Flow	Complete	Composite	9/29/21 10:00	9/30/21 10:00	9/30/21 10:15	BP		14683	SARS-CoV-2 N1	25.20645857	1355.395355	0	26781.86223	SARS-CoV-2 N2	70.27789116	1548.404388	0	74670.25936					Human RNase P	3824.416567	3.599450886	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/1/21		10/1/21	NT04474	Halcyon	E1	CP0019	C05	JL	10/1/21	2108052	Halcyon	E1	EP0019	C01	JL	10/5/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX One	E1	AP0011	A03	JL	
A03-0097	Sample	Sample	K-12	Monongalia	MountainviewES-01	Pass	Rejected: No Flow	Complete	Composite	12/3/21 6:00	12/3/21 14:00	12/3/21 13:09	GZ		17136	SARS-CoV-2 N1	0	0	721.9914246	0	SARS-CoV-2 N2	0	0	850.2881622	0					Human RNase P	4891.947918	2.746356726	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	12/14/21	8.12	2021-12-09	NT04474	Kookaburra		CP0046	A05	LW	2021-12-09	2110258	Kookaburra	H5	EP0046	A05	LW	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	H5	AP0027	A05	JL	
A02-0260	Sample	Sample	WVU Morgantown	Monongalia	Evansdale-01	Pass	Rejected: No Flow	Complete	Composite	12/6/21 9:00	12/8/21 9:00	12/8/21 8:38	GZ		15565	SARS-CoV-2 N1	1.511735767	0	584.9592972	2692.779335	SARS-CoV-2 N2	0	0	645.5539703	0	None				Human RNase P	18853.09037	10.58419108	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	12/8/21	7.57	12/8/21	NT04474	Halcyon		CP0045	D02	AJ	12/8/21	2110258	Halcyon	D6	EP0045	B06	AJ	12/9/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	D6	AP0025	D06	JL	
G01-0070	Sample	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/7/21 9:00	11/8/21 8:00	11/8/21 8:30	-		13942	SARS-CoV-2 N1	35.4	0	1193.4	37612.5	SARS-CoV-2 N2	25.4	0	1245	26987.5					Human RNase P	21462.5	20.2	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	11/9/21	6.88	11/11/21	NT04474	Kookaburra		CP0034	D02	JL	11/11/21	2108255	Kookaburra	E6	EP0034	B06	JL	11/18/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	E6	AP0020	C06	JL	
A02-0055	Sample	Sample	WVU Morgantown	Monongalia	HonorsSummit-01 (MUB)	Pass	Rejected: No Flow	Complete	Grab	8/27/21 10:18	8/27/21 10:18	8/27/21 10:18	EL		13774	SARS-CoV-2 N1	7.709282637	0	3138.026123	8191.112801	SARS-CoV-2 N2	9.251475334	0	3336.080627	9829.692543					Human RNase P	52474.58637	49.38784599	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	BRSV Triplex	0.005																																				JL	8/27/21	7.97	9/2/21	 NT04155	Kookaburra		CP0007	B04	JL	9/2/21	2102028	Halcyon	G2	EP0007	A10	JL	9/2/21	OneStep RT-ddPCR	Manual	DQ		QX One	G2	AP000000	B02	JL	
