Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0240	14185	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			41796	SARS-CoV-2 N2			29880																													CDC N1/N2/RP Triplex	0.005		02/22/2021 12:00 AM	100				6				AT	Human RNase P	11952	Timothy Driscoll	02/24/2021 10:42 AM	02/24/2021 10:42 AM	Monongalia County	A0240	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/11/2021 08:00 AM	Composite	02/11/2021 11:55 AM	02/11/2021 12:00 PM	TD	02/18/2021		StarCityWWTP-01	Available
A0029	10527	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			28170	SARS-CoV-2 N2			32202																													CDC N1/N2/RP Triplex	0.005		12/04/2020 05:00 PM	100				3				MS	Human RNase P	24138	Timothy Driscoll	12/07/2020 03:15 PM	12/07/2020 03:15 PM	Monongalia County	A0029	12/07/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/29/2020 12:00 AM	Composite	11/29/2020 11:59 PM	11/29/2020 12:00 AM	TD	12/04/2020		StarCityWWTP-01	Available
A0225	16115	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			39438	SARS-CoV-2 N2			31554																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				3				MS	Human RNase P	5256	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0225	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/21/2021 12:00 AM	Composite	01/21/2021 11:59 PM	01/21/2021 12:00 AM	TD	01/22/2021		StarCityWWTP-01	Available
A1026	13203	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			10680	SARS-CoV-2 N2			10680																													CDC N1/N2/RP Triplex	0.005		04/16/2021 11:00 AM	100				5				JL	Human RNase P	21390	Aiyana-Mei Tom	04/16/2021 11:16 AM	04/16/2021 11:16 AM	Monongalia County	A1026	04/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	04/11/2021 12:00 PM	Composite	04/12/2021 12:00 PM	04/11/2021 12:00 PM	MVS	04/16/2021		StarCityWWTP-01	Available
A0243	15333	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			13800	SARS-CoV-2 N2			4590																													CDC N1/N2/RP Triplex	0.005		02/22/2021 12:00 AM	100				5				AT	Human RNase P	0	Timothy Driscoll	02/24/2021 10:44 AM	02/24/2021 10:44 AM	Monongalia County	A0243	02/24/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	02/16/2021 08:00 AM	Composite	02/16/2021 11:55 AM	02/16/2021 12:00 PM	TD	02/18/2021		StarCityWWTP-01	Available
A1032	10235	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			19320	SARS-CoV-2 N2			9660																													CDC N1/N2/RP Triplex	0.005		04/23/2021 11:00 AM	100				7				MVS	Human RNase P	0	Mathilda Santee	04/23/2021 10:56 AM	04/23/2021 10:56 AM	Monongalia County	A1032	04/26/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	04/23/2021 10:56 AM	Composite	04/19/2021 11:59 AM	04/19/2021 12:00 PM	MVS	04/23/2021		StarCityWWTP-01	Available
A01-0011																																																																				Monongalia County	Primary																	8/21/21 23:59	Composite	8/21/21 23:59	8/21/21 0:00				StarCityWWTP-01	
A02-0019	17835	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.84027292	40511.67631	SARS-CoV-2 N2	31.54926549	99.85634831	47992.19111																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum		8/18/21 10:25	WVU Morgantown	Tertiary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/18/21 10:24	Composite	8/18/21 10:24	8/16/21 10:33	JL	8/18/21	7.04	CollegePark-02	
A0041	11546	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			73416	SARS-CoV-2 N2			83208																													CDC N1/N2/RP Triplex	0.005		12/14/2020 05:00 PM	100				4				AT	Human RNase P	34248	Timothy Driscoll	12/21/2020 04:22 PM	12/21/2020 04:22 PM	Monongalia County	A0041	12/21/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/15/2020 12:00 AM	Composite	12/15/2020 11:59 AM	12/15/2020 12:00 PM	TD	12/18/2020		StarCityWWTP-01	Available
A0038	13631	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			100764	SARS-CoV-2 N2			74628																													CDC N1/N2/RP Triplex	0.005		12/13/2020 05:00 PM	100				3.6				AT	Human RNase P	59680.8	Timothy Driscoll	12/21/2020 04:22 PM	12/21/2020 04:22 PM	Monongalia County	A0038	12/15/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	DW	12/10/2020 12:00 AM	Composite	12/10/2020 11:59 AM	12/10/2020 12:00 PM	TD	12/14/2020		StarCityWWTP-01	Available
A02-0016	17093	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	0	99.84027292	72486.44986	SARS-CoV-2 N2	31.54926549	99.85634831	73895.90958																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL			Eric Lundstrum		8/18/21 9:23	WVU Morgantown	Secondary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	EL	8/18/21 9:23	Composite	8/18/21 9:23	8/16/21 9:28	JL	8/18/21	6.91	Evansdale-01	
A0035	16284	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			112130.4	SARS-CoV-2 N2			75832.8																													CDC N1/N2/RP Triplex	0.005		12/13/2020 05:00 PM	100				3.8				MS	Human RNase P	49430.4	Timothy Driscoll	12/14/2020 02:57 PM	12/14/2020 02:57 PM	Monongalia County	A0035	12/14/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/07/2020 12:00 AM	Composite	12/07/2020 11:59 AM	12/07/2020 12:00 PM	TD	12/11/2020		StarCityWWTP-01	Available
A1048	15163	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			6510	SARS-CoV-2 N2			6510																													CDC N1/N2/RP Triplex	0.005		05/14/2021 12:00 PM	100				7				MVS	Human RNase P	39102	Mathilda Santee	05/14/2021 10:55 AM	05/14/2021 10:55 AM	Monongalia County	A1048	05/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	05/14/2021 10:54 AM	Composite	05/13/2021 11:59 AM	05/13/2021 12:00 PM	MVS	05/14/2021		StarCityWWTP-01	Available
A0220	12903	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			43776	SARS-CoV-2 N2			52536																													CDC N1/N2/RP Triplex	0.005		02/05/2021 01:00 PM	100				4				MS	Human RNase P	0	Timothy Driscoll	02/12/2021 04:27 PM	02/12/2021 04:27 PM	Monongalia County	A0220	02/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	01/14/2021 12:00 AM	Composite	01/14/2021 11:59 PM	01/14/2021 12:00 AM	TD	01/15/2021		StarCityWWTP-01	Available
A1022	10709	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			105540	SARS-CoV-2 N2			112140																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	26370	Josh Lambert	04/09/2021 12:56 PM	04/09/2021 12:56 PM	Monongalia County	A1022	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	04/05/2021 11:55 AM	Composite	04/05/2021 11:55 AM	04/05/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A0021	14612	OneStep RT-ddPCR		11/20/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			19320	SARS-CoV-2 N2			19320																													CDC N1/N2/RP Triplex	0.005		11/19/2020 05:00 PM	100				4.0				MS	Human RNase P	88968	Timothy Driscoll	11/19/2020 07:24 PM	11/19/2020 07:24 PM	Monongalia County	A0021	11/20/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/18/2020 12:00 AM	Composite	11/18/2020 11:59 PM	11/18/2020 12:00 AM	TD	11/19/2920		StarCityWWTP-01	Available
A1029	10668	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			0	SARS-CoV-2 N2			5304																													CDC N1/N2/RP Triplex	0.005		04/16/2021 11:00 AM	100				4				JL	Human RNase P	52968	Aiyana-Mei Tom	04/16/2021 11:19 AM	04/16/2021 11:19 AM	Monongalia County	A1029	04/19/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	04/14/2021 12:00 PM	Composite	04/15/2021 12:00 PM	04/14/2021 12:00 PM	MVS	04/16/2021		StarCityWWTP-01	Available
A0437	10482	OneStep RT-ddPCR		03/11/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			32328	SARS-CoV-2 N2			16164																													CDC N1/N2/RP Triplex	0.005			100				3					Human RNase P	36378	Mathilda Santee	03/03/2021 11:40 AM	03/03/2021 11:40 AM	Monongalia County	A0437		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	02/18/2021 12:00 PM	Composite	02/18/2021 12:00 PM	02/18/2021 12:00 PM				StarCityWWTP-01	Available
A02-0024	17511	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.91557173	1806.353282	SARS-CoV-2 N2	0	99.91831254	27283.8853																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A04	JL						WVU Morgantown	Tertiary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H4	EP000000	A04	JL		Pass	Pass	Pass			8/20/21 10:10	Composite	8/20/21 10:10	8/18/21 10:10				CollegePark-02	
A1020	11142	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			6330	SARS-CoV-2 N2			12660																													CDC N1/N2/RP Triplex	0.005		04/09/2021 12:00 PM	100				5				MVS	Human RNase P	12660	Josh Lambert	04/09/2021 12:53 PM	04/09/2021 12:53 PM	Monongalia County	A1020	04/12/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	04/01/2021 11:55 AM	Composite	04/01/2021 11:55 AM	04/01/2021 12:00 PM	Josh Lambert	04/09/2021		StarCityWWTP-01	Available
A1106	18310	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.9626002	1185.207039	SARS-CoV-2 N2	0	99.96326296	1630.482818																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL								8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Pass	Pass	Pass											
A0028	10501	OneStep RT-ddPCR		12/14/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9676.8	SARS-CoV-2 N2			9676.8																													CDC N1/N2/RP Triplex	0.005		12/04/2020 05:00 PM	100				3.6				MS	Human RNase P	9676.8	Timothy Driscoll	12/07/2020 03:15 PM	12/07/2020 03:15 PM	Monongalia County	A0028	12/07/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/26/2020 12:00 AM	Composite	11/26/2020 11:59 PM	11/26/2020 12:00 AM	TD	11/30/2020		StarCityWWTP-01	Available
A02-0004	14984	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL			Eric Lundstrum		8/12/21 10:05	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 10:05	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21	NaN	NorthHighSt-02 (MUB)	
A1031	10841	OneStep RT-ddPCR			Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			78180	SARS-CoV-2 N2			104250																													CDC N1/N2/RP Triplex	0.005		04/23/2021 11:00 AM	100				5				MVS	Human RNase P	32550	Mathilda Santee	04/23/2021 10:55 AM	04/23/2021 10:55 AM	Monongalia County	A1031	04/26/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	04/23/2021 10:55 AM	Composite	04/18/2021 11:59 AM	04/18/2021 12:00 PM	MVS	04/23/2021		StarCityWWTP-01	Available
A01-0003	19784	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.94874319	25285.73	SARS-CoV-2 N2	0	99.95073014	32876.44184	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL			Josh Lambert		8/16/21 13:05	Monongalia County	Primary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	Pass	Pass	Pass	GG	8/11/21 23:55	Composite	8/11/21 23:55	8/11/21 0:00	Josh Lambert	8/13/21	6.87	StarCityWWTP-01	
A0245	11511	OneStep RT-ddPCR		11/17/2020	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			24528	SARS-CoV-2 N2			14712																													CDC N1/N2/RP Triplex	0.005		11/16/2020 05:00 PM	100				4				MS	Human RNase P	44160	Timothy Driscoll	11/16/2020 07:12 PM	11/16/2020 07:12 PM	Monongalia County	A0245	11/17/2020	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	DW	11/15/2020 12:00 AM	Composite	11/15/2020 11:59 PM	11/15/2020 12:00 AM	TD	11/16/2020		StarCityWWTP-01	Available
A0046	18937	OneStep RT-ddPCR		02/22/2021	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			67140	SARS-CoV-2 N2			22410																													CDC N1/N2/RP Triplex	0.005		01/03/2021 01:00 PM	100				15				MS	Human RNase P	22410	Timothy Driscoll	02/20/2021 04:13 PM	02/20/2021 04:13 PM	Monongalia County	A0046	02/17/2021	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/22/2020 12:00 AM	Composite	12/22/2020 11:59 AM	12/22/2020 12:00 PM	TD	01/07/2021		StarCityWWTP-01	Available
