Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
H01-0004	1.1	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Rejected: No Flow	Complete	Composite	10/01/2021 08:00 AM	10/02/2021 08:00 AM	10/02/2021 08:15 AM	DRC		8479	SARS-CoV-2 N1	33.32385063	0	2152.007294	35406.5913	SARS-CoV-2 N2	16.65602565	0	2493.552246	17697.02725	None				Human RNase P	5897.617303	5.550698638	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	10/08/2021	6.88	10/18/21	NT04474	Halcyon		CP0026	C02	JL	10/18/21	2108255	Halcyon	I2	EP0026	B02	JL	10/20/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	I2	AP0014	B05	JL	
A03-0187	1.1	Sample	Sample	K-12	Monongalia	SuncrestES-01	Pass	Processing	Complete	Composite	01/21/2022 06:00 AM	01/21/2022 02:00 PM	01/21/2022 02:17 PM	GZ		14644	SARS-CoV-2 N1	0	0	323.3415222	0	SARS-CoV-2 N2	0	0	395.6662369	0					Human RNase P	25766.30898	14.46529627	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	01/24/2022	8.88	1/24/22	NT04474	Halcyon		CP0064	D01	AJ	1/24/22	2108255	Halcyon	K5	EP0063	B05	AJ	1/26/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	K5	AP0039	B05	JL	
N02-0091	1.1	N02-0091	Sample	WWTP	Harrison	ClarksburgWWTP-01	Pass	Processing	Complete	Composite	05/26/2022 07:00 AM	05/27/2022 07:00 AM	05/27/2022 07:00 AM		6.12	16483	SARS-CoV-2 N1	74.3471145629882	0	4.1007485985756	132430.797815323	SARS-CoV-2 N2	67.1881341934204	0	8.20221185684204	119678.86403203					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	06/03/2022	7.12	2022-06-03	NT04473	Kookaburra		CP000161	A04	AJ	2022-06-03	2108255	Kookaburra	I4	EP000161	A04	AJ	2022-06-06	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	I4	AP0088	D07	JL	
G01-0146	1.1	G01-0146	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Complete	Composite	02/20/2022 09:00 AM	02/21/2022 08:00 AM	02/21/2022 08:45 AM		1.169	15586	SARS-CoV-2 N1	13.59077811	0	403.9231873	24208.57351	SARS-CoV-2 N2	12.08030462	0	436.4203262	21518.04261					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	02/24/2022	7.05	2/25/22	NT04473	Kookaburra		CP000085	C04	JL	2/25/22	2110285	Kookaburra	H4	EP000085	B04	JL	2/28/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	H4	AP0049	B04	JL	
A02-0102	1.1	Sample	Sample	WVU Morgantown	Monongalia	NorthHighSt-02 (MUB)	Pass	Rejected: No Flow	Complete	Grab	09/13/2021 10:00 AM	09/13/2021 10:00 AM	09/13/2021 10:00 AM	EL		14312	SARS-CoV-2 N1	23.02773714	0	1320.22522	24466.97071	SARS-CoV-2 N2	37.84319401	0	1524.019623	40208.39363					Human RNase P	341194.1695	321.1239243	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				JL	09/13/2021	8.78	9/13/21	NT04155	Halcyon		CP0011	C04	JL	9/13/21	2105033	Halcyon	B8	EP0011	B04	JL	9/20/21	OneStep RT-ddPCR	Manual	DQ	58477037	QX 200	B8	AP0008	B08	JL	
Q01-0058	1.1	Q01-0058	Sample	WWTP	Boone	MadisonWWTP-01	Pass	Processing	Complete	Composite	06/30/2022 08:00 AM	07/01/2022 08:00 AM	07/01/2022 08:00 AM		0.289	20113	SARS-CoV-2 N1	225.692234039306	0	228.802185058594	402014.291882514	SARS-CoV-2 N2	238.688335418702	0	265.484409332276	425163.597464563					Human RNase P	4167.83643420786	2.33983799815178	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				JL	07/08/2022	7.26	2022-07-08	NT04473	Halcyon		CP000183	B04	AJ	2022-07-08	2108255	Halcyon	B2	EP000184	B02	AJ	2022-07-11	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B2	AP0098	B05	JL	
O01-0038	1.1	O01-0038	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete		03/01/2022 06:15 AM	03/02/2022 06:15 AM	03/02/2022 09:00 AM		1.67	14048	SARS-CoV-2 N1	3.350097835	0	272.002697	5967.361769	SARS-CoV-2 N2	1.674989313	0	318.368969	2983.574714					Human RNase P	2983.574714	1.674989313	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	03/09/2022	7.05	3/11/22	NT04473	Halcyon		CP000094	A05	AJ	3/11/22	2110258	Halcyon	A5	EP000095	A05	AJ	3/14/22	OneStep RT-ddPCR	Manual	DQ	58477039	QX 200	A5	AP0053	D05	JL	
H01-0212	1.1	H01-0212	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Processing	Complete	Composite	05/07/2022 08:00 AM	05/08/2022 08:00 AM	05/08/2022 08:00 AM		4.9	12876	SARS-CoV-2 N1	7.310675979	0	14.88143802	13022.14159	SARS-CoV-2 N2	9.138700366	0	11.16019487	16278.31003					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/13/2022	7.08	5/13/22	NT04473	Kookaburra		CP000143	A06	AJ	5/13/22	2108255	Halcyon	J6	EP000143	D06	AJ	5/16/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	J6	AP0080	D06	JL	
R01-0003	1.1	R01-0003	Sample	WWTP	Randolph	HuttonsvilleWWTP-01	Pass	Processing	Complete	Composite	05/16/2022 09:00 AM	05/17/2022 08:30 AM	05/17/2022 08:48 AM		0.15	17298	SARS-CoV-2 N1	1.36027812957764	-20	10.7513880729675	2422.99541831016	SARS-CoV-2 N2	4.08107042312622	-20	2.68738627433776	7269.40669119358					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	05/27/2022	6.87	2022-05-27	NT04473	Halcyon		CP000154	B04	AJ	2022-05-27	2108255	Halcyon	D2	EP000155	B02	AJ	2022-06-01	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	D2	AP000000	B02	JL	
A04-0023	1.1	A04-0023	Sample	WWTP	Monongalia	CheatLakeWWTP-01	Pass	Processing	Complete	Composite	02/24/2022 08:00 AM	02/25/2022 08:00 AM	02/25/2022 08:00 AM		0.68	15523	SARS-CoV-2 N1	85.0370121	0	305.7337761	151472.1778	SARS-CoV-2 N2	94.16637421	0	356.0894394	167733.8541					Human RNase P	37816.75547	21.23045921	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	02/25/2022	6.99	2/28/22	NT04473	Kookaburra		CP000086	A03	AJ	2/28/22	2110285	Kookaburra	J3	EP000086	A03	AJ	3/2/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX One	J3	AP000050	A03	JL	
A03-0178	1.1	A03-0178	Sample	K-12	Monongalia	MountainviewES-01	Pass	Processing	Processing	Composite	02/16/2022 06:00 AM	02/16/2022 02:00 PM	02/17/2022 10:45 AM	GZ		3796	SARS-CoV-2 N1	0	0	207.9195595	0	SARS-CoV-2 N2	0	0	249.3927956	0					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/18/2022	4.92	2/18/22	NT04473	Halcyon		CP0081	C02	AJ	2/18/22	2108255	Halcyon	I2	EP0081	E02	AJ	2/22/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	I2	AP0047	H02	JL	
E01-0089	1.1	E01-0089	Sample	WWTP	Mercer	PrincetonWWTP-01	Pass	Processing	Complete	Composite	03/31/2022 08:30 AM	04/01/2022 08:30 AM	04/01/2022 08:40 AM		3.392	14781	SARS-CoV-2 N1	3.183952868	0	0	5671.416046	SARS-CoV-2 N2	4.77609098	0	0	8507.412057	BRSV	0		0				10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				JL	04/14/2022	6.43	4/8/22	NT04473	Halcyon		CP000115	A02	AJ	4/8/22	2110258	Halcyon	A2	EP000116	A02	AJ	4/11/22	OneStep RT-ddPCR	Manual	DQ	60265549	QX 200	A2	AP0063	A02	JL	
G02-0022	1.1	Sample	Sample	WVU Keyser	Mineral	PotomacState-01	Pass	Rejected: No Flow	Complete	Composite	12/01/2021 11:00 AM	12/03/2021 10:30 AM	12/03/2021 10:30 AM	-		15368	SARS-CoV-2 N1	4.593644142	0	721.9914246	8182.428628	SARS-CoV-2 N2	3.062329888	0	850.2881622	5454.775114					Human RNase P	8182.428628	4.593644142	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				JL	12/10/2021	7.13	12/10/21	NT04474	Halcyon		CP0047	C03	AJ	12/10/21	2108255	Halcyon	F7	EP0047	B07	AJ	12/14/21	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	F7	AP0027	D07	JL	CAME W/OUT ICE, STILL PROCESSING
O01-0114	1.1	Sample	Sample	WWTP	Taylor	GraftonWWTP-01	Pass	Processing	Complete	Composite	07/27/2022 06:10 AM	07/28/2022 06:10 AM	07/28/2022 06:10 AM		1.95	18586	SARS-CoV-2 N1	8.86349439620972	1.21238760650158	102.893466949463	15788.0993932486	SARS-CoV-2 N2	6.33072674274444	0	133.849449157715	11276.6070105135					Human RNase P	2255.07864262909	1.26600906252861	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	08/03/2022		2022-08-03	NT04473	Halcyon		CP000203	D04	AJ	2022-08-03	2108255	Kookaburra	C6	EP000203	H06	AJ	2022-08-04	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	C6	AP0105	F12	JL	
B01-0250	1.1	Sample	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	07/24/2022 07:00 AM	07/25/2022 07:00 AM	07/25/2022 07:00 AM		7.158	19924	SARS-CoV-2 N1	200.43321609497	0	174.335155487061	357021.666169165	SARS-CoV-2 N2	158.782949447632	0	166.67293548584	282832.128703594					Human RNase P	2103.63466059789	1.1809878796339	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/27/2022		2022-07-27	NT04473	Halcyon		CP0195	C03	AJ	2022-07-27	NT04473	Halcyon		EP0196	B07	AJ	2022-07-28	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	G7	AP0103	G03	JL	
H01-0028	1.1	Sample	Sample	WWTP	Marshall	MoundsvilleWWTP-01	Pass	Rejected: No Flow	Complete	Composite	11/01/2021 08:00 AM	11/02/2021 08:00 AM	11/02/2021 08:15 AM	DRC		16590	SARS-CoV-2 N1	8.6	0	1193.4	9137.5	SARS-CoV-2 N2	10	0	1245	10625					Human RNase P	4462.5	4.2	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				AJ	11/11/2021	6.63	11/12/21	NT04474	Kookaburra		CP0035	A01	AJ	11/12/21	2108255	Kookaburra	G1	EP0035	A01	AJ	11/18/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	G1	AP0020	D01	JL	
G01-0056	1.1	Sample	Sample	WWTP	Mineral	KeyserWWTP-01	Pass	Processing	Confirming	Composite	10/19/2021 09:00 AM	10/20/2021 08:00 AM	10/20/2021 08:40 AM	--		51.7	SARS-CoV-2 N1					SARS-CoV-2 N2					None				Human RNase P			10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/25/2021	7.1	10/25/21	NT04474	Halcyon		CP0028	C03	JL	10/25/21	2108255	Halcyon	B7	EP0028	B07	JL	11/1/21	OneStep RT-ddPCR	OK	ABS	58477038	QX 200	B7	AP0015	B07	JL	
B01-0037	1.1	G	Sample	WWTP	Kanawha	CharlestonWWTP-01	Pass	Processing	Complete	Composite	01/02/2022 07:00 AM	01/03/2022 07:00 AM	01/03/2022 07:30 AM		21.187	13144	SARS-CoV-2 N1	1.790193766	0	252.158165	3188.782646	SARS-CoV-2 N2	0	0	0	0					Human RNase P	6377.807893	3.580523729	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	01/04/2022	7.35	1/6/22	NT04474	Halcyon		CP0056	B06	AJ	1/6/22	2108255	Halcyon	B4	EP0056	B04	AJ	1/13/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	NAB_20 B4	AP0033	E02	JL	
