Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A1018	12405	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				11370	SARS-CoV-2 N2				17070																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	17070	Josh Lambert	4/9/21 12:51	4/9/21 12:51	Monongalia County	A1018	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	3/30/21 11:55	Composite	3/30/21 11:55	3/30/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A01-0015																																																																															Monongalia County																Pass	GG	08/25/2021 11:55 PM	Composite	08/25/2021 11:55 PM	08/25/2021 12:00 AM	JL	08/27/2021	7.01	StarCityWWTP-01	
A0036	14442	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				14670	SARS-CoV-2 N2				19560																																				CDC N1/N2/RP Triplex	0.005		12/13/20 17:00	100				5				MS	Human RNase P	44010	Timothy Driscoll	12/14/20 14:57	12/14/20 14:57	Monongalia County	A0036	12/14/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/8/20 0:00	Composite	12/8/20 11:59	12/8/20 12:00	TD	12/11/20		StarCityWWTP-01	Available
A02-0056																																																																															WVU Morgantown																Pass	EL	08/27/2021 10:39 AM	Composite	08/27/2021 09:49 AM	08/25/2021 09:49 AM	JL	08/27/2021	7.17	NorthHighSt-02 (MUB)	
A0044	13954	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				55059.6	SARS-CoV-2 N2				79172.4																																				CDC N1/N2/RP Triplex	0.005		12/21/20 13:00	100				3.4				AT	Human RNase P	34414.8	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0044	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/20/20 0:00	Composite	12/20/20 11:59	12/20/20 12:00	TD	12/21/20		StarCityWWTP-01	Available
A1089		OneStep RT-ddPCR	BRSV	228807.5												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1089		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/11/21 23:55	Composite	7/11/21 23:55	7/11/21 0:00	JL			StarCityWWTP-01	Available
A01-0036																																																																															Monongalia County																Pass	DW	09/01/2021 11:55 PM	Composite	09/01/2021 11:55 PM	09/01/2021 12:00 AM	JL	09/01/2021	6.53	StarCityWWTP-01	
A1029	10668	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				5304																																				CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				4				JL	Human RNase P	52968	Aiyana-Mei Tom	4/16/21 11:19	4/16/21 11:19	Monongalia County	A1029	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	4/14/21 12:00	Composite	4/15/21 12:00	4/14/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available
A1021	11698	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				42240	SARS-CoV-2 N2				12060																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	36210	Josh Lambert	4/9/21 12:54	4/9/21 12:54	Monongalia County	A1021	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/4/21 11:55	Composite	4/4/21 11:55	4/4/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A1067		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.35						Josh Lambert		07/09/2021 11:42 AM		A1067	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/09/2021 11:55 PM	Composite	06/09/2021 11:55 PM	06/09/2021 12:00 AM	JL	06/11/2021	6.35	StarCityWWTP-01	Available
A02-0048	15274	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	A1 NAB_9	AP0004	A04	JL	SARS-CoV-2 N1	305320	5920	239240	324402500	SARS-CoV-2 N2	305420	5920	235960	324508750																																				Multiplex	0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	B03	JL						WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	A1 NAB_9	EP0004	A09	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/25/2021 10:03 AM	Composite	08/25/2021 10:12 AM	08/23/2021 10:12 AM	JL	08/25/2021	7.33	CollegePark-02	
A0021	14612	OneStep RT-ddPCR				11/20/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				19320	SARS-CoV-2 N2				19320																																				CDC N1/N2/RP Triplex	0.005		11/19/20 17:00	100				4				MS	Human RNase P	88968	Timothy Driscoll	11/19/20 19:24	11/19/20 19:24	Monongalia County	A0021	11/20/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/18/20 0:00	Composite	11/18/20 23:59	11/18/20 0:00	TD	11/19/20		StarCityWWTP-01	Available
A02-0035	16385	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L1	AP0004	A02	JL	SARS-CoV-2 N1	327140	5920	239240	347586250	SARS-CoV-2 N2	327260	5920	235960	347713750																																				Multiplex	0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A01	JL						WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L1	EP0004	A01	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/25/2021 09:12 AM	Composite	08/25/2021 09:16 AM	08/23/2021 09:16 AM	JL	08/25/2021	6.55	Evansdale-01	
A02-0039	17859	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L5	AP0004	E02	JL	SARS-CoV-2 N1	353860	5920	239240	375976250	SARS-CoV-2 N2	353720	5920	235960	375827500																																				Multiplex	0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A05	JL						WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L5	EP0004	A05	JL		Pass	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/25/2021 09:38 AM	Composite	08/25/2021 09:55 AM	08/23/2021 09:55 AM	JL	08/25/2021	7.09	HonorsSummit-01 (MUB)	
A02-0069																																																																															WVU Morgantown																Pass	EL	09/01/2021 10:01 AM	Grab			JL	09/01/2021	8.30	NorthHighSt-02 (MUB)	
A1077		OneStep RT-ddPCR	BRSV	145896.25												SARS-CoV-2 N1				0	SARS-CoV-2 N2				3942.5																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.42						Josh Lambert		07/09/2021 12:01 PM		A1077	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05					Monongalia County					EL	06/23/2021 11:55 PM	Composite	06/23/2021 11:55 PM	06/23/2021 12:00 AM	JL	06/25/2021	6.42	StarCityWWTP-01	Available
A0025	12472	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				103305.6	SARS-CoV-2 N2				70675.2																																				CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				4.8				MS	Human RNase P	27158.4	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0025	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/24/20 0:00	Composite	11/24/20 23:59	11/24/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A02-0001	16799	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	B07	JL	SARS-CoV-2 N1		0	99.9626002	0	SARS-CoV-2 N2		0	99.96326296	0																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C03	JL			Eric Lundstrum		8/12/21 9:35	WVU Morgantown	Secondary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 09:35 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	Evansdale-01	
A01-0007	18545	OneStep RT-ddPCR	None			08/18/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G7	AP000000	A07	JL	SARS-CoV-2 N1		0	99.84027292	32374.68839	SARS-CoV-2 N2		31.54926549	99.85634831	14833.19414																																				Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL			Josh Lambert		8/18/21 13:15	NaN	Primary	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL	NaN	Pass	Pass	Pass	Pass	GG	08/16/2021 11:55 PM	Composite	08/16/2021 11:55 PM	08/16/2021 12:00 AM	JL	08/18/2021	6.86	StarCityWWTP-01	
A1056		OneStep RT-ddPCR														SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC nCov-2 Triplex	0.005		07/07/2021	10				0.95	pH - 6.89				Human RNase P	256642.5	Josh Lambert		07/08/2021 11:27 AM		A1056	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/25/2021 11:55 PM	Composite	05/25/2021 11:55 PM	05/25/2021 12:00 AM	JL	05/28/2021	6.89	StarCityWWTP-01	Available
A1054		OneStep RT-ddPCR	BRSV	325351.25												SARS-CoV-2 N1				0	SARS-CoV-2 N2				3776.25																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 7.02						Josh Lambert		07/08/2021 11:23 AM		A1054	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/23/2021 12:00 AM	Composite	05/23/2021 11:55 PM		JL	05/28/2021	7.02	StarCityWWTP-01	Available
A0242	12322	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				41256	SARS-CoV-2 N2				68784																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Human RNase P	13752	Timothy Driscoll	2/24/21 10:44	2/24/21 10:44	Monongalia County	A0242	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/15/21 8:00	Composite	2/15/21 11:55	2/15/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A0207	15701	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				3600	SARS-CoV-2 N2				21576																																				CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				4				MS	Human RNase P	14400	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0207	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	1/3/21 0:00	Composite	1/3/21 23:59	1/3/21 0:00	TD	1/7/21		StarCityWWTP-01	Available
A1073		OneStep RT-ddPCR	BRSV	332595												SARS-CoV-2 N1				4726.25	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.39						Josh Lambert		07/09/2021 11:54 AM		A1073	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/17/2021 11:55 PM	Composite	06/17/2021 11:55 PM	06/17/2021 12:00 AM	JL	06/18/2021	6.39	StarCityWWTP-01	Available
A0215	16604	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				57840	SARS-CoV-2 N2				57840																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	3408	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0215	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/7/21 0:00	Composite	1/7/21 23:59	1/7/21 0:00	TD	1/8/21		StarCityWWTP-01	Available
A02-0053																																																																															WVU Morgantown																Pass	EL	08/27/2021 09:57 AM	Grab			JL	08/27/2021	8.76	OaklandE-02	
A02-0088																																																																															WVU Morgantown																Pass	EL	09/08/2021 09:45 AM	Composite	09/08/2021 08:38 AM	09/06/2021 08:38 AM	JL	09/08/2021	7.21	HonorsSummit-01 (MUB)	
A1001	12141	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				17430	SARS-CoV-2 N2				5820																																				CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	46530	Mathilda Santee	3/12/21 10:59	3/12/21 10:59	Monongalia County	A1001	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/8/21 12:00	Composite	3/8/21 12:00	3/8/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A0213	15295	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				59112	SARS-CoV-2 N2				36936																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	11088	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0213	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/5/21 0:00	Composite	1/5/21 23:59	1/5/21 0:00	TD	1/8/21		StarCityWWTP-01	Available
A01-0031																																																																															Monongalia County																Pass	GG	09/06/2021 11:55 PM	Composite	09/06/2021 11:55 PM	09/06/2021 12:00 AM	JL	09/07/2021	6.56	StarCityWWTP-01	
A1066		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.28						Josh Lambert		07/09/2021 11:40 AM		A1066	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/08/2021 11:55 PM	Composite	06/08/2021 11:55 PM	06/08/2021 12:00 AM	JL	06/11/2021	6.28	StarCityWWTP-01	Available
A1075		OneStep RT-ddPCR	BRSV	493263.75												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.48						Josh Lambert		07/09/2021 11:57 AM		A1075	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/21/2021 11:55 PM	Composite	06/21/2021 11:55 PM	06/21/2021 12:00 AM	JL	06/25/2021	6.48	StarCityWWTP-01	Available
A01-0018																																																																															Monongalia County																Pass	JT	08/30/2021 11:55 PM	Composite	08/30/2021 11:55 PM	08/30/2021 12:00 AM	JL	09/01/2021	6.89	StarCityWWTP-01	
A1025	14133	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				59970	SARS-CoV-2 N2				34980																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	24990	Josh Lambert	4/9/21 12:59	4/9/21 12:59	Monongalia County	A1025	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/8/21 11:55	Composite	4/8/21 11:55	4/8/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
