Sample ID	Description	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Composite Start	Sample Composite End	Sample Received By	Concentration Date	Concentration Output Volume (mL)	Sample Received Date	Extraction Date	Extraction Run by	Extraction Method	Extraction Output Volume (mL)	Extraction Input Volume (mL)	Concentration Input Volume (mL)	Assay Control, Process	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Accepted Droplets	Assay Run By	Assay Date	Comments	Sample pH (Lab)	Assay Type	Site	Location	Department	Date Created	Date Added to Database	Created by	Status	Assay Volume (mL)	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Concentration Run by	QC Check, Sample
A0031	A0031	Composite	GG	12/1/20 0:00	12/1/20 0:00	12/1/20 23:59	TD	12/4/20 17:00	3.4	12/4/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	51510	9322	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			82456.8	SARS-CoV-2 N2			82456.8																													MS	Pass
A0032	A0032	Composite	GG	12/2/20 0:00	12/2/20 0:00	12/2/20 23:59	TD	12/4/20 17:00	4.2	12/4/20	12/7/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	28299.6	10476	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/7/20 15:15	12/7/20 15:15	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			443142	SARS-CoV-2 N2			408920.4																													MS	Pass
A0033	A0033	Composite	GG	12/3/20 0:00	12/3/20 0:00	12/3/20 23:59	TD	12/7/20 17:00	3.2	12/7/20	12/8/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	24192	9338	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/14/20 14:57	12/14/20 14:57	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			53241.6	SARS-CoV-2 N2			29030.4																													MS	Pass
A0034	A0034	Composite	GG	12/6/20 0:00	12/6/20 0:00	12/6/20 23:59	TD	12/7/20 17:00	4	12/7/20	12/8/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	84912	15971	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/14/20 14:57	12/14/20 14:57	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			106176	SARS-CoV-2 N2			99096																													MS	Pass
A0035	A0035	Composite	GG	12/7/20 0:00	12/7/20 12:00	12/7/20 11:59	TD	12/13/20 17:00	3.8	12/11/20	12/14/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	49430.4	16284	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/14/20 14:57	12/14/20 14:57	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			112130.4	SARS-CoV-2 N2			75832.8																													MS	Pass
A0036	A0036	Composite	GG	12/8/20 0:00	12/8/20 12:00	12/8/20 11:59	TD	12/13/20 17:00	5	12/11/20	12/14/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	44010	14442	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/14/20 14:57	12/14/20 14:57	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			14670	SARS-CoV-2 N2			19560																													MS	Pass
A0037	A0037	Composite	GG	12/9/20 0:00	12/9/20 12:00	12/9/20 11:59	TD	12/13/20 17:00	4	12/11/20	12/14/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	98064	13832	TD	12/14/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/14/20 14:57	12/14/20 14:57	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			85800	SARS-CoV-2 N2			85800																													MS	Pass
A0038	A0038	Composite	DW	12/10/20 0:00	12/10/20 12:00	12/10/20 11:59	TD	12/13/20 17:00	3.6	12/14/20	12/15/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	59680.8	13631	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			100764	SARS-CoV-2 N2			74628																													AT	Pass
A0039	A0039	Composite	DW	12/13/20 0:00	12/13/20 12:00	12/13/20 11:59	TD	12/14/20 17:00	4	12/14/20	12/15/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	52080	13018	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			108552	SARS-CoV-2 N2			99864																													AT	Pass
A0040	A0040	Composite	GG	12/14/20 0:00	12/14/20 12:00	12/14/20 11:59	TD	12/14/20 17:00	4.2	12/18/20	12/21/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	15246	11665	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			81396	SARS-CoV-2 N2			81396																													AT	Pass
A0041	A0041	Composite	GG	12/15/20 0:00	12/15/20 12:00	12/15/20 11:59	TD	12/14/20 17:00	4	12/18/20	12/21/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	34248	11546	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			73416	SARS-CoV-2 N2			83208																													AT	Pass
A0042	A0042	Composite	GG	12/16/20 0:00	12/16/20 12:00	12/16/20 11:59	TD	12/14/20 17:00	4.2	12/18/20	12/21/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	42184.8	15469	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			84394.8	SARS-CoV-2 N2			84394.8																													AT	Pass
A0043	A0043	Composite	GG	12/17/20 0:00	12/17/20 12:00	12/17/20 11:59	TD	12/14/20 17:00	3.8	12/18/20	12/21/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	20018.4	13397	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			60100.8	SARS-CoV-2 N2			44072.4																													AT	Pass
A0044	A0044	Composite	GG	12/20/20 0:00	12/20/20 12:00	12/20/20 11:59	TD	12/21/20 13:00	3.4	12/21/20	12/21/20	AT	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	34414.8	13954	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	12/21/20 16:22	12/21/20 16:22	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			55059.6	SARS-CoV-2 N2			79172.4																													AT	Pass
A0045	A0045	Composite	GG	12/21/20 0:00	12/21/20 12:00	12/21/20 11:59	TD	1/3/21 13:00	7	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	5334	18529	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			21336	SARS-CoV-2 N2			10668																													MS	Pass
A0046	A0046	Composite	GG	12/22/20 0:00	12/22/20 12:00	12/22/20 11:59	TD	1/3/21 13:00	15	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	22410	18937	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			67140	SARS-CoV-2 N2			22410																													MS	Pass
A0047	A0047	Composite	GG	12/23/20 0:00	12/23/20 12:00	12/23/20 11:59	TD	1/3/21 13:00	5.5	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	8844	17534	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			53163	SARS-CoV-2 N2			79761																													MS	Pass
A0048	A0048	Composite	GG	12/24/20 0:00	12/24/20 12:00	12/24/20 11:59	TD	1/3/21 13:00	6	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	10116	16737	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			35424	SARS-CoV-2 N2			50616																													MS	Pass
A0049	A0049	Composite	GG	12/28/20 0:00	12/28/20 12:00	12/28/20 11:59	TD	1/3/21 13:00	8	1/14/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	26736	16890	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			60192	SARS-CoV-2 N2			33456																													MS	Pass
A0050	A0050	Composite	GG	12/29/20 0:00	12/29/20 12:00	12/29/20 11:59	TD	1/3/21 13:00	7	1/14/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	0	14694	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			33642	SARS-CoV-2 N2			33642																													MS	Pass
A0100	A0100	Composite	GS	11/1/20 0:00	11/1/20 0:00	11/1/20 23:59	TD	11/9/20 17:30	4	11/9/20	11/10/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	29424	11518	TD	11/10/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/9/20 16:53	11/9/20 16:53	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			9816	SARS-CoV-2 N2			9816																													MS	Pass
A0101	A0101	Composite	GS	11/2/20 0:00	11/2/20 0:00	11/2/20 23:59	TD	11/9/20 17:30	4.2	11/9/20	11/10/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	17010	13937	TD	11/10/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/9/20 16:54	11/9/20 16:54	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			8517.6	SARS-CoV-2 N2			12776.4																													MS	Pass
A0102	A0102	Composite	GS	11/3/20 0:00	11/3/20 0:00	11/3/20 23:59	TD	11/9/20 17:30	3.4	11/9/20	11/10/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	38821.2	11130	TD	11/10/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/9/20 16:55	11/9/20 16:55	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			12933.6	SARS-CoV-2 N2			21562.8																													MS	Pass
A0103	A0103	Composite	GS	11/4/20 0:00	11/4/20 0:00	11/4/20 23:59	TD	11/9/20 17:30	5	11/9/20	11/10/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	18630	11366	TD	11/10/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/9/20 16:55	11/9/20 16:55	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			12420	SARS-CoV-2 N2			12420																													MS	Pass
A0104	A0104	Composite	GS	11/5/20 0:00	11/5/20 0:00	11/5/20 23:59	TD	11/9/20 17:30	3.4	11/9/20	11/10/20	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	17136	14007	TD	11/10/20			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	11/9/20 16:56	11/9/20 16:56	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			13708.8	SARS-CoV-2 N2			13708.8																													MS	Pass
A0205	A0205	Composite	GG	12/30/20 0:00	12/30/20 0:00	12/30/20 23:59	TD	1/4/21 0:00	6	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	4896	17242	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			29484	SARS-CoV-2 N2			29484																													MS	Pass
A0206	A0206	Composite	GG	12/31/20 0:00	12/31/20 0:00	12/31/20 23:59	TD	1/4/21 0:00	4	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	7296	15486	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			51072	SARS-CoV-2 N2			62016																													MS	Pass
A0207	A0207	Composite	GG	1/3/21 0:00	1/3/21 0:00	1/3/21 23:59	TD	1/4/21 0:00	4	1/7/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	14400	15701	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/20/21 16:13	2/20/21 16:13	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			3600	SARS-CoV-2 N2			21576																													MS	Pass
A0212	A0212	Composite	GS	1/4/21 0:00	1/4/21 0:00	1/4/21 23:59	TD	2/5/21 13:00	4	1/8/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	6984	16156	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/12/21 16:27	2/12/21 16:27	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			24480	SARS-CoV-2 N2			27960																													MS	Pass
A0213	A0213	Composite	GS	1/5/21 0:00	1/5/21 0:00	1/5/21 23:59	TD	2/5/21 13:00	4	1/8/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	11088	15295	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/12/21 16:27	2/12/21 16:27	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			59112	SARS-CoV-2 N2			36936																													MS	Pass
A0214	A0214	Composite	GS	1/6/21 0:00	1/6/21 0:00	1/6/21 23:59	TD	2/5/21 13:00	4	1/8/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	3384	16742	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/12/21 16:27	2/12/21 16:27	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			131712	SARS-CoV-2 N2			101280																													MS	Pass
A0215	A0215	Composite	GS	1/7/21 0:00	1/7/21 0:00	1/7/21 23:59	TD	2/5/21 13:00	4	1/8/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	3408	16604	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/12/21 16:27	2/12/21 16:27	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			57840	SARS-CoV-2 N2			57840																													MS	Pass
A0216	A0216	Composite	GS	1/10/21 0:00	1/10/21 0:00	1/10/21 23:59	TD	2/5/21 13:00	4	1/15/21	2/17/21	MS	Qiagen QIAamp Viral RNA Mini	0.06	0.2	100		Human RNase P	0	14343	TD	2/22/21			CDC N1/N2/RP Triplex	StarCityWWTP-01		Monongalia County	2/12/21 16:27	2/12/21 16:27	Timothy Driscoll	Available	0.005	OneStep RT-ddPCR	Manual	DQ			CDC nCov-2 Triplex				SARS-CoV-2 N1			161664	SARS-CoV-2 N2			173496																													MS	Pass
