Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0023	10233	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H3	AP000000	A03	JL	SARS-CoV-2 N1	0	99.9155717285111	46617.8415274658	SARS-CoV-2 N2	0	99.9183125425886	53296.8358267181																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A03	JL						G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H3	EP000000	A03	JL		Pass	Pass	Pass			08/20/2021 09:56 AM	Composite	08/20/2021 09:56 AM	08/18/2021 09:56 AM				NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A02-0001 10K	17989	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	10k	AP000000	B03	JL	SARS-CoV-2 N1	0	99.9626001999652	106109.700738251	SARS-CoV-2 N2	0	99.9632629606967	106116.339777753																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 10K HI-SARS	CP000000	B05	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 10K HI-SARS	EP000000	B05	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A1104	15713	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A01	JL	SARS-CoV-2 N1	0	99.9626001999652	1285.2418233985	SARS-CoV-2 N2	0	99.9632629606967	1519.47427819927																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A02-0007																																																																Eric Lundstrum	2021-08-25.16-46-26	08/12/2021 09:14 AM	WVU Morgantown	Building/Complex															Pass	EL	08/12/2021 09:14 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021		Evansdale-01		2021-08-25.16-46-49
A02-0019	17835	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.8402729171382	40511.6763095226	SARS-CoV-2 N2	31.549265490618	99.856348309887	47992.1911073416																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL		Eric Lundstrum	2021-08-25.16-46-26	08/18/2021 10:25 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	EL	08/18/2021 10:24 AM	Composite	08/18/2021 10:24 AM	08/16/2021 10:33 AM	JL	08/18/2021	7.04	CollegePark-02		2021-08-25.16-46-49
A02-0003	16102	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C02	JL	SARS-CoV-2 N1	0	99.9626001999652	74636.199	SARS-CoV-2 N2	0	99.9632629606967	79308.37154																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C06	JL		Eric Lundstrum	2021-08-25.16-46-26	08/12/2021 09:59 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C06	JL		Pass	Pass	Pass	Pass	EL	08/12/2021 09:59 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	CollegePark-02		2021-08-25.16-46-49
A01-0009	17879	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H5	AP000000	A05	JL	SARS-CoV-2 N1	0	99.9155717285111	42236.6681951776	SARS-CoV-2 N2	0	99.9183125425886	58698.8286377543																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.97	CP000000	A05	JL						Star City	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H5	EP000000	A05	JL		Pass	Pass	Pass			08/18/2021 11:59 AM	Composite	08/18/2021 11:59 AM	08/18/2021 12:01 PM				StarCityWWTP-01		2021-08-25.16-46-49
A02-0005	16325	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A04	JL	SARS-CoV-2 N1	0	99.9487431908882	0	SARS-CoV-2 N2	0	99.9507301404237	3062.97486	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A04	JL		Eric Lundstrum	2021-08-25.16-46-26	08/13/2021 09:12 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 09:12 AM	Composite	08/13/2021 09:00 AM	08/12/2021 09:00 AM	Josh Lambert	08/13/2021	7.34	Evansdale-01		2021-08-25.16-46-49
A01-0005	14966	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G5	AP000000	A05	JL	SARS-CoV-2 N1	0	99.8402729171382	92886.3792733229	SARS-CoV-2 N2	31.549265490618	99.856348309887	94328.1401868746																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL		Josh Lambert	2021-08-25.16-46-26	08/18/2021 01:14 PM		Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	GG	08/14/2021 11:55 PM	Composite	08/14/2021 11:55 PM	08/14/2021 12:00 AM	JL	08/18/2021	6.85	StarCityWWTP-01		2021-08-25.16-46-49
A06-0017	17517	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	1427.22571																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL		Eric Lundstrum	2021-08-25.16-46-26	08/11/2021 09:35 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:35 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.55	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A02-0006	17196	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A05	JL	SARS-CoV-2 N1	0	99.9487431908882	24727.27346	SARS-CoV-2 N2	0	99.9507301404237	18906.8917	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A05	JL		Eric Lundstrum	2021-08-25.16-46-26	08/13/2021 09:23 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 09:22 AM	Composite	08/13/2021 09:22 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.34	OaklandE-02		2021-08-25.16-46-49
A02-0014	19433	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B03	JL	SARS-CoV-2 N1	0	99.9487431908882	33470.65294	SARS-CoV-2 N2	0	99.9507301404237	32182.49166	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B05	JL		Eric Lundstrum	2021-08-25.16-46-26	08/16/2021 10:05 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A11	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/16/2021 10:05 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.83	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A02-0004 1K	16637	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	1k	AP000000	B04	JL	SARS-CoV-2 N1	0	99.9626001999652	104599.207046434	SARS-CoV-2 N2	0	99.9632629606967	105079.10474132																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 1K HI-SARS	CP000000	B06	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 1K HI-SARS	EP000000	B06	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A01-0003	19784	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.9487431908882	25285.73	SARS-CoV-2 N2	0	99.9507301404237	32876.44184	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A02	JL		Josh Lambert	2021-08-25.16-46-26	08/16/2021 01:05 PM	Monongalia County	Star City	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL	NaN	Pass	Pass	Pass	Pass	GG	08/11/2021 11:55 PM	Composite	08/11/2021 11:55 PM	08/11/2021 12:00 AM	Josh Lambert	08/13/2021	6.87	StarCityWWTP-01		2021-08-25.16-46-49
A02-0021	10148	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H1	AP000000	A01	JL	SARS-CoV-2 N1	0	99.9155717285111	0	SARS-CoV-2 N2	0	99.9183125425886	0																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.74	CP000000	A01	JL						G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H1	EP000000	A01	JL		Pass	Pass	Pass			08/20/2021 09:30 AM	Composite	08/20/2021 09:30 AM	08/18/2021 09:30 AM				OaklandE-02		2021-08-25.16-46-49
A01-0006	11957	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G6	AP000000	B02	JL	SARS-CoV-2 N1	0	99.9155717285111	76041.9009466522	SARS-CoV-2 N2	0	99.9183125425886	40512.6475722686																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL		Josh Lambert	2021-08-25.16-46-26	08/18/2021 01:15 PM		Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL		Pass	Pass	Pass	Pass	GG	08/15/2021 11:55 PM	Composite	08/15/2021 11:55 PM	08/15/2021 12:00 AM	JL	08/18/2021	6.82	StarCityWWTP-01		2021-08-25.16-46-49
A02-0016	17093	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	0	99.8402729171382	72486.4498557304	SARS-CoV-2 N2	31.549265490618	99.856348309887	73895.9095791091																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL		Eric Lundstrum	2021-08-25.16-46-26	08/18/2021 09:23 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	EL	08/18/2021 09:23 AM	Composite	08/18/2021 09:23 AM	08/16/2021 09:28 AM	JL	08/18/2021	6.91	Evansdale-01		2021-08-25.16-46-49
A06-0005	17313	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	1444.04335																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL		Eric Lundstrum	2021-08-25.16-46-26	08/10/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	Pass	Pass	Pass	EL	08/10/2021 09:07 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.43	Evansdale-01		2021-08-25.16-46-49
A02-0001	16799	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B07	JL	SARS-CoV-2 N1	0	99.9626001999652	0	SARS-CoV-2 N2	0	99.9632629606967	0																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C03	JL		Eric Lundstrum	2021-08-25.16-46-26	08/12/2021 09:35 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C03	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 09:35 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021	NaN	Evansdale-01		2021-08-25.16-46-49
A02-0010	17250	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.9487431908882	0	SARS-CoV-2 N2	0	99.9507301404237	0	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B02	JL		Eric Lundstrum	2021-08-25.16-46-26	08/16/2021 09:28 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	Pass	Pass	Pass	Alexander Brun	08/16/2021 09:28 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	6.85	Evansdale-01		2021-08-25.16-46-49
A01-0008	17162	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G8	AP000000	A08	JL	SARS-CoV-2 N1	0	99.8402729171382	39854.9685220156	SARS-CoV-2 N2	31.549265490618	99.856348309887	49204.9493422677																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL		Josh Lambert	2021-08-25.16-46-26	08/18/2021 01:16 PM		Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	Pass	Pass	Pass	JL	08/17/2021 11:55 PM	Composite	08/17/2021 11:55 PM	08/17/2021 12:00 AM	JL	08/18/2021	6.97	StarCityWWTP-01		2021-08-25.16-46-49
