Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A02-0010	17250	OneStep RT-ddPCR	Human RNase P	8.18556666374206	8697.16458022594	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	0	1714.01901245117	0	SARS-CoV-2 N2	0	0	1783.14178466797	0	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B02	JL	Eric Lundstrum		08/16/2021 09:28 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	Alexander Brun	08/16/2021 09:28 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	6.85	Evansdale-01		10
A02-0011	21209	OneStep RT-ddPCR	Human RNase P	12.2066426277161	12969.5577919483	None				2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	F1	AP000000	A08	JL	SARS-CoV-2 N1	35.5278301239014	0	1047.21549987793	37748.3195066452	SARS-CoV-2 N2	41.0839033126832	0	1082.35214233398	43651.6472697259	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B03	JL	Eric Lundstrum		08/16/2021 09:42 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A09	JL		Pass	Eric Lundstrom	08/16/2021 09:41 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.31	OaklandE-02		10
A02-0026	12152	OneStep RT-ddPCR	Human RNase P	75.6355094909668	80362.7288341522	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I2	AP000002	A02	JL	SARS-CoV-2 N1	0	0	1206.43348693848	0	SARS-CoV-2 N2	1.93633809685707	0	1324.79263305664	2057.35922791064																																					0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A02	JL					G	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A02	JL				08/23/2021 09:13 AM	Grab						Evansdale-01		
A02-0002	20957	OneStep RT-ddPCR				BRSV	0	0		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	6.73744678497314	0	2236.36169433594	7158.53721	SARS-CoV-2 N2	5.61440527439118	0	2276.70715332032	5965.30548																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL	Josh Lambert		08/16/2021 01:03 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL	NaN	Pass	EL	08/12/2021 09:00 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/13/2021	6.65	OaklandE-02		10
A01-0008	17162	OneStep RT-ddPCR	Human RNase P	53.5305500030518	56876.2093782425	None				2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G8	AP000000	A08	JL	SARS-CoV-2 N1	41.1665296554566	0	1685.59967041016	43739.4377589226	SARS-CoV-2 N2	57.6533317565918	1.368028819561	1874.41497802734	61256.6649913788																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL	Josh Lambert		08/18/2021 01:16 PM		Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	JL	08/17/2021 11:55 PM	Composite	08/17/2021 11:55 PM	08/17/2021 12:00 AM	JL	08/18/2021	6.97	StarCityWWTP-01		
A06-0005	17313	OneStep RT-ddPCR				BRSV	540.266151428222	574032.785892486		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	1.35909959673882	0	2276.70715332032	1444.04335																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL	Eric Lundstrum		08/10/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	EL	08/10/2021 09:07 AM	Composite	08/10/2021 09:00 AM	08/09/2021 09:00 AM	JL	08/10/2021	7.43	Evansdale-01		10
A02-0008	18971	OneStep RT-ddPCR	Human RNase P	33.5114979743958	35605.9665977955	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A06	JL	SARS-CoV-2 N1	6.202232837677	0	1714.01901245117	6589.87239	SARS-CoV-2 N2	1.24031588435173	0	1783.14178466797	1317.83566	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A06	JL	Eric Lundstrum		08/13/2021 10:02 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Eric Lundstrom	08/13/2021 10:02 AM	Composite	08/13/2021 09:45 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.5	NorthHighSt-02 (MUB)		10
A02-0022	2159	OneStep RT-ddPCR	Human RNase P	-20	0	None				2021-08-23	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	H2	AP000002	B03	JL	SARS-CoV-2 N1	-20	0	1206.43348693848	0	SARS-CoV-2 N2	-20	0	1324.79263305664	0																																					0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.39	CP000000	A02	JL					G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H2	EP000000	A02	JL				08/20/2021 09:42 AM	Composite	08/20/2021 09:42 AM	08/18/2021 09:42 AM				HonorsSummit-01 (MUB)		
A1104	15713	OneStep RT-ddPCR				BRSV	1146.0572052002	1217685.78052521		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A01	JL	SARS-CoV-2 N1	19.4748902320862	0	2236.36169433594	20692.0708715916	SARS-CoV-2 N2	22.4724578857422	0	2276.70715332032	23876.9865036011																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL													
A07-0018	19654	OneStep RT-ddPCR				BRSV	798.756942749024	848679.251670838		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	0	0	2276.70715332032	0																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL	Josh Lambert		08/13/2021 12:24 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	EL	08/11/2021 09:00 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	NaN	TowersBB-01		10
A02-0016	17093	OneStep RT-ddPCR	Human RNase P	6.8837696313858	7314.00523334741	None				2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	23.4130358695984	0	1685.59967041016	24876.3506114483	SARS-CoV-2 N2	24.7910022735596	1.368028819561	1874.41497802734	26340.4399156571																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL	Eric Lundstrum		08/18/2021 09:23 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	EL	08/18/2021 09:23 AM	Composite	08/18/2021 09:23 AM	08/16/2021 09:28 AM	JL	08/18/2021	6.91	Evansdale-01		
A01-0001	19475	OneStep RT-ddPCR				BRSV	548.826522827148	583128.180503845		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	8.45881879329682	0	2236.36169433594	8987.49459	SARS-CoV-2 N2	9.66746926307678	0	2276.70715332032	10271.68584																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	Josh Lambert		08/13/2021 12:13 PM	Monongalia County	WWTP	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	GG	08/09/2021 11:55 PM	Composite	08/09/2021 11:55 PM	08/09/2021 12:00 AM	JL	08/13/2021	NaN	StarCityWWTP-01		10
A02-0007																																																																														Eric Lundstrum		08/12/2021 09:14 AM	WVU Morgantown	Building/Complex												Pass	EL	08/12/2021 09:14 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021		Evansdale-01		10
A01-0012																																																																																		Star City														08/22/2021 11:59 PM	Composite	08/22/2021 11:59 PM	08/22/2021 12:00 AM				StarCityWWTP-01		
A02-0029	17184	OneStep RT-ddPCR	Human RNase P	290.702877044678	308871.80685997	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I5	AP000002	A05	JL	SARS-CoV-2 N1	1.36930257081985	0	1206.43348693848	1454.88398149609	SARS-CoV-2 N2	5.47768890857696	0	1324.79263305664	5820.04446536302																																					0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A05	JL					G	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A05	JL				08/23/2021 09:46 AM	Grab						HonorsSummit-01 (MUB)		
A02-0015	21184	OneStep RT-ddPCR	Human RNase P	21.113076210022	22432.6434731484	None				08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	99.061975479126	0	1714.01901245117	105253.34692	SARS-CoV-2 N2	72.307538986206	0	1783.14178466797	76826.7622	None																																				0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B06	JL	Eric Lundstrum		08/16/2021 10:33 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL		Pass	Alexander Brun	08/16/2021 10:15 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	7.18	CollegePark-02		10
A05-0004	17870	OneStep RT-ddPCR				BRSV	410.418701171876	436069.869995118		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	0	0	2276.70715332032	0																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL	Eric Lundstrum		08/11/2021 09:07 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	EL	08/11/2021 09:07 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.19	Evansdale-01		10
A02-0021	11734	OneStep RT-ddPCR	Human RNase P	16.0473394393921	17050.2981543541	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	H1	AP000002	B02	JL	SARS-CoV-2 N1	4.01080906391144	0	1206.43348693848	4261.48463040591	SARS-CoV-2 N2	4.01080906391144	0	1324.79263305664	4261.48463040591																																					0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.74	CP000000	A01	JL					G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H1	EP000000	A01	JL				08/20/2021 09:30 AM	Composite	08/20/2021 09:30 AM	08/18/2021 09:30 AM				OaklandE-02		
A06-0017	17517	OneStep RT-ddPCR				BRSV	1378.82507324219	1465001.64031982		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	0	2236.36169433594	0	SARS-CoV-2 N2	1.34327128529549	0	2276.70715332032	1427.22571																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL	Eric Lundstrum		08/11/2021 09:35 AM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	EL	08/11/2021 09:35 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.55	NorthHighSt-02 (MUB)		10
A02-0004 1K	16637	OneStep RT-ddPCR				BRSV	0	0		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	1k	AP000000	B04	JL	SARS-CoV-2 N1	62.310848236084	0	2236.36169433594	66205.2762508392	SARS-CoV-2 N2	87.8492832183838	0	2276.70715332032	93339.8634195328																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 1K HI-SARS	CP000000	B06	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 1K HI-SARS	EP000000	B06	JL													
A02-0025	18991	OneStep RT-ddPCR	Human RNase P	4.95642989873886	5266.20676741004	None				2021-08-23	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I1	AP000002	A01	JL	SARS-CoV-2 N1	3.71722429990768	0	1206.43348693848	3949.55081865191	SARS-CoV-2 N2	3.71722429990768	0	1324.79263305664	3949.55081865191																																					0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A01	JL					G	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A01	JL				08/23/2021 09:13 AM	Composite	08/23/2021 09:16 AM	08/21/2021 09:16 AM				Evansdale-01		
A02-0002 100K	11472	OneStep RT-ddPCR				BRSV	0	0		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	1951.31072998047	0	2236.36169433594	2073267.65060425	SARS-CoV-2 N2	1940.17150878906	0	2276.70715332032	2061432.22808838																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL													
