Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0016	17093	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G1	AP000000	A01	JL	SARS-CoV-2 N1	0	99.84027292	72486.44986	SARS-CoV-2 N2	31.54926549	99.85634831	73895.90958																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A01	JL			Eric Lundstrum	2021-08-25.16-46-49	8/18/21 9:23	WVU Morgantown	G	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	EL	8/18/21 9:23	Composite	8/18/21 9:23	8/16/21 9:28	JL	8/18/21	6.91	Evansdale-01		2021-08-25.16-47-07
A02-0001 10K	17989	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	10k	AP000000	B03	JL	SARS-CoV-2 N1	0	99.9626002	106109.7007	SARS-CoV-2 N2	0	99.96326296	106116.3398																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 10K HI-SARS	CP000000	B05	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 10K HI-SARS	EP000000	B05	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A02-0028	14645	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I4	AP000002	A04	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A04	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A04	JL		Pass	Pass	Pass			8/23/21 9:45	Composite	8/23/21 9:00	8/21/21 9:00				HonorsSummit-01 (MUB)		2021-08-25.16-47-07
A07-0018	19654	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B04	JL			Josh Lambert	2021-08-25.16-46-49	8/13/21 12:24	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:00	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	NaN	TowersBB-01		2021-08-25.16-47-07
A02-0031	18646	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I7	AP000002	A07	JL	SARS-CoV-2 N1	0	99.93699063	180.6101026	SARS-CoV-2 N2	0	99.94261999	324.66756																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B01	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A07	JL		Pass	Pass	Pass			8/23/21 9:55	Grab						NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A05-0004	17870	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL			Eric Lundstrum	2021-08-25.16-46-49	8/11/21 9:07	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:07	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.19	Evansdale-01		2021-08-25.16-47-07
A02-0029	17184	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I5	AP000002	A05	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	969.4788339																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A05	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A05	JL		Pass	Pass	Pass			8/23/21 9:46	Grab						HonorsSummit-01 (MUB)		2021-08-25.16-47-07
A06-0005	17313	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	1444.04335																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL			Eric Lundstrum	2021-08-25.16-46-49	8/10/21 9:07	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	Pass	Pass	Pass	EL	8/10/21 9:07	Composite	8/10/21 9:00	8/9/21 9:00	JL	8/10/21	7.43	Evansdale-01		2021-08-25.16-47-07
A02-0024	17511	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.91557173	1806.353282	SARS-CoV-2 N2	0	99.91831254	27283.8853																													Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A04	JL				2021-08-25.16-46-49			G	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H4	EP000000	A04	JL		Pass	Pass	Pass			8/20/21 10:10	Composite	8/20/21 10:10	8/18/21 10:10				CollegePark-02		2021-08-25.16-47-07
A01-0005	14966	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G5	AP000000	A05	JL	SARS-CoV-2 N1	0	99.84027292	92886.37927	SARS-CoV-2 N2	31.54926549	99.85634831	94328.14019																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL			Josh Lambert	2021-08-25.16-46-49	8/18/21 13:14		Star City	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	GG	8/14/21 23:55	Composite	8/14/21 23:55	8/14/21 0:00	JL	8/18/21	6.85	StarCityWWTP-01		2021-08-25.16-47-07
A02-0019	17835	OneStep RT-ddPCR	None	8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.84027292	40511.67631	SARS-CoV-2 N2	31.54926549	99.85634831	47992.19111																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum	2021-08-25.16-46-49	8/18/21 10:25	WVU Morgantown	G	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/18/21 10:24	Composite	8/18/21 10:24	8/16/21 10:33	JL	8/18/21	7.04	CollegePark-02		2021-08-25.16-47-07
A02-0010	17250	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A08	JL	SARS-CoV-2 N1	0	99.94874319	0	SARS-CoV-2 N2	0	99.95073014	0	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B02	JL			Eric Lundstrum	2021-08-25.16-46-49	8/16/21 9:28	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A08	JL	NaN	Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 9:28	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	6.85	Evansdale-01		2021-08-25.16-47-07
A02-0015	21184	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	0	99.94874319	105253.3469	SARS-CoV-2 N2	0	99.95073014	76826.7622	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B06	JL			Eric Lundstrum	2021-08-25.16-46-49	8/16/21 10:33	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL		Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 10:15	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	7.18	CollegePark-02		2021-08-25.16-47-07
A02-0002 100K	11472	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	0	99.9626002	106173.5507	SARS-CoV-2 N2	0	99.96326296	106173.1117																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A1106	18310	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.9626002	1185.207039	SARS-CoV-2 N2	0	99.96326296	1630.482818																													Multiplex	0.005		8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL				2021-08-25.16-46-49				8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Pass	Pass	Pass												2021-08-25.16-47-07
A02-0025	18991	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I1	AP000002	A01	JL	SARS-CoV-2 N1	0	99.93699063	25093.2497	SARS-CoV-2 N2	0	99.94261999	25093.2497																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A01	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A01	JL		Pass	Pass	Pass			8/23/21 9:13	Composite	8/23/21 9:16	8/21/21 9:16				Evansdale-01		2021-08-25.16-47-07
A02-0011	21209	OneStep RT-ddPCR	None	8/20/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	F1	AP000000	A08	JL	SARS-CoV-2 N1	0	99.91557173	71987.43344	SARS-CoV-2 N2	0	99.91831254	75446.30479	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B03	JL			Eric Lundstrum	2021-08-25.16-46-49	8/16/21 9:42	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A09	JL		Pass	Pass	Pass	Pass	Eric Lundstrom	8/16/21 9:41	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	7.31	OaklandE-02		2021-08-25.16-47-07
A02-0008	18971	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A06	JL	SARS-CoV-2 N1	0	99.94874319	6589.87239	SARS-CoV-2 N2	0	99.95073014	1317.83566	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A06	JL			Eric Lundstrum	2021-08-25.16-46-49	8/13/21 10:02	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	8/13/21 10:02	Composite	8/13/21 9:45	8/11/21 9:45	Josh Lambert	8/13/21	7.5	NorthHighSt-02 (MUB)		2021-08-25.16-47-07
A02-0007																																																																	Eric Lundstrum	2021-08-25.16-46-49	8/12/21 9:14	WVU Morgantown	Building/Complex															Pass	EL	8/12/21 9:14	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21		Evansdale-01		2021-08-25.16-47-07
A01-0002	15989	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A01	JL	SARS-CoV-2 N1	0	99.94874319	35988.11412	SARS-CoV-2 N2	0	99.95073014	40686.03611	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A01	JL			Josh Lambert	2021-08-25.16-46-49	8/16/21 10:17	Monongalia County	Star City	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A01	JL	NaN	Pass	Pass	Pass	Pass	GG	8/10/21 23:55	Composite	8/10/21 23:55	8/10/21 0:00	Josh Lambert	8/13/21	6.9	StarCityWWTP-01		2021-08-25.16-47-07
A01-0012																																																																					Star City																	8/22/21 23:59	Composite	8/22/21 23:59	8/22/21 0:00				StarCityWWTP-01		2021-08-25.16-47-07
A01-0006	15992	OneStep RT-ddPCR	None	8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	G6	AP000002	B06	JL	SARS-CoV-2 N1	0	99.93699063	57639.53911	SARS-CoV-2 N2	0	99.94261999	16071.31485																													Multiplex	0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A06	JL			Josh Lambert	2021-08-25.16-46-49	8/18/21 13:15		Star City	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A06	JL		Pass	Pass	Pass	Pass	GG	8/15/21 23:55	Composite	8/15/21 23:55	8/15/21 0:00	JL	8/18/21	6.82	StarCityWWTP-01		2021-08-25.16-47-07
A02-0032	3664	OneStep RT-ddPCR	None	8/23/21	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	I8	AP000002	A08	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B02	JL							G	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A08	JL		Fail: Droplet Counts Below Threshold	Pass	Pass			8/23/21 10:11	Grab						CollegePark-02		2021-08-25.16-47-07
A02-0012	18304	OneStep RT-ddPCR	None	8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.94874319	4097.80094	SARS-CoV-2 N2	0	99.95073014	10928.96241	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B04	JL			Eric Lundstrum	2021-08-25.16-46-49	8/16/21 9:54	WVU Morgantown	G	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A10	JL	NaN	Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 9:54	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	6.65	HonorsSummit-01 (MUB)		2021-08-25.16-47-07
A01-0001	19475	OneStep RT-ddPCR	BRSV	8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.9626002	8987.49459	SARS-CoV-2 N2	0	99.96326296	10271.68584																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	None		Josh Lambert	2021-08-25.16-46-49	8/13/21 12:13	Monongalia County	WWTP	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	8/9/21 23:55	Composite	8/9/21 23:55	8/9/21 0:00	JL	8/13/21	NaN	StarCityWWTP-01		2021-08-25.16-47-07
