Sample ID	Replicate (Bio.Tech)	Description	Category	Department	Site	Location	Sample QC Check	Status: NWSS	Status: WaTCH	Sample Collection Method	Sample Composite Start	Sample Composite End	Sample Collection Date/Time	Sample Collection By	Sample Flow (MGD)	Assay Accepted Droplets	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Spike-In (CN/L)	Assay Control, Process Result (CN/L)	Assay Control, Internal	Assay Control, Internal Result (CN/L)	Assay Control, Internal Concentration (CN/Rxn)	Concentration Input Volume (mL)	Concentration Method	Concentration Output Volume (mL)	Extraction Input Volume (mL)	Extraction Method	Extraction Output Volume (mL)	Assay Type	Assay Name	Assay Volume (mL)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Sample Received By	Sample Received Date	Sample pH (Lab)	Concentration Date	Concentration Lot ID	Concentration Machine	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Extraction Date	Extraction Lot ID	Extraction Machine	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Assay Date	Assay Amplification Method	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Comments
A04-0165	1.1	Sample	Sample	WWTP	Monongalia	CheatLakeWWTP-01	Pass	Processing	Complete	Composite	10/14/2022 08:00 AM	10/15/2022 08:00 AM	10/15/2022 08:00 AM		0.523	18839	SARS-CoV-2 N1	110.1671791	1.163296252	2.334614396	196235.2878	SARS-CoV-2 N2	131.5090466	2.326650023	2.334614396	234250.4892					Human RNase P	6674.733572	3.747218847	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	10/19/2022		10/19/22	NT04455	Halcyon		CP000265	A05	AJ	10/19/22	NT04455	Halcyon	L5	EP000265	D05	AJ	10/20/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	L5	AP0128	E04	JL	
A01-0383	1.1	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	10/12/2022 12:00 AM	10/13/2022 12:00 AM	10/13/2022 12:00 AM		7.8	21156	SARS-CoV-2 N1	10.01180649	0	3.743840158	17833.53031	SARS-CoV-2 N2	11.12449169	1.139245704	7.488276362	19815.50083	BRSV				Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		BRSV Triplex	0.005																																				AJ	10/17/2022		10/17/22	NT04455	Halcyon		CP000259	C03	AJ	10/17/22	2108255	Kookaburra	K7	EP000262	B07	AJ	10/18/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	K7	AP0127	G02	JL	
A02-0716	1.1	Sample	Sample	WVU Morgantown	Monongalia	TowersBB-01	Pass	Processing	Complete	Composite	10/17/2022 09:00 AM	10/19/2022 09:00 AM	10/19/2022 10:11 AM	GZ		18936	SARS-CoV-2 N1	0	1.163296252	2.334614396	0	SARS-CoV-2 N2	0	2.326650023	2.334614396	0					Human RNase P	26568.47164	14.9156332	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	10/19/2022		10/19/22	NT04455	Halcyon		CP000263	B03	AJ	10/19/22	NT04455	Halcyon	J1	EP000265	B01	AJ	10/20/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	J1	AP0128	A02	JL	
P01-0093	1.1	P01-0093	Sample	WWTP	Pleasants	StMarysWWTP-01	Fail: Missing Required Data	Processing	Complete	Composite	06/08/2022 11:05 AM	06/09/2022 11:05 AM	06/10/2022 12:44 PM			18942	SARS-CoV-2 N1	60.94578266	0	138.630743	108559.6754	SARS-CoV-2 N2	69.66522217	0	177.2080612	124091.177					Human RNase P	4425.507062	2.484495193	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/24/2022	6.9	6/24/22	NT04473	Halcyon		CP000174	D06	AJ	6/24/22	2108255	Halcyon	A8	EP000175	C08	AJ	6/28/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	A8	AP0094	H03	JL	
M04-0095	1.1	M04-0095	Sample	WWTP	Marion	FarmingtonWWTP-01	Pass	Processing	Complete	Composite	06/13/2022 01:40 PM	06/14/2022 01:40 PM	06/14/2022 01:30 PM		0.103	18755	SARS-CoV-2 N1	10.03867984	0	151.5503216	17881.39846	SARS-CoV-2 N2	15.05962729	0	193.5296631	26824.96112					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	7.39	6/22/22	NT04473	Halcyon		CP000172	D04	AJ	6/22/22	2108255	Halcyon	E6	EP000173	C06	AJ	6/23/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	E6	AP0093	F03	JL	
N02-0100	1.1	N02-0100	Sample	WWTP	Harrison	ClarksburgWWTP-01	Pass	Processing	Complete	Composite	06/08/2022 07:00 AM	06/09/2022 07:00 AM	06/09/2022 07:00 AM		6.77	21340	SARS-CoV-2 N1	174.8583794	2.333341092	128.2813644	311466.4882	SARS-CoV-2 N2	183.7466431	2.333341092	156.3168526	327298.708					Human RNase P	3928.184314	2.205296457	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/10/2022	6.93	6/10/22	NT04473	Halcyon		CP000166	D03	AJ	6/10/22	2108255	Halcyon	B5	EP000166	F05	AJ	6/13/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B5	AP0090	E05	JL	
S01-0052	1.1	Sample	Sample	WWTP	Brooke	FollansbeeWWTP-01	Pass	Processing	Complete	Composite	07/14/2022 06:00 AM	07/15/2022 06:00 AM	07/15/2022 06:07 AM		0.668	17900	SARS-CoV-2 N1	122.566452	0	100	218321.4927	SARS-CoV-2 N2	113.3187675	0	100	201849.0547					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	07/21/2022		7/22/22	NT04473	Halcyon		CP00193	C06	AJ	7/22/22	2108255	Kookaburra	C2	EP0194	C02	AJ	7/25/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	C2	AP0102	B10	JL	
C01-0201	1.1	C01-0201	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	06/13/2022 07:00 AM	06/14/2022 07:00 AM	06/14/2022 07:00 AM		12.421	18732	SARS-CoV-2 N1	79.2681694	0	151.5503216	141196.4267	SARS-CoV-2 N2	81.78899765	0	193.5296631	145686.6521					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/22/2022	6.91	6/22/22	NT04473	Halcyon		CP000172	B01	AJ	6/22/22	2108255	Halcyon	C7	EP000173	A07	AJ	6/23/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	C7	AP0093	G01	JL	
K01-0074	1.1	K01-0074	Sample	WWTP	Wood	ParkersburgWWTP-01	Pass	Processing	Complete	Composite	04/21/2022 06:24 AM	04/22/2022 06:47 AM	04/22/2022 06:47 AM		5.962	14097	SARS-CoV-2 N1	6.67737782	0	60.42012691	11894.07924	SARS-CoV-2 N2	5.007855892	0	51.98009491	8920.243308					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	04/27/2022	7.15	4/27/22	NT04473	Kookaburra		CP000130	D02	AJ	4/27/22	2108255	Halcyon	K4	EP000130	F04	AJ	4/28/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K4	AP0072	F04	JL	
E02-0071	1.1	E02-0071	Sample	WWTP	Mercer	AthensWWTP-01	Pass	Processing	Complete	Composite	02/21/2022 08:00 AM	02/22/2022 08:00 AM	02/22/2022 08:00 AM		0.091	15353	SARS-CoV-2 N1	316.2914085	0	403.9231873	563394.0715	SARS-CoV-2 N2	380.0630951	0	436.4203262	676987.3881					Human RNase P	21844.68761	12.26368427	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	02/25/2022	6.54	2/28/22	NT04473	Kookaburra		CP000086	D02	AJ	2/28/22	2110285	Kookaburra	L4	EP000086	C04	AJ	2/28/22	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	L4	AP0049	E06	JL	
A02-0195	1.1	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Rejected: No Flow	Complete	Composite	10/27/2021 11:38 AM	10/29/2021 11:38 AM	10/29/2021 11:38 AM	CA		11815	SARS-CoV-2 N1	7.967293859	0	1040.980072	8465.249725	SARS-CoV-2 N2	7.967293859	0	1205.935364	8465.249725	None				Human RNase P	48714.37907	45.84882736	10	Ceres Nanotrap	0.425	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05		CDC nCov-2 Triplex	0.005																																				JL	10/29/2021	7.06	11/2/21	NT04474	Kookaburra		CP0031	D02	JL	11/2/21	21108255	Kookaburra	F8	EP0031	A08	JL	11/4/21	OneStep RT-ddPCR	Manual	DQ	58477038	QX 200	F8	AP0016	A08	JL	
A02-0520	1.1	Sample	Sample	WVU Morgantown	Monongalia	OaklandE-02	Pass	Processing	Complete	Composite	08/29/2022 09:00 AM	08/31/2022 09:00 AM	08/31/2022 11:12 AM	GZ		13234	SARS-CoV-2 N1	0	1.147524342	341.9677734	0	SARS-CoV-2 N2	0	1.147524342	387.5304031	0					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	09/02/2022		9/2/22	NT04473	Kookaburra		CP000226	B01	AJ	9/2/22	2108255	Kookaburra	D7	EP000227	A07	AJ	9/7/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	D7	AP0114	G01	JL	
A03-0159	1.1	Sample	Sample	K-12	Monongalia	SuncrestES-01	Pass	Processing	Complete	Composite	01/05/2022 06:00 AM	01/05/2022 02:00 PM	01/06/2022 08:24 AM	BL		9603	SARS-CoV-2 N1	0	0	475.984993	0	SARS-CoV-2 N2	0	0	0	0					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	01/10/2022	7.35	1/19/22	NT04474	Kookaburra		CP0061	B02	AJ	1/19/22	2108255	Halcyon	B6	EP0060	D06	AJ	1/19/22	OneStep RT-ddPCR	Manual	DQ	XXXXXX	QX 200	B6	AP0036	D06	JL	
J01-0055	1.1	J01-0055	Sample	WWTP	Preston	AlpineLakeWWTP-01	Pass	Processing	Complete	Composite	05/23/2022 07:30 AM	05/24/2022 07:30 AM	05/24/2022 07:30 AM		0.113	17338	SARS-CoV-2 N1	1.357139796	0	11.75067067	2417.405262	SARS-CoV-2 N2	0	0	14.3627274	0					Human RNase P	2417.405262	1.357139796	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/25/2022	7.19	5/25/22	NT04473	Kookaburra		CP000152	C04	AJ	5/25/22	2108255	Kookaburra	K8	EP000152	E08	AJ	5/26/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	K8	AP0085	H05	JL	
E01-0129	1.1	E01-0129	Sample	WWTP	Mercer	PrincetonWWTP-01	Pass	Processing	Complete	Composite	06/22/2022 08:30 AM	06/23/2022 08:30 AM	06/23/2022 09:00 AM		1.788	21135	SARS-CoV-2 N1	327.3476028	0	96.67779922	583087.9176	SARS-CoV-2 N2	353.3263779	0	131.5792942	629362.6106					Human RNase P	0	0	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	06/30/2022	7.03	6/30/22	NT04473	Kookaburra		CP000179	B06	AJ	6/30/22	2108255	Kookaburra	B4	EP000179	B04	AJ	7/5/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	B4	AP0096	D02	JL	
A1000	1.1	Sample	Sample	WWTP	Monongalia	StarCityWWTP-01	Pass	Processing	Complete	Composite	03/07/2021 12:00 PM	03/07/2021 12:00 PM	03/07/2021 12:00 PM	EL	9.116	13784	SARS-CoV-2 N1				0	SARS-CoV-2 N2				20490					Human RNase P	40980		100	PEG Precipitation	5	0.2	Qiagen QiaAMP Viral Mini-RNA Kit	0.06	CDC N1/N2/RP Triplex	CDC nCov-2 Triplex	0.005																																				MVS	03/12/2021		3/12/21						AHT	3/15/21						AHT	3/16/21	OneStep RT-ddPCR	Manual	DQ		QX 200					
D01-0099	1.1	D01-0099	Sample	WWTP	Jefferson	CharlesTownWWTP-01	Pass	Processing	Complete	Composite	05/22/2022 07:20 AM	05/23/2022 07:20 AM	05/23/2022 07:20 AM		1.28	17764	SARS-CoV-2 N1	426.3732147	0	11.75067067	759477.2887	SARS-CoV-2 N2	312.0056152	0	14.3627274	555760.0021					Human RNase P	18879.1744	10.59883475	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	05/25/2022	6.74	5/25/22	NT04473	Halcyon		CP000151	A02	AJ	5/25/22	2108255	Kookaburra	G2	EP000152	A02	AJ	5/26/22	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	G2	AP0085	B01	JL	
C01-0262	1.1	Sample	Sample	WWTP	Ohio	WheelingWWTP-01	Pass	Processing	Complete	Composite	09/13/2022 07:00 AM	09/14/2022 07:00 AM	09/14/2022 07:00 AM		7.949	19212	SARS-CoV-2 N1	76.0557222366334	0	236.59797668457	135474.255234003	SARS-CoV-2 N2	84.6581268310546	2.47131735086442	279.654903411866	150797.288417816					Human RNase P	17455.9615552425	9.79983806610108	10	Ceres Nanotrap	0.475	0.4	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.075		CDC nCov-2 Triplex	0.005																																				AJ	09/21/2022		2022-09-26	NT04455	Halcyon		CP000243	D05	AJ	2022-09-26	2108255	Kookaburra	D7	EP000244	C07	AJ	2022-09-27	OneStep RT-ddPCR	Manual	DQ	58477041	QX 200	D7	AP0120	G03	JL	
