assay_id	extraction_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_target	assay_target_category	assay_target_genetic_locus	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_calculated_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A01-0012.a3	A01-0012.e1	AP4	G03	5	Human	Internal Control	RNase P	RNA	HEX	15896	0	31.17315769	
A01-0013.a1	A01-0013.e1	AP0.4	B01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12800	0	22.9740262	
A01-0013.a2	A01-0013.e1	AP0.4	B01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12800	0	21.20596409	
A01-0013.a3	A01-0013.e1	AP0.4	B01	5	Human	Internal Control	RNase P	RNA	HEX	12800	0	10.60049534	
A01-0014.a1	A01-0014.e1	AP5	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	9330	0	115.8988857	
A01-0014.a2	A01-0014.e1	AP5	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	9330	0	150.0674725	
A01-0014.a3	A01-0014.e1	AP5	A04	5	Human	Internal Control	RNase P	RNA	HEX	9330	0	23.82697105	
A01-0015.a1	A01-0015.e1	AP5	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10297	0	412.6255798	
A01-0015.a2	A01-0015.e1	AP5	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10297	0	169.4503784	
A01-0015.a3	A01-0015.e1	AP5	A03	5	Human	Internal Control	RNase P	RNA	HEX	10297	0	37.57871628	
A01-0016.a1	A01-0016.e1	AP0.4	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12456	0	104.9845505	
A01-0016.a2	A01-0016.e1	AP0.4	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12456	0	58.65873337	
A01-0016.a3	A01-0016.e1	AP0.4	C01	5	Human	Internal Control	RNase P	RNA	HEX	12456	0	7.101867199	
A01-0017.a1	A01-0017.e1	AP0.4	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13951	0	175.9004974	
A01-0017.a2	A01-0017.e1	AP0.4	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13951	0	189.9719429	
A01-0017.a3	A01-0017.e1	AP0.4	A03	5	Human	Internal Control	RNase P	RNA	HEX	13951	0	18.61194968	
A01-0018.a1	A01-0018.e1	AP0.4	B03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14011	0	86.23013496	
A01-0018.a2	A01-0018.e1	AP0.4	B03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14011	0	45.34046173	
A01-0018.a3	A01-0018.e1	AP0.4	B03	5	Human	Internal Control	RNase P	RNA	HEX	14011	0	65.01821995	
A01-0026.a1	A01-0026.e1	AP0.4	H03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11747	0	21.04382753	
A01-0026.a2	A01-0026.e1	AP0.4	H03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11747	0	33.67873192	
A01-0026.a3	A01-0026.e1	AP0.4	H03	5	Human	Internal Control	RNase P	RNA	HEX	11747	0	33.67873192	
A01-0027.a1	A01-0027.e1	AP7	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17102	0	71.65204525	
A01-0027.a2	A01-0027.e1	AP7	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17102	0	82.69483566	
A01-0027.a3	A01-0027.e1	AP7	A01	5	Human	Internal Control	RNase P	RNA	HEX	17102	0	45.44618607	
A01-0028.a1	A01-0028.e1	AP7	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15508	0	80.5516243	
A01-0028.a2	A01-0028.e1	AP7	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15508	0	71.41872406	
A01-0028.a3	A01-0028.e1	AP7	A02	5	Human	Internal Control	RNase P	RNA	HEX	15508	0	27.32624531	
A01-0029.a1	A01-0029.e1	AP8	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16888	0	103.3279514	
A01-0029.a2	A01-0029.e1	AP8	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16888	0	115.9258652	
A01-0029.a3	A01-0029.e1	AP8	A01	5	Human	Internal Control	RNase P	RNA	HEX	16888	0	34.85736132	
A01-0030.a1	A01-0030.e1	AP8	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16491	0	147.4215889	
A01-0030.a2	A01-0030.e1	AP8	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16491	0	180.4675293	
A01-0030.a3	A01-0030.e1	AP8	A02	5	Human	Internal Control	RNase P	RNA	HEX	16491	0	34.26821947	
A01-0031.a1	A01-0031.e1	AP7	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17045	0	64.96977329	
A01-0031.a2	A01-0031.e1	AP7	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17045	0	64.96977329	
A01-0031.a3	A01-0031.e1	AP7	A03	5	Human	Internal Control	RNase P	RNA	HEX	17045	0	24.86085176	
A01-0032.a1	A01-0032.e1	AP8	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11790	0	95.98958015	
A01-0032.a2	A01-0032.e1	AP8	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11790	0	114.0312958	
A01-0032.a3	A01-0032.e1	AP8	A03	5	Human	Internal Control	RNase P	RNA	HEX	11790	0	73.95734787	
A01-0033.a1	A01-0033.e1	AP8	C01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14498	0	112.2503185	
A01-0033.a2	A01-0033.e1	AP8	C01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14498	0	108.9891434	
A01-0033.a3	A01-0033.e1	AP8	C01	5	Human	Internal Control	RNase P	RNA	HEX	14498	0	25.98140955	
A01-0034.a1	A01-0034.e1	AP8	C02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13383	0	109.2589951	
A01-0034.a2	A01-0034.e1	AP8	C02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13383	0	75.72245121	
A01-0034.a3	A01-0034.e1	AP8	C02	5	Human	Internal Control	RNase P	RNA	HEX	13383	0	26.38714075	
A01-0035.a1	A01-0035.e1	AP8	C03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14278	0	127.2354507	
A01-0035.a2	A01-0035.e1	AP8	C03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14278	0	109.0167713	
A01-0035.a3	A01-0035.e1	AP8	C03	5	Human	Internal Control	RNase P	RNA	HEX	14278	0	67.66309261	
A01-0036.a1	A01-0036.e1	AP0.5	A04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	14143	0	67.89940834	
A01-0036.a2	A01-0036.e1	AP0.5	A04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	14143	0	36.18608713	
A01-0036.a3	A01-0036.e1	AP0.5	A04	5	Human	Internal Control	RNase P	RNA	HEX	14143	0	54.30220604	
A01-0037.a1	A01-0037.e1	AP11	C04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17645	0	231.0940933	
A01-0037.a2	A01-0037.e1	AP11	C04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17645	0	238.3429718	
A01-0037.a3	A01-0037.e1	AP11	C04	5	Human	Internal Control	RNase P	RNA	HEX	17645	0	8.995605707	
A01-0038.a1	A01-0038.e1	AP8	E07	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12980	0	83.53430748	
A01-0038.a2	A01-0038.e1	AP8	E07	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12980	0	68.98528576	
A01-0038.a3	A01-0038.e1	AP8	E07	5	Human	Internal Control	RNase P	RNA	HEX	12980	0	12.69262791	
A01-0039.a1	A01-0039.e1	AP8	E08	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	12570	0	186.0487938	
A01-0039.a2	A01-0039.e1	AP8	E08	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	12570	0	186.0487938	
A01-0039.a3	A01-0039.e1	AP8	E08	5	Human	Internal Control	RNase P	RNA	HEX	12570	0	61.85295105	
A01-0040.a1	A01-0040.e1	AP10	A01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11781	0	366.33358	
A01-0040.a2	A01-0040.e1	AP10	A01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11781	0	184.4667053	
A01-0040.a3	A01-0040.e1	AP10	A01	5	Human	Internal Control	RNase P	RNA	HEX	11781	0	3.994806707	
A01-0041.a1	A01-0041.e1	AP10	A02	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	13981	0	104.5753288	
A01-0041.a2	A01-0041.e1	AP10	A02	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	13981	0	55.60320377	
A01-0041.a3	A01-0041.e1	AP10	A02	5	Human	Internal Control	RNase P	RNA	HEX	13981	0	21.88860893	
A01-0042.a1	A01-0042.e1	AP10	A03	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10961	0	124.8361778	
A01-0042.a2	A01-0042.e1	AP10	A03	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10961	0	1628.575592	
A01-0042.a3	A01-0042.e1	AP10	A03	5	Human	Internal Control	RNase P	RNA	HEX	10961	0	34.37146425	
A01-0043.a1	A01-0043.e1	AP11	E04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11800	0	193.7828636	
A01-0043.a2	A01-0043.e1	AP11	E04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11800	0	38.65125895	
A01-0043.a3	A01-0043.e1	AP11	E04	5	Human	Internal Control	RNase P	RNA	HEX	11800	0	26.56710386	
A01-0044.a1	A01-0044.e1	AP10	A05	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10597	0	60.02687931	
A01-0044.a2	A01-0044.e1	AP10	A05	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10597	0	91.21232033	
A01-0044.a3	A01-0044.e1	AP10	A05	5	Human	Internal Control	RNase P	RNA	HEX	10597	0	24.43691254	
A01-0045.a1	A01-0045.e1	AP11	H01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15418	0	1011.184082	
A01-0045.a2	A01-0045.e1	AP11	H01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15418	0	1037.693405	
A01-0045.a3	A01-0045.e1	AP11	H01	5	Human	Internal Control	RNase P	RNA	HEX	15418	0	32.14008331	
A01-0046.a1	A01-0046.e1	AP0.5	B04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	16779	0	80.69766045	
A01-0046.a2	A01-0046.e1	AP0.5	B04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	16779	0	72.10204124	
A01-0046.a3	A01-0046.e1	AP0.5	B04	5	Human	Internal Control	RNase P	RNA	HEX	16779	0	27.44614124	
A01-0047.a1	A01-0047.e1	AP11	F04	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	17426	0	175.8860588	
A01-0047.a2	A01-0047.e1	AP11	F04	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	17426	0	75.79081535	
A01-0047.a3	A01-0047.e1	AP11	F04	5	Human	Internal Control	RNase P	RNA	HEX	17426	0	20.31660318	
A01-0048.a1	A01-0048.e1	AP11	E01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11184	0	274.1031837	
A01-0048.a2	A01-0048.e1	AP11	E01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11184	0	136.6448021	
A01-0048.a3	A01-0048.e1	AP11	E01	5	Human	Internal Control	RNase P	RNA	HEX	11184	0	12.38888741	
A01-0049.a1	A01-0049.e1	AP11	F01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	11160	0	473.8983154	
A01-0049.a2	A01-0049.e1	AP11	F01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	11160	0	374.8567581	
A01-0049.a3	A01-0049.e1	AP11	F01	5	Human	Internal Control	RNase P	RNA	HEX	11160	0	10.81523061	
A01-0050.a1	A01-0050.e1	AP11	G01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	10558	0	48.58279228	
A01-0050.a2	A01-0050.e1	AP11	G01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	10558	0	53.00443649	
A01-0050.a3	A01-0050.e1	AP11	G01	5	Human	Internal Control	RNase P	RNA	HEX	10558	0	19.86253142	
A01-0051.a1	A01-0051.e1	AP12	F01	5	SARS-CoV-2	Pathogen	N1	RNA	FAM	15165	0	322.0767975	
A01-0051.a2	A01-0051.e1	AP12	F01	5	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	15165	0	352.9288101	
