Asset Tag ID,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample QC Check,Sample Flow (MGD),Event Type,Site,Location,Category,Department
A04-0556,Composite,,08/12/2024 08:00 AM,08/11/2024 08:00 AM,08/12/2024 08:00 AM,AJ,08/13/2024,,,Pass,0.633,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0966,Composite,,08/13/2024 12:00 AM,08/12/2024 12:00 AM,08/13/2024 12:00 AM,AJ,08/20/2024,,,Pass,6.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0967,Composite,,08/14/2024 12:00 AM,08/13/2024 12:00 AM,08/14/2024 12:00 AM,AJ,08/20/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0968,Composite,,08/15/2024 12:00 AM,08/14/2024 12:00 AM,08/15/2024 12:00 AM,AJ,08/20/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0969,Composite,,08/17/2024 12:00 AM,08/16/2024 12:00 AM,08/17/2024 12:00 AM,AJ,08/20/2024,,,Pass,7.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0970,Composite,,08/18/2024 12:00 AM,08/17/2024 12:00 AM,08/18/2024 12:00 AM,AJ,08/20/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0557,Composite,,08/19/2024 08:00 AM,08/18/2024 08:00 AM,08/19/2024 08:00 AM,AJ,08/20/2024,,,Pass,0.618,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0972,Composite,,08/20/2024 12:00 AM,08/19/2024 12:00 AM,08/20/2024 12:00 AM,AJ,08/21/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0971,Composite,,08/19/2024 12:00 AM,08/18/2024 12:00 AM,08/19/2024 12:00 AM,AJ,08/21/2024,,,Pass,7.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0975,Composite,,08/24/2024 12:00 AM,08/23/2024 12:00 AM,08/24/2024 12:00 AM,AJ,08/27/2024,,,Pass,6.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0976,Composite,,08/25/2024 12:00 AM,08/24/2024 12:00 AM,08/25/2024 12:00 AM,AJ,08/27/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0977,Composite,,08/26/2024 12:00 AM,08/25/2024 12:00 AM,08/26/2024 12:00 AM,AJ,08/27/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0562,Composite,,08/26/2024 08:00 AM,08/25/2024 08:00 AM,08/26/2024 08:00 AM,AJ,08/27/2024,,,Pass,0.549,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0978,Composite,,08/27/2024 12:00 AM,08/26/2024 12:00 AM,08/27/2024 12:00 AM,AJ,09/04/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0979,Composite,,08/28/2024 12:00 AM,08/27/2024 12:00 AM,08/28/2024 12:00 AM,AJ,09/04/2024,,,Pass,8.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0980,Composite,,08/29/2024 12:00 AM,08/28/2024 12:00 AM,08/29/2024 12:00 AM,AJ,09/04/2024,,,Pass,7.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0981,Composite,,09/01/2024 12:00 AM,08/31/2024 12:00 AM,09/01/2024 12:00 AM,AJ,09/04/2024,,,Pass,9.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0982,Composite,,09/02/2024 12:00 AM,09/01/2024 12:00 AM,09/02/2024 12:00 AM,AJ,09/04/2024,,,Pass,8.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0983,Composite,,09/03/2024 12:00 AM,09/02/2024 12:00 AM,09/03/2024 12:00 AM,AJ,09/04/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0561,Composite,,09/02/2024 12:00 AM,09/01/2024 08:00 AM,09/02/2024 08:00 AM,AJ,09/04/2024,,,Pass,0.581,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0984,Composite,,09/04/2024 12:00 AM,09/03/2024 12:00 AM,09/04/2024 12:00 AM,AJ,09/09/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0985,Composite,,09/05/2024 12:00 AM,09/04/2024 12:00 AM,09/05/2024 12:00 AM,AJ,09/09/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0986,Composite,,09/07/2024 12:00 AM,09/06/2024 12:00 AM,09/07/2024 12:00 AM,AJ,09/11/2024,,,Pass,8.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0987,Composite,,09/08/2024 12:00 AM,09/07/2024 12:00 AM,09/08/2024 12:00 AM,AJ,09/11/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0559,Composite,,09/09/2024 08:00 AM,09/08/2024 08:00 AM,09/09/2024 08:00 AM,AJ,09/11/2024,,,Pass,0.614,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1040,Composite,,09/09/2024 12:00 AM,09/08/2024 12:00 AM,09/09/2024 12:00 AM,AJ,09/19/2024,,,Pass,7.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1041,Composite,,09/10/2024 12:00 AM,09/09/2024 12:00 AM,09/10/2024 12:00 AM,AJ,09/19/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1042,Composite,,09/11/2024 12:00 AM,09/10/2024 12:00 AM,09/11/2024 12:00 AM,AJ,09/19/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1043,Composite,,09/12/2024 12:00 AM,09/11/2024 12:00 AM,09/12/2024 12:00 AM,AJ,09/19/2024,,,Pass,7.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1044,Composite,,09/14/2024 12:00 AM,09/13/2024 12:00 AM,09/14/2024 12:00 AM,AJ,09/19/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1045,Composite,,09/15/2024 12:00 AM,09/14/2024 12:00 AM,09/15/2024 12:00 AM,AJ,09/19/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1046,Composite,,09/16/2024 12:00 AM,09/15/2024 12:00 AM,09/16/2024 12:00 AM,AJ,09/19/2024,,,Pass,6.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0571,Composite,,09/16/2024 08:00 AM,09/15/2024 08:00 AM,09/16/2024 08:00 AM,AJ,09/19/2024,,,Pass,0.556,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A04-0558,Composite,,09/23/2024 08:00 AM,09/22/2024 08:00 AM,09/23/2024 08:00 AM,AJ,09/25/2024,,,Pass,0.580,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1047,Composite,,09/17/2024 12:00 AM,09/16/2024 12:00 AM,09/17/2024 12:00 AM,AJ,09/25/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1050,Composite,,09/23/2024 12:00 AM,09/22/2024 12:00 AM,09/23/2024 12:00 AM,AJ,09/25/2024,,,Pass,8.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1049,Composite,,09/19/2024 12:00 AM,09/18/2024 12:00 AM,09/19/2024 12:00 AM,AJ,09/25/2024,,,Pass,7.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1051,Composite,,09/23/2024 12:00 AM,09/22/2024 12:00 AM,09/23/2024 12:00 AM,AJ,09/25/2024,,,Pass,9.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1048,Composite,,09/18/2024 12:00 AM,09/17/2024 12:00 AM,09/18/2024 12:00 AM,AJ,09/25/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1052,Composite,,09/24/2024 12:00 AM,09/23/2024 12:00 AM,09/24/2024 12:00 AM,AJ,09/26/2024,,,Pass,8.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1053,Composite,,09/25/2024 12:00 AM,09/24/2024 12:00 AM,09/25/2024 12:00 AM,AJ,09/26/2024,,,Pass,8.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0564,Composite,,09/30/2024 08:00 AM,09/29/2024 08:00 AM,09/30/2024 08:00 AM,AJ,10/02/2024,,,Pass,0.552,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1057,Composite,,09/30/2024 12:00 AM,09/29/2024 12:00 AM,09/30/2024 12:00 AM,AJ,10/02/2024,,,Pass,13.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1056,Composite,,09/29/2024 12:00 AM,09/28/2024 12:00 AM,09/29/2024 12:00 AM,AJ,10/02/2024,,,Pass,8.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1055,Composite,,09/28/2024 12:00 AM,09/27/2024 12:00 AM,09/28/2024 12:00 AM,AJ,10/02/2024,,,Pass,7.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1054,Composite,,09/26/2024 12:00 AM,09/25/2024 12:00 AM,09/26/2024 12:00 AM,AJ,10/02/2024,,,Pass,8.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1058,Composite,,10/01/2024 12:00 AM,09/30/2024 12:00 AM,10/01/2024 12:00 AM,AJ,10/08/2024,,,Pass,10.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1059,Composite,,10/02/2024 12:00 AM,10/01/2024 12:00 AM,10/02/2024 12:00 AM,AJ,10/08/2024,,,Pass,9.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1060,Composite,,10/03/2024 12:00 AM,10/02/2024 12:00 AM,10/03/2024 12:00 AM,AJ,10/08/2024,,,Pass,8.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1062,Composite,,10/06/2024 12:00 AM,10/05/2024 12:00 AM,10/06/2024 12:00 AM,AJ,10/10/2024,,,Pass,7.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1064,Composite,,10/08/2024 12:00 AM,10/07/2024 12:00 AM,10/08/2024 12:00 AM,AJ,10/10/2024,,,Pass,7.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1061,Composite,,10/05/2024 12:00 AM,10/04/2024 12:00 AM,10/05/2024 12:00 AM,AJ,10/10/2024,,,Pass,7.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1063,Composite,,10/07/2024 12:00 AM,10/06/2024 12:00 AM,10/07/2024 12:00 AM,AJ,10/10/2024,,,Pass,10.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0570,Composite,,10/07/2024 08:00 AM,10/06/2024 08:00 AM,10/07/2024 08:00 AM,AJ,10/10/2024,,,Pass,0.606,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A04-0566,Composite,,10/14/2024 08:00 AM,10/13/2024 08:00 AM,10/14/2024 08:00 AM,AJ,10/16/2024,,,Pass,0.562,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1068,Composite,,10/13/2024 12:00 AM,10/12/2024 12:00 AM,10/13/2024 12:00 AM,AJ,10/16/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1067,Composite,,10/12/2024 12:00 AM,10/11/2024 12:00 AM,10/12/2024 12:00 AM,AJ,10/16/2024,,,Pass,6.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1069,Composite,,10/14/2024 12:00 AM,10/13/2024 12:00 AM,10/14/2024 12:00 AM,AJ,10/16/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1066,Composite,,10/10/2024 12:00 AM,10/09/2024 12:00 AM,10/10/2024 12:00 AM,AJ,10/16/2024,,,Pass,7.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1065,Composite,,10/09/2024 12:00 AM,10/08/2024 12:00 AM,10/09/2024 12:00 AM,AJ,10/16/2024,,,Pass,7.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1070,Composite,,10/15/2024 12:00 AM,10/14/2024 12:00 AM,10/15/2024 12:00 AM,AJ,10/21/2024,,,Pass,8.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1071,Composite,,10/16/2024 12:00 AM,10/15/2024 12:00 AM,10/16/2024 12:00 AM,AJ,10/21/2024,,,Pass,8.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1072,Composite,,10/17/2024 12:00 AM,10/16/2024 12:00 AM,10/17/2024 12:00 AM,AJ,10/21/2024,,,Pass,8.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0560,Composite,,10/21/2024 08:00 AM,10/20/2024 08:00 AM,10/21/2024 08:00 AM,AJ,10/23/2024,,,Pass,0.593,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1073,Composite,,10/20/2024 12:00 AM,10/19/2024 12:00 AM,10/20/2024 12:00 AM,AJ,10/23/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1075,Composite,,10/21/2024 12:00 AM,10/20/2024 12:00 AM,10/21/2024 12:00 AM,AJ,10/23/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1080,Composite,,10/28/2024 12:00 AM,10/27/2024 12:00 AM,10/28/2024 12:00 AM,AJ,10/30/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0601,Composite,,10/28/2024 08:00 AM,10/27/2024 08:00 AM,10/28/2024 08:00 AM,AJ,10/30/2024,,,Pass,0.542,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1079,Composite,,10/27/2024 12:00 AM,10/26/2024 12:00 AM,10/27/2024 12:00 AM,AJ,10/30/2024,,,Pass,7.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1074,Composite,,10/22/2024 12:00 AM,10/21/2024 12:00 AM,10/22/2024 12:00 AM,AJ,10/30/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1076,Composite,,10/23/2024 12:00 AM,10/22/2024 12:00 AM,10/23/2024 12:00 AM,AJ,10/30/2024,,,Pass,6.9,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1077,Composite,,10/24/2024 12:00 AM,10/23/2024 12:00 AM,10/24/2024 12:00 AM,AJ,10/30/2024,,,Pass,8.0,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1078,Composite,,10/26/2024 12:00 AM,10/25/2024 12:00 AM,10/26/2024 12:00 AM,AJ,10/30/2024,,,Pass,7.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1081,Composite,,11/29/2024 12:00 AM,10/28/2024 12:00 AM,10/29/2024 12:00 AM,AJ,11/07/2024,,,Pass,6.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1082,Composite,,10/30/2024 12:00 AM,10/29/2024 12:00 AM,10/30/2024 12:00 AM,AJ,11/07/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1083,Composite,,10/31/2024 12:00 AM,10/30/2024 12:00 AM,10/31/2024 12:00 AM,AJ,11/07/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1084,Composite,,11/02/2024 12:00 AM,11/01/2024 12:00 AM,11/02/2024 12:00 AM,AJ,11/07/2024,,,Pass,6.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1085,Composite,,11/03/2024 12:00 AM,11/02/2024 12:00 AM,11/03/2024 12:00 AM,AJ,11/07/2024,,,Pass,6.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0603,Composite,,11/04/2024 08:00 AM,11/03/2024 08:00 AM,11/04/2024 08:00 AM,AJ,11/07/2024,,,Pass,0.542,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1090,Composite,,11/10/2024 12:00 AM,11/09/2024 12:00 AM,11/10/2024 12:00 AM,AJ,11/14/2024,,,Pass,10.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1091,Composite,,11/09/2024 12:00 AM,11/08/2024 12:00 AM,11/09/2024 12:00 AM,AJ,11/14/2024,,,Pass,6.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0602,Composite,,11/11/2024 08:00 AM,11/10/2024 08:00 AM,11/11/2024 08:00 AM,AJ,11/14/2024,,,Pass,0.767,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1087,Composite,,11/05/2024 12:00 AM,11/04/2024 12:00 AM,11/05/2024 12:00 AM,AJ,11/14/2024,,,Pass,6.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1086,Composite,,11/04/2024 12:00 AM,11/03/2024 12:00 AM,11/04/2024 12:00 AM,AJ,11/14/2024,,,Pass,6.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1089,Composite,,11/07/2024 12:00 AM,11/06/2024 12:00 AM,11/07/2024 12:00 AM,AJ,11/14/2024,,,Pass,7.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1088,Composite,,11/06/2024 12:00 AM,11/05/2024 12:00 AM,11/06/2024 12:00 AM,AJ,11/14/2024,,,Pass,6.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1095,Composite,,11/14/2024 12:00 AM,11/13/2024 12:00 AM,11/14/2024 12:00 AM,AJ,11/20/2024,,,Pass,9.4,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1098,Composite,,11/18/2024 12:00 AM,11/17/2024 12:00 AM,11/18/2024 12:00 AM,AJ,11/20/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1093,Composite,,11/12/2024 12:00 AM,11/11/2024 12:00 AM,11/12/2024 12:00 AM,AJ,11/20/2024,,,Pass,7.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1094,Composite,,11/13/2024 12:00 AM,11/12/2024 12:00 AM,11/13/2024 12:00 AM,AJ,11/20/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1097,Composite,,11/16/2024 12:00 AM,11/15/2024 12:00 AM,11/16/2024 12:00 AM,AJ,11/20/2024,,,Pass,7.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1092,Composite,,11/11/2024 12:00 AM,11/10/2024 12:00 AM,11/11/2024 12:00 AM,AJ,11/20/2024,,,Pass,11.1,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1096,Composite,,11/17/2024 12:00 AM,11/16/2024 12:00 AM,11/17/2024 12:00 AM,AJ,11/20/2024,,,Pass,7.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0605,Composite,,11/18/2024 08:00 AM,11/17/2024 08:00 AM,11/18/2024 08:00 AM,AJ,11/20/2024,,,Pass,0.566,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1099,Composite,,11/19/2024 12:00 AM,11/18/2024 12:00 AM,11/19/2024 12:00 AM,AJ,12/02/2024,,,Pass,7.6,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1100,Composite,,11/20/2024 12:00 AM,11/19/2024 12:00 AM,11/20/2024 12:00 AM,AJ,12/02/2024,,,Pass,9.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1101,Composite,,11/21/2024 12:00 AM,11/20/2024 12:00 AM,11/21/2024 12:00 AM,AJ,12/02/2024,,,Pass,10.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1102,Composite,,11/23/2024 12:00 AM,11/22/2024 12:00 AM,11/23/2024 12:00 AM,AJ,12/02/2024,,,Pass,14.3,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1103,Composite,,11/24/2024 12:00 AM,11/23/2024 12:00 AM,11/24/2024 12:00 AM,AJ,12/02/2024,,,Pass,8.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0604,Composite,,11/25/2024 08:00 AM,11/24/2024 08:00 AM,11/25/2024 08:00 AM,AJ,12/02/2024,,,Pass,0.687,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1104,Composite,,11/25/2024 12:00 AM,11/24/2024 12:00 AM,11/25/2024 12:00 AM,AJ,12/05/2024,,,Pass,7.5,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0637,Composite,,12/02/2024 08:00 AM,12/01/2024 08:00 AM,12/02/2024 08:00 AM,AJ,12/05/2024,,,Pass,0.660,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-1110,Composite,,12/02/2024 12:00 AM,12/01/2024 12:00 AM,12/02/2024 12:00 AM,AJ,12/05/2024,,,Pass,8.2,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1109,Composite,,12/03/2024 12:00 AM,12/02/2024 12:00 AM,12/03/2024 12:00 AM,AJ,12/05/2024,,,Pass,7.8,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-1107,Composite,,11/28/2024 12:00 AM,11/27/2024 12:00 AM,11/28/2024 12:00 AM,AJ,12/05/2024,,,Pass,15.7,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
