assay_amplification_method	assay_amplification_method_lot_id	assay_batch_comment	assay_batch_id	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_qx_manager_version	assay_reaction_ul	assay_run_by
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP103	1.0.0	07/28/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP104	1.0.0	08/01/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP105	1.0.0	08/04/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP106	1.0.0	08/10/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP107	1.0.0	08/11/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP108	1.0.0	08/17/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP109	1.0.0	08/18/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037		AP11	1.0.0	10/05/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP110	1.0.0	08/23/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP111	1.0.0	08/25/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP112	1.0.0	08/30/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP113	1.0.0	09/01/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP114	1.0.0	09/07/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP115	1.0.0	09/08/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP116	1.0.0	09/14/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP117	1.0.0	09/15/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP118	1.0.0	09/20/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP119	1.0.0	09/22/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477037		AP12	1.0.0	10/11/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP120	1.0.0	09/27/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP121	1.0.0	09/29/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP122	1.0.0	10/04/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP123	1.0.0	10/06/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP124	1.0.0	10/17/2022	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP125	1.0.0	10/13/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP127	1.0.0	10/18/2022	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP128	1.0.0	10/20/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP129	1.0.0	10/25/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP13	1.0.0	10/14/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP130	1.0.0	10/31/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP131	1.0.0	11/04/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP132	1.0.0	11/10/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP133	1.0.0	11/15/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837		AP134	1.0.0	11/21/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837		AP135	1.0.0	11/29/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63089746		AP136	1.0.0	12/02/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	6310837		AP137	1.0.0	12/07/2022	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP139	1.0.0	12/13/2022	Zoo QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP14	1.0.0	10/20/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP142	1.0.0	12/16/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP143	1.0.0	12/20/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP146	1.0.0	12/29/2022	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP149	1.0.0	01/06/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP15	1.0.0	11/01/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP150	1.0.0	01/10/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP153	1.0.0	01/12/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP156	1.0.0	01/19/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP157	1.0.0	01/20/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP158	1.0.0	01/26/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP159	1.0.0	01/27/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP16	1.0.0	11/04/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP162	1.0.0	02/01/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP165	1.0.0	02/02/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP167	1.0.0	02/07/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP17	1.0.0	11/08/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP171	1.0.0	02/10/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP172	1.0.0	02/13/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP175	1.0.0	02/17/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP176	1.0.0	02/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP178	1.0.0	02/24/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP179	1.0.0	02/28/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP180	1.0.0	03/03/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP184	1.0.0	03/06/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP187	1.0.0	03/10/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP19	1.0.0	11/17/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP190	1.0.0	03/15/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP191	1.0.0	03/17/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP195	1.0.0	03/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP198	1.0.0	03/24/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP20	1.0.0	11/18/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP201	1.0.0	03/28/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP202	1.0.0	03/31/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP206	1.0.0	04/03/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101837		AP209	1.0.0	04/07/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP21	1.0.0	11/22/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP210	1.0.0	04/11/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP213	1.0.0	04/14/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP214	1.0.0	04/18/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP216	1.0.0	04/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP217	1.0.0	04/25/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP218	1.0.0	04/28/2023	QX 600	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP219	1.0.0	05/02/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP22	1.0.0	11/29/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP220	1.0.0	05/09/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP221	1.0.0	05/09/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP222	1.0.0	05/12/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP223	1.0.0	05/16/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP224	1.0.0	05/19/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP225	1.0.0	05/26/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP226	1.0.0	06/02/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP227	1.0.0	06/09/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP228	1.0.0	06/16/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP229	1.0.0	06/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP23	1.0.0	12/03/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP230	1.0.0	06/26/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP231	1.0.0	07/03/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP235	1.0.0	07/06/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP236	1.0.0	07/13/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP237	1.0.0	07/13/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP238	1.0.0	07/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP24	1.0.0	12/06/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP240	1.0.0	07/28/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP241	1.0.0	07/28/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP242	1.0.0	08/03/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP244	1.0.0	08/14/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP245	1.0.0	08/21/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP246	1.0.0	08/25/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP247	1.0.0	08/25/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP248	1.0.0	09/01/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP25	1.0.0	12/09/2021	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63094496,63089746		AP250	1.0.0	09/08/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes			AP251	1.0.0	09/14/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	AJ
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	63101839		AP252	1.0.0	09/15/2023	Zoo QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	2	20	AJ
