assay_id	extraction_id	assay_template	assay_type	assay_target_macromolecule	assay_target_fluorophore	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment	sample_id	assay_batch_id	assay_location_in_batch	assay_accepted_droplets	assay_target	assay_target_genetic_locus	assay_input_ul	assay_class
A0035.a3	A0035.e1	sample	sample	RNA	HEX	0	0	49430.4	A0035	MA3		16284	Human	RNase P	5	unknown
A0036.a1	A0036.e1	sample	sample	RNA	FAM	0	0	14670	A0036	MA3		14442	SARS-CoV-2	N1:SARS	5	unknown
A0036.a2	A0036.e1	sample	sample	RNA	FAM/HEX	0	0	19560	A0036	MA3		14442	SARS-CoV-2	N2:SARS	5	unknown
A0036.a3	A0036.e1	sample	sample	RNA	HEX	0	0	44010	A0036	MA3		14442	Human	RNase P	5	unknown
A0037.a1	A0037.e1	sample	sample	RNA	FAM	0	0	85800	A0037	MA3		13832	SARS-CoV-2	N1:SARS	5	unknown
A0037.a2	A0037.e1	sample	sample	RNA	FAM/HEX	0	0	85800	A0037	MA3		13832	SARS-CoV-2	N2:SARS	5	unknown
A0037.a3	A0037.e1	sample	sample	RNA	HEX	0	0	98064	A0037	MA3		13832	Human	RNase P	5	unknown
A0038.a1	A0038.e1	sample	sample	RNA	FAM	0	0	100764	A0038	MA4		13631	SARS-CoV-2	N1:SARS	5	unknown
A0038.a2	A0038.e1	sample	sample	RNA	FAM/HEX	0	0	74628	A0038	MA4		13631	SARS-CoV-2	N2:SARS	5	unknown
A0038.a3	A0038.e1	sample	sample	RNA	HEX	0	0	59680.8	A0038	MA4		13631	Human	RNase P	5	unknown
A0039.a1	A0039.e1	sample	sample	RNA	FAM	0	0	108552	A0039	MA4		13018	SARS-CoV-2	N1:SARS	5	unknown
A0039.a2	A0039.e1	sample	sample	RNA	FAM/HEX	0	0	99864	A0039	MA4		13018	SARS-CoV-2	N2:SARS	5	unknown
A0039.a3	A0039.e1	sample	sample	RNA	HEX	0	0	52080	A0039	MA4		13018	Human	RNase P	5	unknown
A0040.a1	A0040.e1	sample	sample	RNA	FAM	0	0	81396	A0040	MA4		11665	SARS-CoV-2	N1:SARS	5	unknown
A0040.a2	A0040.e1	sample	sample	RNA	FAM/HEX	0	0	81396	A0040	MA4		11665	SARS-CoV-2	N2:SARS	5	unknown
A0040.a3	A0040.e1	sample	sample	RNA	HEX	0	0	15246	A0040	MA4		11665	Human	RNase P	5	unknown
A0041.a1	A0041.e1	sample	sample	RNA	FAM	0	0	73416	A0041	MA4		11546	SARS-CoV-2	N1:SARS	5	unknown
A0041.a2	A0041.e1	sample	sample	RNA	FAM/HEX	0	0	83208	A0041	MA4		11546	SARS-CoV-2	N2:SARS	5	unknown
A0041.a3	A0041.e1	sample	sample	RNA	HEX	0	0	34248	A0041	MA4		11546	Human	RNase P	5	unknown
A0042.a1	A0042.e1	sample	sample	RNA	FAM	0	0	84394.8	A0042	MA4		15469	SARS-CoV-2	N1:SARS	5	unknown
A0042.a2	A0042.e1	sample	sample	RNA	FAM/HEX	0	0	84394.8	A0042	MA4		15469	SARS-CoV-2	N2:SARS	5	unknown
A0042.a3	A0042.e1	sample	sample	RNA	HEX	0	0	42184.8	A0042	MA4		15469	Human	RNase P	5	unknown
A0043.a1	A0043.e1	sample	sample	RNA	FAM	0	0	60100.8	A0043	MA4		13397	SARS-CoV-2	N1:SARS	5	unknown
A0043.a2	A0043.e1	sample	sample	RNA	FAM/HEX	0	0	44072.4	A0043	MA4		13397	SARS-CoV-2	N2:SARS	5	unknown
A0043.a3	A0043.e1	sample	sample	RNA	HEX	0	0	20018.4	A0043	MA4		13397	Human	RNase P	5	unknown
A0044.a1	A0044.e1	sample	sample	RNA	FAM	0	0	55059.6	A0044	MA4		13954	SARS-CoV-2	N1:SARS	5	unknown
A0044.a2	A0044.e1	sample	sample	RNA	FAM/HEX	0	0	79172.4	A0044	MA4		13954	SARS-CoV-2	N2:SARS	5	unknown
A0044.a3	A0044.e1	sample	sample	RNA	HEX	0	0	34414.8	A0044	MA4		13954	Human	RNase P	5	unknown
A0045.a1	A0045.e1	sample	sample	RNA	FAM	0	0	21336	A0045	MA4		18529	SARS-CoV-2	N1:SARS	5	unknown
A0045.a2	A0045.e1	sample	sample	RNA	FAM/HEX	0	0	10668	A0045	MA4		18529	SARS-CoV-2	N2:SARS	5	unknown
A0045.a3	A0045.e1	sample	sample	RNA	HEX	0	0	5334	A0045	MA4		18529	Human	RNase P	5	unknown
A0046.a1	A0046.e1	sample	sample	RNA	FAM	0	0	67140	A0046	MA4		18937	SARS-CoV-2	N1:SARS	5	unknown
A0046.a2	A0046.e1	sample	sample	RNA	FAM/HEX	0	0	22410	A0046	MA4		18937	SARS-CoV-2	N2:SARS	5	unknown
A0046.a3	A0046.e1	sample	sample	RNA	HEX	0	0	22410	A0046	MA4		18937	Human	RNase P	5	unknown
A0047.a1	A0047.e1	sample	sample	RNA	FAM	0	0	53163	A0047	MA4		17534	SARS-CoV-2	N1:SARS	5	unknown
A0047.a2	A0047.e1	sample	sample	RNA	FAM/HEX	0	0	79761	A0047	MA4		17534	SARS-CoV-2	N2:SARS	5	unknown
A0047.a3	A0047.e1	sample	sample	RNA	HEX	0	0	8844	A0047	MA4		17534	Human	RNase P	5	unknown
A0048.a1	A0048.e1	sample	sample	RNA	FAM	0	0	35424	A0048	MA4		16737	SARS-CoV-2	N1:SARS	5	unknown
A0048.a2	A0048.e1	sample	sample	RNA	FAM/HEX	0	0	50616	A0048	MA4		16737	SARS-CoV-2	N2:SARS	5	unknown
A0048.a3	A0048.e1	sample	sample	RNA	HEX	0	0	10116	A0048	MA4		16737	Human	RNase P	5	unknown
A0049.a1	A0049.e1	sample	sample	RNA	FAM	0	0	60192	A0049	MA4		16890	SARS-CoV-2	N1:SARS	5	unknown
A0049.a2	A0049.e1	sample	sample	RNA	FAM/HEX	0	0	33456	A0049	MA4		16890	SARS-CoV-2	N2:SARS	5	unknown
A0049.a3	A0049.e1	sample	sample	RNA	HEX	0	0	26736	A0049	MA4		16890	Human	RNase P	5	unknown
A0050.a1	A0050.e1	sample	sample	RNA	FAM	0	0	33642	A0050	MA4		14694	SARS-CoV-2	N1:SARS	5	unknown
A0050.a2	A0050.e1	sample	sample	RNA	FAM/HEX	0	0	33642	A0050	MA4		14694	SARS-CoV-2	N2:SARS	5	unknown
A0050.a3	A0050.e1	sample	sample	RNA	HEX	0	0		A0050	MA4		14694	Human	RNase P	5	unknown
A01-0001.a1	A01-0001.e1	sample	sample	RNA	FAM	0	0.42294094		A01-0001	AP0	A03	19475	SARS-CoV-2	N1:SARS	5	unknown
A01-0001.a2	A01-0001.e1	sample	sample	RNA	FAM/HEX	0	0.483373463		A01-0001	AP0	A03	19475	SARS-CoV-2	N2:SARS	5	unknown
A01-0001.a3	A01-0001.e1	sample	sample	RNA	HEX	0	27.44132614		A01-0001	AP0	A03	19475	Bovine Respiratory Syncitial Virus (BRSV)	BRSV	5	unknown
A01-0002.a1	A01-0002.e1	sample	sample	RNA	FAM	0	1.693558336		A01-0002	AP0.1	A01	15989	SARS-CoV-2	N1:SARS	5	unknown
A01-0002.a2	A01-0002.e1	sample	sample	RNA	FAM/HEX	0	1.914637089		A01-0002	AP0.1	A01	15989	SARS-CoV-2	N2:SARS	5	unknown
A01-0002.a3	A01-0002.e1	sample	sample	RNA	HEX	0	1.472521067		A01-0002	AP0.1	A01	15989	Human	RNase P	5	unknown
A01-0003.a1	A01-0003.e1	sample	sample	RNA	FAM	0	1.18991673		A01-0003	AP0.1	A02	19784	SARS-CoV-2	N1:SARS	5	unknown
A01-0003.a2	A01-0003.e1	sample	sample	RNA	FAM/HEX	0	1.547126651		A01-0003	AP0.1	A02	19784	SARS-CoV-2	N2:SARS	5	unknown
A01-0003.a3	A01-0003.e1	sample	sample	RNA	HEX	0	1.606672049		A01-0003	AP0.1	A02	19784	Human	RNase P	5	unknown
A01-0004.a1	A01-0004.e1	sample	sample	RNA	FAM	0	3.161083222		A01-0004	AP0.1	A03	18261	SARS-CoV-2	N1:SARS	5	unknown
A01-0004.a2	A01-0004.e1	sample	sample	RNA	FAM/HEX	0	3.225683689		A01-0004	AP0.1	A03	18261	SARS-CoV-2	N2:SARS	5	unknown
A01-0004.a3	A01-0004.e1	sample	sample	RNA	HEX	0	1.031256795		A01-0004	AP0.1	A03	18261	Human	RNase P	5	unknown
A01-0005.a1	A01-0005.e1	sample	sample	RNA	FAM	0	10.5018034		A01-0005	AP0.2	A05	14966	SARS-CoV-2	N1:SARS	5	unknown
A01-0005.a2	A01-0005.e1	sample	sample	RNA	FAM/HEX	0	11.93032933		A01-0005	AP0.2	A05	14966	SARS-CoV-2	N2:SARS	5	unknown
A01-0005.a3	A01-0005.e1	sample	sample	RNA	HEX	0	1.179734707		A01-0005	AP0.2	A05	14966	Human	RNase P	5	unknown
A01-0006.a1	A01-0006.e1	sample	sample	RNA	FAM	0	2.024409056		A01-0006	AP7	A08	16286	SARS-CoV-2	N1:SARS	5	unknown
A01-0006.a2	A01-0006.e1	sample	sample	RNA	FAM/HEX	0	1.734994412		A01-0006	AP7	A08	16286	SARS-CoV-2	N2:SARS	5	unknown
A01-0006.a3	A01-0006.e1	sample	sample	RNA	HEX	0	0.361246228		A01-0006	AP7	A08	16286	Human	RNase P	5	unknown
A01-0007.a1	A01-0007.e1	sample	sample	RNA	FAM	0	1.523514748		A01-0007	AP0.2	A07	18545	SARS-CoV-2	N1:SARS	5	unknown
A01-0007.a2	A01-0007.e1	sample	sample	RNA	FAM/HEX	0	0.698032677		A01-0007	AP0.2	A07	18545	SARS-CoV-2	N2:SARS	5	unknown
A01-0007.a3	A01-0007.e1	sample	sample	RNA	HEX	0	2.158895254		A01-0007	AP0.2	A07	18545	Human	RNase P	5	unknown
A01-0008.a1	A01-0008.e1	sample	sample	RNA	FAM	0	2.058326483		A01-0008	AP0.2	A08	17162	SARS-CoV-2	N1:SARS	5	unknown
A01-0008.a2	A01-0008.e1	sample	sample	RNA	FAM/HEX	0	2.882666588		A01-0008	AP0.2	A08	17162	SARS-CoV-2	N2:SARS	5	unknown
A01-0008.a3	A01-0008.e1	sample	sample	RNA	HEX	0	2.6765275		A01-0008	AP0.2	A08	17162	Human	RNase P	5	unknown
A01-0009.a1	A01-0009.e1	sample	sample	RNA	FAM	0	0.789886832		A01-0009	AP0.3	A05	17879	SARS-CoV-2	N1:SARS	5	unknown
A01-0009.a2	A01-0009.e1	sample	sample	RNA	FAM/HEX	0	1.382650256		A01-0009	AP0.3	A05	17879	SARS-CoV-2	N2:SARS	5	unknown
A01-0009.a3	A01-0009.e1	sample	sample	RNA	HEX	0	0.789886832		A01-0009	AP0.3	A05	17879	Human	RNase P	5	unknown
A01-0010.a1	A01-0010.e1	sample	sample	RNA	FAM	0	2.256060124		A01-0010	AP0.3	A06	18269	SARS-CoV-2	N1:SARS	5	unknown
A01-0010.a2	A01-0010.e1	sample	sample	RNA	FAM/HEX	0	2.64324832		A01-0010	AP0.3	A06	18269	SARS-CoV-2	N2:SARS	5	unknown
A01-0010.a3	A01-0010.e1	sample	sample	RNA	HEX	0	2.127025843		A01-0010	AP0.3	A06	18269	Human	RNase P	5	unknown
A01-0011.a1	A01-0011.e1	sample	sample	RNA	FAM	0	2.437635184		A01-0011	AP4	F03	17755	SARS-CoV-2	N1:SARS	5	unknown
A01-0011.a2	A01-0011.e1	sample	sample	RNA	FAM/HEX	0	1.092240215		A01-0011	AP4	F03	17755	SARS-CoV-2	N2:SARS	5	unknown
A01-0011.a3	A01-0011.e1	sample	sample	RNA	HEX	0	0.756081045		A01-0011	AP4	F03	17755	Human	RNase P	5	unknown
A01-0012.a1	A01-0012.e1	sample	sample	RNA	FAM	0	3.743253947		A01-0012	AP4	G03	15896	SARS-CoV-2	N1:SARS	5	unknown
A01-0012.a2	A01-0012.e1	sample	sample	RNA	FAM/HEX	0	3.639160157		A01-0012	AP4	G03	15896	SARS-CoV-2	N2:SARS	5	unknown
A01-0012.a3	A01-0012.e1	sample	sample	RNA	HEX	0	1.558657885		A01-0012	AP4	G03	15896	Human	RNase P	5	unknown
A01-0013.a1	A01-0013.e1	sample	sample	RNA	FAM	0	1.14870131		A01-0013	AP0.4	B01	12800	SARS-CoV-2	N1:SARS	5	unknown
A01-0013.a2	A01-0013.e1	sample	sample	RNA	FAM/HEX	0	1.060298205		A01-0013	AP0.4	B01	12800	SARS-CoV-2	N2:SARS	5	unknown
A01-0013.a3	A01-0013.e1	sample	sample	RNA	HEX	0	0.530024767		A01-0013	AP0.4	B01	12800	Human	RNase P	5	unknown
A01-0014.a1	A01-0014.e1	sample	sample	RNA	FAM	0	5.794944285		A01-0014	AP5	A04	9330	SARS-CoV-2	N1:SARS	5	unknown
A01-0014.a2	A01-0014.e1	sample	sample	RNA	FAM/HEX	0	7.503373625		A01-0014	AP5	A04	9330	SARS-CoV-2	N2:SARS	5	unknown
A01-0014.a3	A01-0014.e1	sample	sample	RNA	HEX	0	1.191348553		A01-0014	AP5	A04	9330	Human	RNase P	5	unknown
A01-0015.a1	A01-0015.e1	sample	sample	RNA	FAM	0	20.63127899		A01-0015	AP5	A03	10297	SARS-CoV-2	N1:SARS	5	unknown
A01-0015.a2	A01-0015.e1	sample	sample	RNA	FAM/HEX	0	8.47251892		A01-0015	AP5	A03	10297	SARS-CoV-2	N2:SARS	5	unknown
A01-0015.a3	A01-0015.e1	sample	sample	RNA	HEX	0	1.878935814		A01-0015	AP5	A03	10297	Human	RNase P	5	unknown
A01-0016.a1	A01-0016.e1	sample	sample	RNA	FAM	0	5.249227525		A01-0016	AP0.4	C01	12456	SARS-CoV-2	N1:SARS	5	unknown
A01-0016.a2	A01-0016.e1	sample	sample	RNA	FAM/HEX	0	2.932936669		A01-0016	AP0.4	C01	12456	SARS-CoV-2	N2:SARS	5	unknown
A01-0016.a3	A01-0016.e1	sample	sample	RNA	HEX	0	0.35509336		A01-0016	AP0.4	C01	12456	Human	RNase P	5	unknown
A01-0017.a1	A01-0017.e1	sample	sample	RNA	FAM	0	8.79502487		A01-0017	AP0.4	A03	13951	SARS-CoV-2	N1:SARS	5	unknown
A01-0017.a2	A01-0017.e1	sample	sample	RNA	FAM/HEX	0	9.498597145		A01-0017	AP0.4	A03	13951	SARS-CoV-2	N2:SARS	5	unknown
A01-0017.a3	A01-0017.e1	sample	sample	RNA	HEX	0	0.930597484		A01-0017	AP0.4	A03	13951	Human	RNase P	5	unknown
A01-0018.a1	A01-0018.e1	sample	sample	RNA	FAM	0	4.311506748		A01-0018	AP0.4	B03	14011	SARS-CoV-2	N1:SARS	5	unknown
A01-0018.a2	A01-0018.e1	sample	sample	RNA	FAM/HEX	0	2.267023087		A01-0018	AP0.4	B03	14011	SARS-CoV-2	N2:SARS	5	unknown
A01-0018.a3	A01-0018.e1	sample	sample	RNA	HEX	0	3.250910998		A01-0018	AP0.4	B03	14011	Human	RNase P	5	unknown
A01-0026.a1	A01-0026.e1	sample	sample	RNA	FAM	0	1.052191377		A01-0026	AP0.4	H03	11747	SARS-CoV-2	N1:SARS	5	unknown
A01-0026.a2	A01-0026.e1	sample	sample	RNA	FAM/HEX	0	1.683936596		A01-0026	AP0.4	H03	11747	SARS-CoV-2	N2:SARS	5	unknown
A01-0026.a3	A01-0026.e1	sample	sample	RNA	HEX	0	1.683936596		A01-0026	AP0.4	H03	11747	Human	RNase P	5	unknown
A01-0027.a1	A01-0027.e1	sample	sample	RNA	FAM	0	3.582602263		A01-0027	AP7	A01	17102	SARS-CoV-2	N1:SARS	5	unknown
A01-0027.a2	A01-0027.e1	sample	sample	RNA	FAM/HEX	0	4.134741783		A01-0027	AP7	A01	17102	SARS-CoV-2	N2:SARS	5	unknown
A01-0027.a3	A01-0027.e1	sample	sample	RNA	HEX	0	2.272309304		A01-0027	AP7	A01	17102	Human	RNase P	5	unknown
A01-0028.a1	A01-0028.e1	sample	sample	RNA	FAM	0	4.027581215		A01-0028	AP7	A02	15508	SARS-CoV-2	N1:SARS	5	unknown
A01-0028.a2	A01-0028.e1	sample	sample	RNA	FAM/HEX	0	3.570936203		A01-0028	AP7	A02	15508	SARS-CoV-2	N2:SARS	5	unknown
A01-0028.a3	A01-0028.e1	sample	sample	RNA	HEX	0	1.366312266		A01-0028	AP7	A02	15508	Human	RNase P	5	unknown
A01-0029.a1	A01-0029.e1	sample	sample	RNA	FAM	0	5.16639757		A01-0029	AP8	A01	16888	SARS-CoV-2	N1:SARS	5	unknown
A01-0029.a2	A01-0029.e1	sample	sample	RNA	FAM/HEX	0	5.79629326		A01-0029	AP8	A01	16888	SARS-CoV-2	N2:SARS	5	unknown
A01-0029.a3	A01-0029.e1	sample	sample	RNA	HEX	0	1.742868066		A01-0029	AP8	A01	16888	Human	RNase P	5	unknown
A01-0030.a1	A01-0030.e1	sample	sample	RNA	FAM	0	7.371079445		A01-0030	AP8	A02	16491	SARS-CoV-2	N1:SARS	5	unknown
A01-0030.a2	A01-0030.e1	sample	sample	RNA	FAM/HEX	0	9.023376465		A01-0030	AP8	A02	16491	SARS-CoV-2	N2:SARS	5	unknown
A01-0030.a3	A01-0030.e1	sample	sample	RNA	HEX	0	1.713410974		A01-0030	AP8	A02	16491	Human	RNase P	5	unknown
A01-0031.a1	A01-0031.e1	sample	sample	RNA	FAM	0	3.248488665		A01-0031	AP7	A03	17045	SARS-CoV-2	N1:SARS	5	unknown
A01-0031.a2	A01-0031.e1	sample	sample	RNA	FAM/HEX	0	3.248488665		A01-0031	AP7	A03	17045	SARS-CoV-2	N2:SARS	5	unknown
A01-0031.a3	A01-0031.e1	sample	sample	RNA	HEX	0	1.243042588		A01-0031	AP7	A03	17045	Human	RNase P	5	unknown
A01-0032.a1	A01-0032.e1	sample	sample	RNA	FAM	0	4.799479008		A01-0032	AP8	A03	11790	SARS-CoV-2	N1:SARS	5	unknown
A01-0032.a2	A01-0032.e1	sample	sample	RNA	FAM/HEX	0	5.70156479		A01-0032	AP8	A03	11790	SARS-CoV-2	N2:SARS	5	unknown
A01-0032.a3	A01-0032.e1	sample	sample	RNA	HEX	0	3.697867394		A01-0032	AP8	A03	11790	Human	RNase P	5	unknown
A01-0033.a1	A01-0033.e1	sample	sample	RNA	FAM	0	5.612515925		A01-0033	AP8	C01	14498	SARS-CoV-2	N1:SARS	5	unknown
A01-0033.a2	A01-0033.e1	sample	sample	RNA	FAM/HEX	0	5.44945717		A01-0033	AP8	C01	14498	SARS-CoV-2	N2:SARS	5	unknown
A01-0033.a3	A01-0033.e1	sample	sample	RNA	HEX	0	1.299070478		A01-0033	AP8	C01	14498	Human	RNase P	5	unknown
A01-0034.a1	A01-0034.e1	sample	sample	RNA	FAM	0	5.462949755		A01-0034	AP8	C02	13383	SARS-CoV-2	N1:SARS	5	unknown
A01-0034.a2	A01-0034.e1	sample	sample	RNA	FAM/HEX	0	3.786122561		A01-0034	AP8	C02	13383	SARS-CoV-2	N2:SARS	5	unknown
A01-0034.a3	A01-0034.e1	sample	sample	RNA	HEX	0	1.319357038		A01-0034	AP8	C02	13383	Human	RNase P	5	unknown
A01-0035.a1	A01-0035.e1	sample	sample	RNA	FAM	0	6.361772535		A01-0035	AP8	C03	14278	SARS-CoV-2	N1:SARS	5	unknown
A01-0035.a2	A01-0035.e1	sample	sample	RNA	FAM/HEX	0	5.450838565		A01-0035	AP8	C03	14278	SARS-CoV-2	N2:SARS	5	unknown
A01-0035.a3	A01-0035.e1	sample	sample	RNA	HEX	0	3.383154631		A01-0035	AP8	C03	14278	Human	RNase P	5	unknown
A01-0036.a1	A01-0036.e1	sample	sample	RNA	FAM	0	3.394970417		A01-0036	AP0.5	A04	14143	SARS-CoV-2	N1:SARS	5	unknown
A01-0036.a2	A01-0036.e1	sample	sample	RNA	FAM/HEX	0	1.809304357		A01-0036	AP0.5	A04	14143	SARS-CoV-2	N2:SARS	5	unknown
A01-0036.a3	A01-0036.e1	sample	sample	RNA	HEX	0	2.715110302		A01-0036	AP0.5	A04	14143	Human	RNase P	5	unknown
A01-0037.a1	A01-0037.e1	sample	sample	RNA	FAM	0	11.55470467		A01-0037	AP11	C04	17645	SARS-CoV-2	N1:SARS	5	unknown
A01-0037.a2	A01-0037.e1	sample	sample	RNA	FAM/HEX	0	11.91714859		A01-0037	AP11	C04	17645	SARS-CoV-2	N2:SARS	5	unknown
A01-0037.a3	A01-0037.e1	sample	sample	RNA	HEX	0	0.449780285		A01-0037	AP11	C04	17645	Human	RNase P	5	unknown
A01-0038.a1	A01-0038.e1	sample	sample	RNA	FAM	0	4.176715374		A01-0038	AP8	E07	12980	SARS-CoV-2	N1:SARS	5	unknown
A01-0038.a2	A01-0038.e1	sample	sample	RNA	FAM/HEX	0	3.449264288		A01-0038	AP8	E07	12980	SARS-CoV-2	N2:SARS	5	unknown
A01-0038.a3	A01-0038.e1	sample	sample	RNA	HEX	0	0.634631396		A01-0038	AP8	E07	12980	Human	RNase P	5	unknown
A01-0039.a1	A01-0039.e1	sample	sample	RNA	FAM	0	9.30243969		A01-0039	AP8	E08	12570	SARS-CoV-2	N1:SARS	5	unknown
A01-0039.a2	A01-0039.e1	sample	sample	RNA	FAM/HEX	0	9.30243969		A01-0039	AP8	E08	12570	SARS-CoV-2	N2:SARS	5	unknown
A01-0039.a3	A01-0039.e1	sample	sample	RNA	HEX	0	3.092647553		A01-0039	AP8	E08	12570	Human	RNase P	5	unknown
