control_id	control_batch_id	control_type	control_location_in_batch	control_input_ul	control_template	control_macromolecule	control_fluorophore	control_accepted_droplets	control_calculated_copies_per_ul_reaction	control_copies_per_ul_reaction	control_comment
AP68.b1	AP68	PCR Negative		5	None	None	FAM		0	0	
AP69.b1	AP69	PCR Negative		5	None	None	FAM		0	0	
AP70.b1	AP70	PCR Negative		5	None	None	FAM		0	0	
AP71.b1	AP71	PCR Negative		5	None	None	FAM		0	0	
AP72.b1	AP72	PCR Negative		5	None	None	FAM		0	0	
AP73.b1	AP73	PCR Negative		5	None	None	FAM		0	0	
AP74.b1	AP74	PCR Negative		5	None	None	FAM		0	0	
AP75.b1	AP75	PCR Negative		5	None	None	FAM		0	0	
AP76.b1	AP76	PCR Negative		5	None	None	FAM		0	0	
AP77.b1	AP77	PCR Negative		5	None	None	FAM		0	0	
AP78.b1	AP78	PCR Negative		5	None	None	FAM		0	0	
AP80.b1	AP80	PCR Negative		5	None	None	FAM		0	0	
AP81.b1	AP81	PCR Negative		5	None	None	FAM		0	0	
AP82.b1	AP82	PCR Negative		5	None	None	FAM		0	0	
AP83.b1	AP83	PCR Negative		5	None	None	FAM		0	0	
AP84.b1	AP84	PCR Negative		5	None	None	FAM		0	0	
AP85.b1	AP85	PCR Negative		5	None	None	FAM		0	0	
AP0.6.b1	AP0.6	PCR Negative		5	None	None	FAM		0	0	
AP87.b1	AP87	PCR Negative		5	None	None	FAM		0	0	
AP88.b1	AP88	PCR Negative		5	None	None	FAM		0	0	
AP89.b1	AP89	PCR Negative		5	None	None	FAM		0	0	
AP91.b1	AP91	PCR Negative		5	None	None	FAM		0	0	
AP92.b1	AP92	PCR Negative		5	None	None	FAM		0	0	
AP93.b1	AP93	PCR Negative		5	None	None	FAM		0	0	
AP94.b1	AP94	PCR Negative		5	None	None	FAM		0	0	
AP95.b1	AP95	PCR Negative		5	None	None	FAM		0	0	
AP96.b1	AP96	PCR Negative		5	None	None	FAM		0	0	
AP97.b1	AP97	PCR Negative		5	None	None	FAM		0	0	
AP98.b1	AP98	PCR Negative		5	None	None	FAM		0	0	
AP99.b1	AP99	PCR Negative		5	None	None	FAM		0	0	
AP0.b3	AP0	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.1.b3	AP0.1	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.3.b3	AP0.3	PCR Negative		5	None	None	FAM/HEX		0	0	
AP5.b3	AP5	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.4.b3	AP0.4	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.5.b3	AP0.5	PCR Negative		5	None	None	FAM/HEX		0	0	
AP7.b3	AP7	PCR Negative		5	None	None	FAM/HEX		0	0	
AP8.b3	AP8	PCR Negative		5	None	None	FAM/HEX		0	0	
AP9.b3	AP9	PCR Negative		5	None	None	FAM/HEX		0	0	
AP10.b3	AP10	PCR Negative		5	None	None	FAM/HEX		0	0	
AP12.b3	AP12	PCR Negative		5	None	None	FAM/HEX		0	0	
AP13.b3	AP13	PCR Negative		5	None	None	FAM/HEX		0	0	
AP14.b3	AP14	PCR Negative		5	None	None	FAM/HEX		0	0	
AP15.b3	AP15	PCR Negative		5	None	None	FAM/HEX		0	0	
AP16.b3	AP16	PCR Negative		5	None	None	FAM/HEX		0	0	
AP17.b3	AP17	PCR Negative		5	None	None	FAM/HEX		0	0	
AP19.b3	AP19	PCR Negative		5	None	None	FAM/HEX		0	0	
AP20.b3	AP20	PCR Negative		5	None	None	FAM/HEX		0	0	
AP22.b3	AP22	PCR Negative		5	None	None	FAM/HEX		0	0	
AP23.b3	AP23	PCR Negative		5	None	None	FAM/HEX		0	0	
AP24.b3	AP24	PCR Negative		5	None	None	FAM/HEX		0	0	
AP25.b3	AP25	PCR Negative		5	None	None	FAM/HEX		0	0	
AP27.b3	AP27	PCR Negative		5	None	None	FAM/HEX		0	0	
AP28.b3	AP28	PCR Negative		5	None	None	FAM/HEX		0	0	
AP30.b3	AP30	PCR Negative		5	None	None	FAM/HEX		0	0	
AP32.b3	AP32	PCR Negative		5	None	None	FAM/HEX		0	0	
AP33.b3	AP33	PCR Negative		5	None	None	FAM/HEX		0	0	
AP35.b3	AP35	PCR Negative		5	None	None	FAM/HEX		0	0	
AP36.b3	AP36	PCR Negative		5	None	None	FAM/HEX		0	0	
AP38.b3	AP38	PCR Negative		5	None	None	FAM/HEX		0	0	
AP39.b3	AP39	PCR Negative		5	None	None	FAM/HEX		0	0	
AP40.b3	AP40	PCR Negative		5	None	None	FAM/HEX		0	0	
AP41.b3	AP41	PCR Negative		5	None	None	FAM/HEX		0	0	
AP42.b3	AP42	PCR Negative		5	None	None	FAM/HEX		0	0	
AP45.b3	AP45	PCR Negative		5	None	None	FAM/HEX		0	0	
AP46.b3	AP46	PCR Negative		5	None	None	FAM/HEX		0	0	
AP47.b3	AP47	PCR Negative		5	None	None	FAM/HEX		0	0	
AP48.b3	AP48	PCR Negative		5	None	None	FAM/HEX		0	0	
AP49.b3	AP49	PCR Negative		5	None	None	FAM/HEX		0	0	
AP50.b3	AP50	PCR Negative		5	None	None	FAM/HEX		0	0	
AP51.b3	AP51	PCR Negative		5	None	None	FAM/HEX		0	0	
AP52.b3	AP52	PCR Negative		5	None	None	FAM/HEX		0	0	
AP53.b3	AP53	PCR Negative		5	None	None	FAM/HEX		0	0	
AP54.b3	AP54	PCR Negative		5	None	None	FAM/HEX		0	0	
AP55.b3	AP55	PCR Negative		5	None	None	FAM/HEX		0	0	
AP56.b3	AP56	PCR Negative		5	None	None	FAM/HEX		0	0	
AP57.b3	AP57	PCR Negative		5	None	None	FAM/HEX		0	0	
AP58.b3	AP58	PCR Negative		5	None	None	FAM/HEX		0	0	
AP59.b3	AP59	PCR Negative		5	None	None	FAM/HEX		0	0	
AP60.b3	AP60	PCR Negative		5	None	None	FAM/HEX		0	0	
AP61.b3	AP61	PCR Negative		5	None	None	FAM/HEX		0	0	
AP62.b3	AP62	PCR Negative		5	None	None	FAM/HEX		0	0	
AP63.b3	AP63	PCR Negative		5	None	None	FAM/HEX		0	0	
AP64.b3	AP64	PCR Negative		5	None	None	FAM/HEX		0	0	
AP65.b3	AP65	PCR Negative		5	None	None	FAM/HEX		0	0	
AP66.b3	AP66	PCR Negative		5	None	None	FAM/HEX		0	0	
AP67.b3	AP67	PCR Negative		5	None	None	FAM/HEX		0	0	
AP68.b3	AP68	PCR Negative		5	None	None	FAM/HEX		0	0	
AP69.b3	AP69	PCR Negative		5	None	None	FAM/HEX		0	0	
AP70.b3	AP70	PCR Negative		5	None	None	FAM/HEX		0	0	
AP71.b3	AP71	PCR Negative		5	None	None	FAM/HEX		0	0	
AP72.b3	AP72	PCR Negative		5	None	None	FAM/HEX		0	0	
AP73.b3	AP73	PCR Negative		5	None	None	FAM/HEX		0	0	
AP74.b3	AP74	PCR Negative		5	None	None	FAM/HEX		0	0	
AP75.b3	AP75	PCR Negative		5	None	None	FAM/HEX		0	0	
AP76.b3	AP76	PCR Negative		5	None	None	FAM/HEX		0	0	
AP77.b3	AP77	PCR Negative		5	None	None	FAM/HEX		0	0	
AP78.b3	AP78	PCR Negative		5	None	None	FAM/HEX		0	0	
AP80.b3	AP80	PCR Negative		5	None	None	FAM/HEX		0	0	
AP81.b3	AP81	PCR Negative		5	None	None	FAM/HEX		0	0	
AP82.b3	AP82	PCR Negative		5	None	None	FAM/HEX		0	0	
AP83.b3	AP83	PCR Negative		5	None	None	FAM/HEX		0	0	
AP84.b3	AP84	PCR Negative		5	None	None	FAM/HEX		0	0	
AP85.b3	AP85	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.6.b3	AP0.6	PCR Negative		5	None	None	FAM/HEX		0	0	
AP87.b3	AP87	PCR Negative		5	None	None	FAM/HEX		0	0	
AP88.b3	AP88	PCR Negative		5	None	None	FAM/HEX		0	0	
AP91.b3	AP91	PCR Negative		5	None	None	FAM/HEX		0	0	
AP92.b3	AP92	PCR Negative		5	None	None	FAM/HEX		0	0	
AP93.b3	AP93	PCR Negative		5	None	None	FAM/HEX		0	0	
AP94.b3	AP94	PCR Negative		5	None	None	FAM/HEX		0	0	
AP95.b3	AP95	PCR Negative		5	None	None	FAM/HEX		0	0	
AP96.b3	AP96	PCR Negative		5	None	None	FAM/HEX		0	0	
AP97.b3	AP97	PCR Negative		5	None	None	FAM/HEX		0	0	
AP98.b3	AP98	PCR Negative		5	None	None	FAM/HEX		0	0	
AP99.b3	AP99	PCR Negative		5	None	None	FAM/HEX		0	0	
AP0.2.b3	AP0.2	PCR Negative		5	None	None	FAM/HEX		0	1.36802882	
AP90.b1	AP90	PCR Negative		5	None	None	FAM		0	2.333341092	
AP90.b3	AP90	PCR Negative		5	None	None	FAM/HEX		0	2.333341092	
AP89.b3	AP89	PCR Negative		5	None	None	FAM/HEX		0	274.4399643	
AP21.b3	AP21	PCR Negative		5	None	None	FAM/HEX		0	1229.36615	
AP11.b3	AP11	PCR Negative		5	None	None	FAM/HEX		0	1548.404388	
AP24.b2	AP24	PCR Positive		5	LV-SARS_N	RNA	FAM			0	
AP61.b2	AP61	PCR Positive		5	LV-SARS_N	RNA	FAM			0	
AP62.b2	AP62	PCR Positive		5	LV-SARS_N	RNA	FAM			0	
AP63.b2	AP63	PCR Positive		5	LV-SARS_N	RNA	FAM			0	
AP83.b2	AP83	PCR Positive		5	LV-SARS_N	RNA	FAM			0	
AP11.b4	AP11	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP21.b4	AP21	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP24.b4	AP24	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP33.b4	AP33	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP36.b4	AP36	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP61.b4	AP61	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP62.b4	AP62	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP63.b4	AP63	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP83.b4	AP83	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			0	
AP89.b4	AP89	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			1.260447949	
AP0.6.b4	AP0.6	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			2.687386274	
AP75.b2	AP75	PCR Positive		5	LV-SARS_N	RNA	FAM			3.897856772	
AP75.b4	AP75	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			3.897856772	
AP88.b2	AP88	PCR Positive		5	LV-SARS_N	RNA	FAM			4.100748599	
AP87.b4	AP87	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			5.368947387	
AP88.b4	AP88	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			8.202211857	
AP84.b4	AP84	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			9.349434972	
AP81.b2	AP81	PCR Positive		5	LV-SARS_N	RNA	FAM			9.575644732	
AP82.b2	AP82	PCR Positive		5	LV-SARS_N	RNA	FAM			10.03294826	
AP0.6.b2	AP0.6	PCR Positive		5	LV-SARS_N	RNA	FAM			10.75138807	
AP81.b4	AP81	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			10.94391227	
AP80.b4	AP80	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			11.16019487	
AP85.b2	AP85	PCR Positive		5	LV-SARS_N	RNA	FAM			11.75067067	
AP87.b2	AP87	PCR Positive		5	LV-SARS_N	RNA	FAM			12.08185434	
AP77.b2	AP77	PCR Positive		5	LV-SARS_N	RNA	FAM			12.17773438	
AP78.b2	AP78	PCR Positive		5	LV-SARS_N	RNA	FAM			12.38995671	
AP84.b2	AP84	PCR Positive		5	LV-SARS_N	RNA	FAM			12.46673822	
AP77.b4	AP77	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			13.53120446	
AP78.b4	AP78	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			14.16048288	
AP85.b4	AP85	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			14.3627274	
AP80.b2	AP80	PCR Positive		5	LV-SARS_N	RNA	FAM			14.88143802	
AP82.b4	AP82	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			15.76798081	
AP73.b2	AP73	PCR Positive		5	LV-SARS_N	RNA	FAM			20.89460373	
AP76.b2	AP76	PCR Positive		5	LV-SARS_N	RNA	FAM			22.27260351	
AP73.b4	AP73	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			22.28823662	
AP74.b4	AP74	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			30.3712225	
AP74.b2	AP74	PCR Positive		5	LV-SARS_N	RNA	FAM			31.75266504	
AP76.b4	AP76	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			33.4168148	
AP32.b4	AP32	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			33.90405893	
AP32.b2	AP32	PCR Positive		5	LV-SARS_N	RNA	FAM			35.78905106	
AP66.b4	AP66	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			36.04199409	
AP71.b4	AP71	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			44.17563915	
AP70.b2	AP70	PCR Positive		5	LV-SARS_N	RNA	FAM			44.48894978	
AP70.b4	AP70	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			44.48894978	
AP55.b4	AP55	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			46.17351055	
AP71.b2	AP71	PCR Positive		5	LV-SARS_N	RNA	FAM			50.07199764	
AP72.b4	AP72	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			51.98009491	
AP66.b2	AP66	PCR Positive		5	LV-SARS_N	RNA	FAM			60.10069847	
AP72.b2	AP72	PCR Positive		5	LV-SARS_N	RNA	FAM			60.42012691	
AP69.b2	AP69	PCR Positive		5	LV-SARS_N	RNA	FAM			72.49384403	
AP68.b4	AP68	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			74.92531776	
AP67.b4	AP67	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			80.80342293	
AP69.b4	AP69	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			81.57130241	
AP68.b2	AP68	PCR Positive		5	LV-SARS_N	RNA	FAM			82.14226723	
AP67.b2	AP67	PCR Positive		5	LV-SARS_N	RNA	FAM			89.94384766	
AP65.b2	AP65	PCR Positive		5	LV-SARS_N	RNA	FAM			92.89975166	
AP64.b2	AP64	PCR Positive		5	LV-SARS_N	RNA	FAM			95.19289017	
AP96.b2	AP96	PCR Positive		5	LV-SARS_N	RNA	FAM			96.67779922	
AP65.b4	AP65	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			100.2884865	
AP64.b4	AP64	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			110.6279945	
AP92.b2	AP92	PCR Positive		5	LV-SARS_N	RNA	FAM			117.9133224	
AP90.b2	AP90	PCR Positive		5	LV-SARS_N	RNA	FAM			128.2813644	
AP96.b4	AP96	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			131.5792942	
AP95.b2	AP95	PCR Positive		5	LV-SARS_N	RNA	FAM			135.2418232	
AP94.b2	AP94	PCR Positive		5	LV-SARS_N	RNA	FAM			138.630743	
AP91.b2	AP91	PCR Positive		5	LV-SARS_N	RNA	FAM			146.8742275	
AP93.b2	AP93	PCR Positive		5	LV-SARS_N	RNA	FAM			151.5503216	
AP90.b4	AP90	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			156.3168526	
AP95.b4	AP95	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			165.2563286	
AP92.b4	AP92	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			172.7571106	
AP94.b4	AP94	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			177.2080612	
AP91.b4	AP91	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			184.926548	
AP93.b4	AP93	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			193.5296631	
AP47.b2	AP47	PCR Positive		5	LV-SARS_N	RNA	FAM			207.9195595	
AP98.b2	AP98	PCR Positive		5	LV-SARS_N	RNA	FAM			228.8021851	
AP47.b4	AP47	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			249.3927956	
AP33.b2	AP33	PCR Positive		5	LV-SARS_N	RNA	FAM			252.158165	
AP57.b4	AP57	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			255.2447891	
AP89.b2	AP89	PCR Positive		5	LV-SARS_N	RNA	FAM			261.3551903	
AP98.b4	AP98	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			265.4844093	
AP57.b2	AP57	PCR Positive		5	LV-SARS_N	RNA	FAM			267.0924187	
AP35.b2	AP35	PCR Positive		5	LV-SARS_N	RNA	FAM			268.774395	
AP53.b2	AP53	PCR Positive		5	LV-SARS_N	RNA	FAM			272.002697	
AP58.b4	AP58	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			276.5957069	
AP99.b2	AP99	PCR Positive		5	LV-SARS_N	RNA	FAM			280.2738762	
AP41.b2	AP41	PCR Positive		5	LV-SARS_N	RNA	FAM			288.2053566	
AP97.b2	AP97	PCR Positive		5	LV-SARS_N	RNA	FAM			295.7244492	
AP52.b2	AP52	PCR Positive		5	LV-SARS_N	RNA	FAM			299.3364906	
AP45.b2	AP45	PCR Positive		5	LV-SARS_N	RNA	FAM			299.8709679	
AP50.b2	AP50	PCR Positive		5	LV-SARS_N	RNA	FAM			305.7337761	
AP97.b4	AP97	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			316.8022537	
AP38.b2	AP38	PCR Positive		5	LV-SARS_N	RNA	FAM			317.8815842	
AP53.b4	AP53	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			318.368969	
AP28.b4	AP28	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			319.8027611	
AP99.b4	AP99	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			322.4126816	
AP39.b2	AP39	PCR Positive		5	LV-SARS_N	RNA	FAM			323.3415222	
AP45.b4	AP45	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			334.8871231	
AP40.b2	AP40	PCR Positive		5	LV-SARS_N	RNA	FAM			335.9238052	
AP38.b4	AP38	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			336.8869781	
AP30.b2	AP30	PCR Positive		5	LV-SARS_N	RNA	FAM			337.9396439	
AP60.b2	AP60	PCR Positive		5	LV-SARS_N	RNA	FAM			339.5400238	
AP52.b4	AP52	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			343.0362701	
AP35.b4	AP35	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			344.1727829	
AP58.b2	AP58	PCR Positive		5	LV-SARS_N	RNA	FAM			345.0024796	
AP41.b4	AP41	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			352.25811	
AP50.b4	AP50	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			356.0894394	
AP28.b2	AP28	PCR Positive		5	LV-SARS_N	RNA	FAM			368.7264633	
AP51.b2	AP51	PCR Positive		5	LV-SARS_N	RNA	FAM			373.429451	
AP46.b2	AP46	PCR Positive		5	LV-SARS_N	RNA	FAM			376.4786148	
AP56.b2	AP56	PCR Positive		5	LV-SARS_N	RNA	FAM			381.0704422	
AP30.b4	AP30	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			381.3004303	
AP60.b4	AP60	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			386.9182968	
AP39.b4	AP39	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			395.6662369	
AP49.b2	AP49	PCR Positive		5	LV-SARS_N	RNA	FAM			403.9231873	
AP54.b2	AP54	PCR Positive		5	LV-SARS_N	RNA	FAM			413.2713318	
AP40.b4	AP40	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			415.0937271	
AP51.b4	AP51	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			425.8745956	
AP55.b2	AP55	PCR Positive		5	LV-SARS_N	RNA	FAM			427.0280838	
AP48.b2	AP48	PCR Positive		5	LV-SARS_N	RNA	FAM			433.4650803	
AP49.b4	AP49	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			436.4203262	
AP59.b4	AP59	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			440.8116531	
AP56.b4	AP56	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			442.8088379	
AP48.b4	AP48	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			449.5413208	
AP42.b2	AP42	PCR Positive		5	LV-SARS_N	RNA	FAM			458.9422607	
AP59.b2	AP59	PCR Positive		5	LV-SARS_N	RNA	FAM			465.9441757	
AP46.b4	AP46	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			471.9524765	
AP36.b2	AP36	PCR Positive		5	LV-SARS_N	RNA	FAM			475.984993	
AP54.b4	AP54	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			476.7289734	
AP42.b4	AP42	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			522.8712845	
AP17.b2	AP17	PCR Positive		5	LV-SARS_N	RNA	FAM			560.2787018	
AP25.b2	AP25	PCR Positive		5	LV-SARS_N	RNA	FAM			584.9592972	
AP25.b4	AP25	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			645.5539703	
AP17.b4	AP17	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			653.7683868	
AP27.b2	AP27	PCR Positive		5	LV-SARS_N	RNA	FAM			721.9914246	
AP27.b4	AP27	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			850.2881622	
AP9.b2	AP9	PCR Positive		5	LV-SARS_N	RNA	FAM			878.4640503	
AP9.b4	AP9	PCR Positive		5	LV-SARS_N	RNA	FAM/HEX			968.4371185	
AP23.b2	AP23	PCR Positive		5	LV-SARS_N	RNA	FAM			1030.216827	
