concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
CB145	05/01/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB146	05/08/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB147	05/08/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB148	05/15/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB149	05/15/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB15	01/23/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB150	05/22/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04509	0.475	AJ	2.0.0	
CB151	05/22/2025	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04509	0.475	AJ	2.0.0	
CB152	05/29/2025	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04509	0.475	BB	2.0.1	
CB16	01/24/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB17	01/31/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB18	01/31/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB19	02/07/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB2	11/29/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB20	02/07/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB21	02/13/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB22	02/13/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB23	02/14/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB24	02/20/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB25	02/21/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB26	02/27/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB27	02/28/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB28	03/05/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB29	03/06/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	SK	2.0.0	
CB3	12/05/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB30	03/07/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB31	03/12/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04437	0.475	AJ	2.0.0	
CB32	03/13/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT4473	0.475	AJ	2.0.0	
CB33	03/20/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	SK	2.0.0	
CB34	03/20/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	SK	2.0.0	
CB35	03/27/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB36	03/27/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB37	04/03/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB38	04/03/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB39	04/09/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB4	12/05/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	2.0.0	
CB40	04/10/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB41	04/11/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB42	04/15/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB43	04/16/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB44	04/18/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB45	04/26/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB46	04/26/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	2.0.0	
CB47	05/02/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	SK	2.0.0	
CB48	05/08/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473/NT4491	0.475	GC	2.0.0	
CB49	05/08/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473/NT04491	0.475	GC	2.0.0	
CB5	12/12/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB50	05/15/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	4491	0.475	SK	2.0.0	
CB51	05/16/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	4491	0.475	SK	2.0.0	
CB52	05/23/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB53	05/23/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB54	05/30/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB55	05/30/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB56	06/04/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB57	06/04/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB58	06/06/2024	10	WALL-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB59	06/13/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB6	12/12/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB60	06/13/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB61	06/18/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB62	06/27/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB63	06/27/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB64	07/03/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB65	07/03/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB66	07/11/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB67	07/11/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB68	07/18/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB69	07/18/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB7	12/19/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB70	07/24/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	SK	2.0.0	
CB71	07/31/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB72	07/31/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB73	08/08/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB74	08/08/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB75	08/15/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB76	08/22/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB77	08/22/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB78	08/28/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB79	09/05/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB8	12/19/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	2.0.0	
CB80	09/05/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT044491	0.475	AJ	2.0.0	
CB81	09/12/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB82	09/12/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB83	09/19/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB84	09/19/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB86	09/26/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB87	09/26/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB88	10/03/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB89	10/10/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB90	10/10/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB91	10/17/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB92	10/17/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB93	10/24/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB94	10/24/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB96	10/31/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB97	10/31/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB98	11/07/2024	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04491	0.475	AJ	2.0.0	
CB99	11/07/2024	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04991	0.475	AJ	2.0.0	
CP0	06/04/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.95		1.0.0	
CP0.1	07/07/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.95		1.0.0	
CP0.2	07/09/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.95		1.0.0	
CP0.3	07/30/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.95		1.0.0	
CP0.4	08/13/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP1	08/16/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP1.1	08/18/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP1.2	08/20/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP1.3	08/27/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP10	09/08/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP100	03/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP101	03/23/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP102	03/23/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP103	03/25/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP104	03/25/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP105	03/29/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP106	03/29/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP107	03/30/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP108	03/30/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP109	04/01/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP11	09/13/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP110	03/31/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP111	04/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP112	04/05/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	JL	1.0.0	
CP113	04/06/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP114	04/06/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP115	04/08/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP116	04/08/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP117	04/12/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP118	04/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP119	04/13/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	JL	1.0.0	
CP12	09/15/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP120	04/18/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP121	04/18/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP122	04/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP123	04/20/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP124	04/20/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP125	04/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP126	04/22/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP127	04/25/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP128	04/26/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP129	04/27/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP13	09/17/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	1.0.0	
CP130	04/27/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP131	04/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP132	04/29/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP133	05/03/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP134	05/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP135	05/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP136	05/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP137	05/05/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP138	05/06/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP139	05/11/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP140	05/11/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP141	05/11/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP142	05/13/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP143	05/13/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP144	05/17/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP145	05/18/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP146	05/18/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP147	05/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP148	05/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP149	05/20/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP150	05/23/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP151	05/25/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP152	05/25/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP153	05/25/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP154	05/27/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP155	05/27/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP156	05/31/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP157	06/01/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
CP158	06/01/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	1.0.0	
