assay_id	sample_id	collection_start_datetime	collection_end_datetime	sample_flow	sample_qc	location_id	target	target_category	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_lday	target_copies_flownorm	target_copies_flownorm_per_person	target_copies_per_ldayperson	target_result_validated
A01-0098.a2	A01-0098	11/24/21 0:00	11/24/21 23:55	5.551	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	22848.91661625	22848.91661625	480119964355.618	9934612.73703895	0.472788375605239	1
A02-0394.a1	A02-0394	3/23/22 9:00	3/25/22 9:00	NA	NA	CollegePark-02	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
A03-0127.a1	A03-0127	1/21/22 6:00	1/21/22 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
E02-0096.a1	E02-0096	1/26/22 8:00	1/27/22 8:00	0.131	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	1377259.2331875	1377259.2331875	682967304480.938	285640863.438285	576.018081634253	1
B01-0128.a1	B01-0128	5/10/22 7:00	5/11/22 7:00	11.4	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	154463.577560625	154463.577560625	6665670870924.93	133313417.418499	3.0892715512125	1
S01-0010.a2	S01-0010	5/27/22 6:00	5/28/22 6:00	0.531	NA	FollansbeeWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	90533.06715375	90533.06715375	181976236977.007	28134854.2017636	13.997072843808	1
A0250.a3	A0250	11/12/20 0:00	11/12/20 23:59	6.315	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
R01-0092.a1	R01-0092	7/10/22 9:00	7/11/22 8:30	0.089	NA	HuttonsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	27716.3667075	27716.3667075	9337685241.14314	4444400.40035371	13.1919879616849	1
C01-0196.a2	C01-0196	6/6/22 7:00	6/7/22 7:00	8.373	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	90100.5698925	90100.5698925	2855759000371.38	57115180.0074276	1.80201139785	1
E01-0017.a3	E01-0017	12/7/21 8:00	12/8/21 8:00	1.637	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	8769.06888375	8769.06888375	54339430947.7775	1509428.63743826	0.243585246770833	1
B01-0155.a2	B01-0155	5/25/22 7:00	5/26/22 7:00	8.12	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2350.038571875	2350.038571875	72234379224.1341	1444687.58448268	0.0470007714375	1
K01-0016.a3	K01-0016	12/27/21 6:30	12/28/21 6:30	5.826	NA	ParkersburgWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
M03-0023.a1	M03-0023	3/2/22 11:00	3/3/22 11:00	0.215	NA	ManningtonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	101884.693355625	101884.693355625	82920197471.1931	76003847.3613135	93.3865200326535	1
L01-0098.a3	L01-0098	4/13/22 9:10	4/14/22 9:10	0.303	NA	WestUnionWWTP-01	Human	Internal Control	RNase P	ZooWVU	7910.119175625	7910.119175625	9072742401.2666	16086422.6972812	14.0250339993351	1
M04-0034.a2	M04-0034	3/28/22 10:00	3/29/22 10:00	0.098	NA	FarmingtonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
A02-0242.a3	A02-0242	12/1/21 9:00	12/3/21 9:00	NA	NA	CollegePark-02	Human	Internal Control	RNase P	ZooWVU	25078.8447525	12539.42237625	NA	NA	22.1153833796296	1
A01-0293.a3	A01-0293	6/29/22 0:00	6/30/22 0:00	6.1	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	15205.6221	15205.6221	351113035116.722	7265209.30137233	0.314633796143023	1
H01-0159.a1	H01-0159	3/16/22 8:00	3/17/22 8:00	2.5	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	57977.273086875	57977.273086875	548669373289.469	45722447.7741224	4.83143942390625	1
B01-0070.a3	B01-0070	11/28/21 7:00	11/29/21 7:00	7.258	NA	CharlestonWWTP-01	Human	Internal Control	RNase P	ZooWVU	5705.7739575	5705.7739575	156763319574.707	3135266.39149414	0.11411547915	1
G01-0138.a2	G01-0138	3/12/22 9:00	3/13/22 8:00	0.985	NA	KeyserWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	3392.429064375	3392.429064375	12649108881.0071	1548617.63969235	0.415331668018487	1
M04-0025.a3	M04-0025	3/7/22 14:00	3/8/22 14:00	0.11	NA	FarmingtonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
M04-0001.a3	M04-0001	3/23/22 14:15	3/24/22 14:15	0.108	NA	FarmingtonWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A02-0288.a2.a2	A02-0288	1/26/22 9:00	1/28/22 9:00	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	NA	1
M03-0037.a2	M03-0037	5/14/22 11:00	5/15/22 11:00	0.263	NA	ManningtonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	15028.422031875	15028.422031875	14961738368.4878	13713784.0224453	13.7749056204171	1
E02-0110.a2	E02-0110	4/19/22 8:00	4/20/22 8:00	0.149	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2407.82257125	2407.82257125	1358074750.27588	567994.458500997	1.00703578889586	1
E02-0081.a2	E02-0081	2/3/22 8:00	2/4/22 8:00	0.447	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	106003.18507125	106003.18507125	179365686009.851	75017016.3152867	44.3342472067127	1
P01-0057.a3	P01-0057	4/21/22 10:06	4/22/22 10:06	0.241	NA	StMarysWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A01-0285.a1	A01-0285	5/28/22 0:00	5/29/22 0:00	8.1	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	548262.20533125	548262.20533125	16810717600932	347846333.407798	11.3446077911614	1
C01-0010.a1	C01-0010	9/27/21 7:00	9/28/21 7:00	NA	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	37600.7962225	37600.7962225	NA	NA	0.75201592445	1
C01-0181.a1	C01-0181	5/23/22 7:00	5/24/22 7:00	6.727	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	172853.527674375	172853.527674375	4401620543448.07	88032410.8689614	3.4570705534875	1
A01-0258.a3	A01-0258	5/20/22 0:00	5/21/22 0:00	8.2	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	15426.697276875	15426.697276875	478850267938.614	9908340.2569652	0.319208270089286	1
O01-0031.a3	O01-0031	2/17/22 8:00	2/18/22 8:00	1.61	NA	GraftonWWTP-01	Human	Internal Control	RNase P	ZooWVU	2879.841103125	2879.841103125	17551220689.3905	2890993.36013679	0.474360254179707	1
A0022.a3	A0022	11/19/20 0:00	11/19/20 23:59	9.875	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
H01-0165.a2	H01-0165	3/22/22 8:00	3/23/22 8:00	1.9	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	3110.450634375	3110.450634375	22371228778.152	1864269.064846	0.25920421953125	1
A03-0353.a3	A03-0353	5/23/22 6:00	5/23/22 14:00	NA	NA	MorgantownHS-01	Human	Internal Control	RNase P	ZooWVU	68853.7851225	206561.3553675	NA	NA	111.594465352512	1
E01-0010.a2	E01-0010	11/17/21 8:00	11/18/21 8:00	1.853	NA	PrincetonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	71343.6936075	71343.6936075	500430688148.374	13900852.448566	1.981769266875	1
G01-0146.a1	G01-0146	2/20/22 9:00	2/21/22 8:00	1.169	NA	KeyserWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	24208.57352625	24208.57352625	107126430908.73	13115380.8654175	2.96383123484941	1
H01-0272.a2	H01-0272	7/5/22 8:00	7/6/22 8:00	NA	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	74479.264783125	74479.264783125	NA	NA	6.20660539859375	1
R01-0060.a1	R01-0060	7/5/22 8:00	7/6/22 8:00	0.128	NA	HuttonsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	83084.3210475	83084.3210475	40257052126.2614	19160900.5836561	39.5451313886245	1
A04-0016.a2	A04-0016	2/15/22 8:00	2/16/22 8:00	0.596	NA	CheatLakeWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	608372.2582125	608372.2582125	1372551304256.27	686275652.128133	304.18612910625	1
A02-0333.a3	A02-0333	2/5/22 9:00	2/7/22 9:00	NA	NA	Evansdale-01	Human	Internal Control	RNase P	ZooWVU	0	0	NA	NA	NA	1
O01-0004.a2	O01-0004	3/29/22 6:00	3/30/22 6:00	1.75	NA	GraftonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	8346.463545	8346.463545	55290876493.7873	9107375.4725395	1.37480868802504	1
P01-0041.a1	P01-0041	3/3/22 10:23	3/4/22 10:23	0.245	NA	StMarysWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	55994.347040625	55994.347040625	51930582501.6078	17956632.9535297	19.3618074137707	1
S01-0017.a3	S01-0017	5/23/22 6:00	5/24/22 6:00	0.712	NA	FollansbeeWWTP-01	Human	Internal Control	RNase P	ZooWVU	5317.402355625	5317.402355625	14331526212.3166	2215758.53622705	0.82210920773423	1
E01-0105.a3	E01-0105	5/4/22 8:00	5/5/22 8:00	2.097	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	9935.2295325	9935.2295325	78865899420.0299	2190719.42833416	0.275978598125	1
E01-0121.a3	E01-0121	6/6/22 6:00	6/7/22 6:00	2.128	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	25236.64846875	25236.64846875	203290098829.634	5646947.18971204	0.701018013020833	1
A02-0461.a1	A02-0461	4/16/22 9:00	4/18/22 9:00	NA	NA	OaklandE-02	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
C01-0172.a1	C01-0172	5/10/22 7:00	5/11/22 7:00	13.982	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	179884.24123125	179884.24123125	9520841637487.82	190416832.749756	3.597684824625	1
A01-0053.a2	A01-0053	10/2/21 0:00	10/2/21 23:55	7.465	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	169583.60316875	169583.60316875	4792107983178.15	99158003.2937045	3.50901347394368	1
A01-0161.a1	A01-0161	1/25/22 0:00	1/26/22 0:00	9	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	2884158.92615625	2884158.92615625	98259516365950.2	2033179861.90097	59.6788388958006	1
A03-0011.a1	A03-0011	9/20/21 6:00	9/20/21 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N1	ZooWVU	67750.71920375	203252.15761125	NA	NA	109.806676181118	1
A0042.a3	A0042	12/16/20 12:00	12/16/20 11:59	8.322	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A1083.a4	A1083	7/1/21 0:00	7/1/21 23:55	8.588	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	184513.75	184513.75	5998376149399.85	124118029.908125	3.81794715278927	1
A03-0180.a1	A03-0180	1/19/22 6:00	1/19/22 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
N02-0065.a1	N02-0065	4/26/22 7:00	4/27/22 7:00	11.784	NA	ClarksburgWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	23221.95824625	23221.95824625	1035868194858.82	39092316.2072164	0.87636645204355	1
E02-0072.a2	E02-0072	2/22/22 8:00	2/23/22 8:00	0.175	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	344352.180346875	344352.180346875	228114982726.201	95405680.772146	144.020150709693	1
M03-0095.a2	M03-0095	6/22/22 11:00	6/23/22 11:00	0.138	NA	ManningtonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	153281.9223525	153281.9223525	80072419193.548	73393601.4606307	140.496720763061	1
H01-0132.a3	H01-0132	2/13/22 8:00	2/14/22 0:00	2.2	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A01-0234.a1	A01-0234	4/22/22 0:00	4/23/22 23:59	9	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	77436.30768375	77436.30768375	2638153561222.3	54588511.0334029	1.6023073101256	1
N03-0015.a1	N03-0015	3/25/22 7:30	3/26/22 7:30	0.685	NA	SalemWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
A02-0061.a1	A02-0061	8/30/21 9:46	8/30/21 9:46	NA	NA	OaklandE-02	SARS-CoV-2	Pathogen	N1	ZooWVU	242320.0096125	121160.00480625	NA	NA	140.55685012326	1
A02-0153.a2	A02-0153	8/9/21 9:00	8/10/21 9:00	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N2	ZooWVU	3465.70398	1732.85199	NA	NA	NA	1
A03-0249.a1	A03-0249	4/6/22 6:00	4/6/22 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	NA	NA	0	1
I01-0004.a3	I01-0004	11/1/21 7:00	11/2/21 7:00	NA	NA	WarmSpringsWWTP-01	Human	Internal Control	RNase P	ZooWVU	1912.5	1912.5	NA	NA	0.587557603686636	1
Q01-0044.a1	Q01-0044	6/16/22 8:00	6/17/22 8:00	0.424	NA	MadisonWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	76227.57466125	76227.57466125	122346312320.94	26859783.1659582	16.7349230869923	1
E02-0021.a3	E02-0021	12/14/21 8:00	12/15/21 8:00	0.098	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	7701.5366175	7701.5366175	2857040425.27057	1194914.4396782	3.22105253764115	1
E02-0005.a3	E02-0005	11/8/21 8:00	11/9/21 8:00	NA	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	5610.72762125	5610.72762125	NA	NA	2.34660293653283	1
A03-0133.a2	A03-0133	12/6/21 6:00	12/6/21 14:00	NA	NA	NorthES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	0	1
A02-0320.a1	A02-0320	1/29/22 9:00	1/31/22 9:00	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N1	ZooWVU	40534.9311225	20267.46556125	NA	NA	NA	1
A1005.a1	A1005	3/14/21 5:30	3/14/21 11:59	8.712	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
A03-0202.a2	A03-0202	11/29/21 6:00	11/29/21 14:00	NA	NA	NorthES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	NA	NA	0	1
E01-0126.a2	E01-0126	6/14/22 8:00	6/15/22 8:00	2.506	NA	PrincetonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	153547.926853125	153547.926853125	1456592095619.45	40460891.5449848	4.26522019036458	1
A02-0128.a1	A02-0128	9/25/21 9:15	9/27/21 9:15	NA	NA	Evansdale-01	SARS-CoV-2	Pathogen	N1	ZooWVU	18873.62272125	9436.811360625	NA	NA	NA	1
A02-0112.a3	A02-0112	9/15/21 10:21	9/17/21 10:21	NA	NA	HonorsSummit-01	Human	Internal Control	RNase P	ZooWVU	20612.182695	10306.0913475	NA	NA	11.7918665303204	1
A03-0184.a2	A03-0184	2/9/22 6:00	2/9/22 14:00	NA	NA	MorgantownHS-01	SARS-CoV-2	Pathogen	N2	ZooWVU	4993.062309375	14979.186928125	NA	NA	8.09248348358995	1
A1096.a2	A1096	7/20/21 0:00	7/20/21 23:55	7.254	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
L01-0170.a2	L01-0170	7/2/22 9:00	7/3/22 9:00	0.285	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
H01-0203.a3	H01-0203	4/28/22 8:00	4/29/22 8:00	1.8	NA	MoundsvilleWWTP-01	Human	Internal Control	RNase P	ZooWVU	3541.789335	3541.789335	24132824579.8842	2011068.71499035	0.29514911125	1
S01-0029.a3	S01-0029	4/25/22 6:00	4/26/22 6:00	0.755	NA	FollansbeeWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A0222.a2	A0222	1/18/21 0:00	1/18/21 23:59	8.321	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
A01-0283.a1	A01-0283	5/25/22 0:00	5/26/22 0:00	6.9	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	505102.03618125	505102.03618125	13192926261588	272987217.794818	10.4515402288787	1
R01-0022.a2	R01-0022	4/13/22 9:00	4/14/22 8:30	0.208	NA	HuttonsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	0	0	0	0	0	1
E01-0068.a3	E01-0068	2/22/22 8:15	2/23/22 8:15	5.314	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	3070.571581875	3070.571581875	61766600783.4553	1715738.91065154	0.0852936550520833	1
D01-0069.a3	D01-0069	3/27/22 7:25	3/28/22 7:25	1.25	NA	CharlesTownWWTP-01	Human	Internal Control	RNase P	ZooWVU	33467.34871875	33467.34871875	158359545641.804	9315267.39069437	1.96866757169118	1
B01-0198.a2	B01-0198	6/30/22 7:00	7/1/22 7:00	7.21	NA	CharlestonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	293673.6935625	293673.6935625	8015179175072.13	160303583.501443	5.87347387125	1
A01-0012.a3	A01-0012	8/22/21 0:00	8/22/21 23:59	9.615	NA	StarCityWWTP-01	Human	Internal Control	RNase P	ZooWVU	33121.48005625	33121.48005625	1205513141196.7	24944403.6830967	0.685347625729391	1
H01-0163.a2	H01-0163	3/20/22 8:00	3/21/22 8:00	2.1	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	40750.38136125	40750.38136125	323939492328.248	26994957.6940206	3.3958651134375	1
H01-0051.a1	H01-0051	12/23/21 8:00	12/24/21 8:00	1.5	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	19318.627993125	19318.627993125	109693391387.183	9141115.94893191	1.60988566609375	1
A03-0355.a3	A03-0355	5/23/22 6:00	5/23/22 14:00	NA	NA	MountainviewES-01	Human	Internal Control	RNase P	ZooWVU	4944.465819375	14833.397458125	NA	NA	20.4316769395661	1
A02-0324.a2	A02-0324	2/20/22 9:00	2/4/22 9:00	NA	NA	HonorsSummit-01	SARS-CoV-2	Pathogen	N2	ZooWVU	62542.1534625	31271.07673125	NA	NA	35.7792639945652	1
A03-0197.a2	A03-0197	1/26/22 6:00	1/26/22 18:00	NA	NA	NorthES-01	SARS-CoV-2	Pathogen	N2	ZooWVU	24677.36632125	74032.09896375	NA	NA	107.604795005451	1
A01-0028.a1	A01-0028	9/5/21 0:00	9/5/21 23:55	10.388	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	85586.10081875	85586.10081875	3365488469980.36	69638480.1767166	1.77094232781721	1
A03-0275.a3	A03-0275	4/27/22 6:00	4/27/22 14:00	NA	NA	MountainviewES-01	Human	Internal Control	RNase P	ZooWVU	14276.583268125	42829.749804375	NA	NA	58.9941457360537	1
A01-0206.a1	A01-0206	3/20/22 0:00	3/21/22 0:00	8.5	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	33394.621741875	33394.621741875	1074504848247.24	22233588.1527736	0.690999456668494	1
Q01-0040.a2	Q01-0040	6/12/22 8:00	6/13/22 8:00	0.323	NA	MadisonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	599964.95985	599964.95985	733569614849.05	161047116.322514	131.715688221734	1
L01-0088.a1	L01-0088	4/17/22 9:00	4/18/22 9:00	0.279	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	0	0	0	0	0	1
A03-0162.a3	A03-0162	1/26/22 6:00	1/26/22 14:00	NA	NA	MountainviewES-01	Human	Internal Control	RNase P	ZooWVU	31890.8061675	95672.4185025	NA	NA	131.780190774793	1
A02-0335.a3	A02-0335	2/9/22 9:00	2/11/22 9:00	NA	NA	CollegePark-02	Human	Internal Control	RNase P	ZooWVU	28006.525065	14003.2625325	NA	NA	24.6971120502645	1
L01-0055.a3	L01-0055	3/25/22 9:00	3/26/22 9:00	0.328	NA	WestUnionWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
A1062.a2	A1062	6/2/21 0:00	6/2/21 23:55	8.513	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	4013.75	4013.75	129343877755.788	2676375.55362911	0.0830522678364509	1
C01-0126.a1	C01-0126	3/14/22 7:00	3/15/22 7:00	9.988	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	13016.07604125	13016.07604125	492120589860.194	9842411.79720388	0.260321520825	1
A01-0230.a2	A01-0230	4/17/22 0:00	4/18/22 0:00	12.9	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	19924.776039375	19924.776039375	972962459427.016	20132479.2962054	0.412282238854805	1
H01-0008.a2	H01-0008	10/5/21 8:00	10/6/21 8:00	NA	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	233847.4165875	233847.4165875	NA	NA	19.487284715625	1
G01-0157.a2	G01-0157	5/21/22 9:00	5/22/22 8:00	0.952	NA	KeyserWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	7424.36293125	7424.36293125	26755253314.7711	3275618.67222956	0.908957263865083	1
C01-0014.a2	C01-0014	10/4/21 7:00	10/5/21 7:00	8.81	NA	WheelingWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	49245.28658375	49245.28658375	1642303818528.41	32846076.3705682	0.984905731675	1
A01-0055.a2	A01-0055	10/4/21 0:00	10/4/21 23:55	8.904	NA	StarCityWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	144125.69878125	144125.69878125	4857798566115.12	100517268.790662	2.98224008403513	1
E02-0086.a3	E02-0086	1/10/22 8:00	1/11/22 8:00	0.529	NA	AthensWWTP-01	Human	Internal Control	RNase P	ZooWVU	1821.75564875	1821.75564875	3648032694.62708	1525735.12949689	0.761922061375993	1
E01-0103.a3	E01-0103	5/2/22 7:30	5/3/22 7:30	1.882	NA	PrincetonWWTP-01	Human	Internal Control	RNase P	ZooWVU	22960.45963125	22960.45963125	163573566073.318	4543710.16870328	0.6377905453125	1
A02-0384.a3	A02-0384	3/5/22 9:00	3/7/22 9:00	NA	NA	HonorsSummit-01	Human	Internal Control	RNase P	ZooWVU	47083.060306875	23541.5301534375	NA	NA	26.9353891915761	1
E02-0114.a1	E02-0114	4/25/22 8:00	4/26/22 8:00	0.121	NA	AthensWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	21544.158508125	21544.158508125	9867970240.04722	4127131.00796621	9.01052216985571	1
M03-0093.a2	M03-0093	6/21/22 11:00	6/22/22 11:00	0.15	NA	ManningtonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	102878.443325625	102878.443325625	58415563222.3881	53543137.6923814	94.2973816000229	1
H01-0226.a2	H01-0226	5/18/22 8:00	5/19/22 8:00	1.7	NA	MoundsvilleWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	64657.873655625	64657.873655625	416086154575.057	34673846.2145881	5.38815613796875	1
L01-0012.a2	L01-0012	1/27/22 9:00	1/28/22 9:00	0.473	NA	WestUnionWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	2459137.17215625	2459137.17215625	4403082475468.99	7806883821.75353	4360.17229105718	1
N03-0104.a3	N03-0104	6/8/22 7:00	6/9/22 7:00	0.57973	NA	SalemWWTP-01	Human	Internal Control	RNase P	ZooWVU	0	0	0	0	0	1
N02-0063.a1	N02-0063	4/5/22 7:00	4/6/22 7:00	9.36	NA	ClarksburgWWTP-01	SARS-CoV-2	Pathogen	N1	ZooWVU	12071.012835	12071.012835	427693338032.102	16140589.4041853	0.455544299003698	1
A02-0070.a3	A02-0070	8/30/21 10:04	9/1/21 10:04	NA	NA	HonorsSummit-01	Human	Internal Control	RNase P	ZooWVU	22860.1737425	11430.08687125	NA	NA	13.0779025986842	1
O01-0036.a2	O01-0036	2/11/22 6:05	2/12/22 6:05	1.96	NA	GraftonWWTP-01	SARS-CoV-2	Pathogen	N2	ZooWVU	36612.1546425	36612.1546425	271640351958.321	44743922.2464703	6.03066292908911	1
