Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
G01-0014	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	12/5/21 9:00	12/6/21 8:00	0.534	12/9/21	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	66722.86548	19613.34955	43168.107515	134874.196783689	39646.600123715	87260.3984537022	78641.172674	51386.9028110834	175005.069723178	135891.288791944	74771.802827	56504.0031904533	167312.654313218	147007.130265009	70902.43298	68799.8802012295	159620.238903258	170109.055875556
L01-0092	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	4/7/22 9:00	4/8/22 9:00	0.399	4/20/22	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2528.53713	2528.53713	2528.53713	3819.04834517205	3819.04834517205	3819.04834517205	18957.1193066	32823.0727276278	18479.6712333128	40319.3137662367	19584.2449013	33253.4837751333	18801.6073958763	40598.7933705841	20211.370496	33815.1116259804	19123.5435584397	40932.4758897003
R01-0026	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	5/1/22 9:00	5/2/22 8:30	0.195	5/4/22	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1912	1032	1472	1411.3522644	761.7759084	1086.5640864	1568.6	1495.48272971665	1018.81281822	936.294317138083	1246.1	1164.80188207463	808.803192453	709.003112973272	923.6	926.876200579542	598.793566686	547.467211848864
F01-0023	not institution specific	wwtp	WWTP	WWTP	16166	WestonWWTP-01	11/8/21 10:00	11/9/21 10:00	NA	11/11/21	24-hr time-weighted composite	Weston	26452		-80.45991	39.06224	10364	Lewis	2.5	Complete	paused	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	17425	10200	13812.5	NA	NA	NA	31800.0884442	59100.0839460983	NA	NA	30828.7249141	60826.8619635321	NA	NA	29857.361384	62823.4562337998	NA	NA
A03-0139	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	12/10/21 6:00	12/10/21 14:00	NA	12/13/21	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2358.104107	2854	2606.0520535	NA	NA	NA	1770.8208214	1291.1799831816	NA	NA	2098.930803	892.960071893124	NA	NA	2427.0407846	574.240172729732	NA	NA
B01-0005	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	9/23/21 7:00	9/24/21 7:00	NA	9/30/21	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1890	1723	1806.5	NA	NA	NA	23042.07181	48274.3319848444	NA	NA	18930.8866442	37062.0920676292	NA	NA	14819.7014784	26166.1003056265	NA	NA
O01-0045	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	3/7/22 6:00	3/8/22 6:00	1.82	3/9/22	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	57595.6019	13706.0608	35650.83135	396801.800646668	94427.168495529	245614.484571098	19390.050647	41116.3841097115	126342.218944609	286231.403648611	15286.1264448	22605.9788056956	98374.2267897736	159271.768320847	11182.2022426	9754.58054963068	70406.2346349383	65536.9811382817
B01-0081	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	1/30/22 7:00	1/31/22 7:00	8.935	2/2/22	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	672138.9341	762115.4881	717127.2111	22733512.0890188	25776756.53494	24255134.3119794	648312.33716	297474.511531718	24921771.9538459	9649483.0814046	632842.39251	373396.761648803	24234726.973098	12539526.4238481	617372.44786	503328.300879823	23547681.9923502	18175309.3050801
A1079	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	6/27/21 0:00	6/27/21 23:55	7.515	7/9/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	4607.5	1981	3294.25	131071.193461125	56354.21253315	93712.7029971375	2125.1	2646.41319312893	74643.965668649	71355.0365700034	2290.15	2153.85022112258	89698.5075485	103959.749081444	2455.2	3581.52570475333	104753.049428351	183080.457240727
A03-0193	k12	upstream	Sewer Network	K-12 School	105612	NorthES-01	1/24/22 6:00	1/24/22 14:00	NA	1/25/22	8-hr time-weighted composite	North Elementary	26505	NA	-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	21475.31737	16105.45658	18790.386975	NA	NA	NA	6865.3848864	15797.736987676	NA	NA	15678.8744262	29074.1897378608	NA	NA	24492.363966	58105.2461028894	NA	NA
C01-0030	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	10/31/21 7:00	11/1/21 7:00	NA	11/5/21	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10012.01436	11681.07353	10846.543945	NA	NA	NA	24960.065186	24224.1195819938	705804.806177049	625706.282386592	20745.2265673	20949.9557161888	842134.534004001	663617.620628924	16530.3879486	22361.9414909564	978464.261830953	753954.31766211
A03-0117	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	11/15/21 6:00	11/15/21 14:00	NA	11/17/21	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1227	96	661.5	NA	NA	NA	42216.392558	82861.1931864777	NA	NA	36628.8142338	62530.4470988147	NA	NA	31041.2359096	48719.751198445	NA	NA
A02-0221	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	11/15/21 9:48	11/17/21 9:48	NA	11/17/21	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	63406.67069	57213.57048	60310.120585	NA	NA	NA	16272.018764	49366.346905171	NA	NA	14839.673356	47226.9089030914	NA	NA	13407.327948	45246.4777805099	NA	NA
K01-0060	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	3/17/22 6:25	3/18/22 6:25	6.64	3/23/22	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32310.24016	45780.19202	39045.21609	812121.841194996	1150690.7299182	981406.285556599	41533.371056	61336.8900037973	1350841.60775338	2083005.44031158	41067.616117	53739.2216414579	1319263.26686082	1799355.70460156	40601.861178	48056.4144876041	1287684.92596827	1564814.64720489
A02-0301	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	1/19/22 9:00	1/21/22 9:00	NA	1/21/22	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3014956.155	3153337.34	3084146.7475	NA	NA	NA	929159.28401	2280039.31664575	NA	NA	794196.585702	2392107.8442527	NA	NA	659233.887394	2569143.84710234	NA	NA
A01-0135	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/26/21 0:00	12/26/21 23:59	14	12/28/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3207.328292	9622.721169	6415.0247305	169974.736257476	509963.22916482	339968.982711148	23865.0884464	35021.3531967004	676593.394254701	852883.229306489	26134.7065391	29620.168963795	764661.908310618	686620.687505898	28404.3246318	25219.468939136	852730.422366536	559799.319725648
A03-0265	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	4/11/22 6:00	4/11/22 14:00	NA	NA	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7635.359829	853	4244.1799145	NA	NA	NA	2858.7459466	5040.24327145191	NA	NA	1978.3099637	2517.86324751355	NA	NA	1097.8739808	1452.2191233164	NA	NA
M04-0027	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	4/14/22 12:00	4/15/22 12:00	0.113	4/20/22	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2541	164	1352.5	1086.91612953	70.15121812	578.533673825	1813.0806772	1876.49605593226	862.157317981431	952.005239048131	1387.1403386	1088.1522129573	647.658242353715	637.659589684958	961.2	1687.0802011824	433.159166726	768.866917777145
J01-0036	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	4/26/22 7:30	4/27/22 7:30	0.28	5/4/22	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1256	1753	1504.5	1331.2529888	1858.0306444	1594.6418166	1467.2	2143.80963697743	1404.79971969	2085.93547630692	1546.5009517	1586.91374110186	1489.17748849032	1541.82970576926	1625.8019034	1703.21838478235	1573.55525729064	1751.84976839224
J01-0039	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	4/29/22 7:30	4/30/22 7:30	NA	5/4/22	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1991	2291	2141	NA	NA	NA	1440.8	1561.03026022171	1195.476388756	1283.15795842776	1269	1382.46061378896	1025.521700363	1213.96368444532	1097.2	1660.06241002696	855.56701197	1407.25597534123
H01-0007	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	10/4/21 8:00	10/5/21 8:00	NA	10/8/21	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	78673.53201	82971.58778	80822.559895	NA	NA	NA	62040.63862	81464.4145173666	NA	NA	45076.363284	58773.0126813738	NA	NA	28112.087948	58593.0265216809	NA	NA
D01-0042	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	4/17/22 7:15	4/18/22 7:15	1.21	4/20/22	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	119678.864	63616.42331	91647.643655	548170.61797483	291385.236403908	419777.927189369	49966.365724	82384.4487503268	232822.265602344	376957.095234729	43297.649643	62397.4116887986	202006.570770726	285862.760140107	36628.933562	47188.5982535899	171190.875939108	217711.170878723
D01-0069	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	3/27/22 7:25	3/28/22 7:25	1.25	3/30/22	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	48688.61295	9124.807846	28906.710398	230382.952933824	43176.4235854086	136779.688259616	407823.30171	986663.154052637	1967775.22377516	4765621.24533266	418229.9341832	1030114.79919395	2018546.67906895	4975950.00738758	428636.5666564	1074486.14673581	2069318.13436273	5190657.64569513
R01-0044	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	4/11/22 9:00	4/12/22 9:00	0.149	4/13/22	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5819.866145	11640.53919	8730.2026675	3282.55634608772	6565.56780482747	4924.06207545759	6728.9579996	9708.8037254078	4793.3286156623	7966.53629859416	5620.4732299	5507.19314427454	3823.37621016638	3905.44791567606	4511.9884602	7387.20627638112	2853.42380467046	3848.82196767813
G01-0048	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	12/31/21 9:00	1/1/22 8:00	1.02	1/6/22	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	11747.3937	11747.3937	11747.3937	45358.0756176353	45358.0756176353	45358.0756176353	31952.8873814	40769.3553584437	106477.05363957	132638.209946278	31672.0360638	45148.3311851151	106010.074645138	149902.213249444	31391.1847462	52900.2907711822	105543.095650707	176941.348461568
J01-0041	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	5/3/22 7:30	5/4/22 7:30	0.174	5/11/22	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2725	2095	2410	1794.8521515	1379.8955073	1587.3738294	1820.4	1535.25257649609	1208.137828124	1058.14234885108	1668.4	1095.52127275045	1108.908226007	847.389385666277	1516.4	1552.23262905866	1009.67862389	1163.29473617048
A01-0030	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	9/8/21 0:00	9/8/21 23:55	8.923	9/13/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	156635.4382	191746.7499	174191.09405	5290708.62678298	6476670.89588113	5883689.76133205	99433.633924	65359.7698594171	3574814.53949352	1967581.99535758	104486.219254	78832.7086304736	3745781.28046755	2403707.13320334	109538.804584	92939.2616800135	3916748.02144158	2875446.07291686
A02-0211	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	11/3/21 11:30	11/5/21 11:30	NA	11/5/21	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2420	3220.404461	2820.2022305	NA	NA	NA	123196.2418438	499512.487038692	NA	NA	90076.4211665	357382.666482073	NA	NA	56956.6004892	215388.596945612	NA	NA
A02-0306	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	1/22/22 9:00	1/24/22 9:00	NA	1/24/22	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	307080.5991	357337.2567	332208.9279	NA	NA	NA	163821.866328	276919.810507548	NA	NA	168614.960113	310157.120770608	NA	NA	173408.053898	344438.316384745	NA	NA
A01-0100	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	11/27/21 0:00	11/27/21 23:55	6.235	11/30/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	54942.23714	27462.11741	41202.177275	1296748.40341741	648161.756048201	972455.079732808	121261.482098	217474.913442834	2830774.70579202	5078871.7932372	104009.953221	216090.214257597	2422409.64825228	5037668.51002547	86758.424344	215927.517922571	2014044.59071254	5033790.24573243
A1001	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	3/8/21 12:00	3/8/21 12:00	8.776	3/12/21	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	17430	5820	11625	579037.8147288	193344.8124912	386191.31361	23588.2	33586.0504919757	871043.8121714	1198952.62242338	29055.5	46516.5010016214	1060355.68291729	1671156.15378881	34522.8	62218.3242015878	1249667.55366318	2248873.67378608
A02-0120	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	9/20/21 9:33	9/22/21 9:33	NA	9/22/21	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	42351.95488	24696.58732	33524.2711	NA	NA	NA	60735.489118	105787.596440342	NA	NA	41977.7158108	67339.6433780509	NA	NA	23219.9425036	38981.362875967	NA	NA
B01-0151	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	4/19/22 7:00	4/20/22 7:00	11.852	4/22/22	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	32535.98258	48813.44855	40674.715565	1459716.42481281	2189999.71569907	1824858.07025594	21018.4185566	22598.1759638105	860732.191020869	828105.308511577	22641.7196239	27669.4731887544	939406.190966584	1103799.10061402	24265.0206912	33509.6012626096	1018080.1909123	1396145.7503091
I01-0007	not institution specific	wwtp	WWTP	WWTP	17884	WarmSpringsWWTP-01	11/9/21 7:00	11/10/21 7:00	NA	11/12/21	24-hr flow-weighted composite	Warm Springs	25411		-78.22662	39.62802	3255	Morgan	1.8	Complete	paused	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3064.852208	4597.419221	3831.1357145	NA	NA	NA	26526.0784262	82096.952568666	NA	NA	25771.8630952	81056.483521052	NA	NA	25017.6477642	80055.9581699259	NA	NA
A02-0023	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	8/18/21 9:56	8/20/21 9:56	NA	8/20/21	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	29334.11992	36673.0299	33003.57491	NA	NA	NA	15908.0639112	26473.2742844363	NA	NA	16040.0800876	28867.4585858477	NA	NA	16172.096264	31714.7493776642	NA	NA
G01-0027	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	11/14/21 9:00	11/15/21 8:00	NA	11/16/21	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	30441.40533	31964.44973	31202.92753	NA	NA	NA	19309.5391502	28733.7253810004	NA	NA	17477.3599851	27013.9329529773	NA	NA	15645.18082	25938.5915649757	NA	NA
E02-0100	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	1/16/22 8:00	1/17/22 8:00	0.122	1/21/22	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	896019.6984	413046.8112	654533.2548	413799.835035482	190753.28660932	302276.560822401	770523.88028	671750.150672619	938525.231728552	1315554.93359063	679746.65945	607305.211844108	823681.880385919	1003076.53356678	588969.43862	634925.444362445	708838.529043287	764646.332427011
B01-0042	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	1/5/22 7:00	1/6/22 7:00	10.64	1/10/22	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15041.00645	2173	8607.003225	605803.043043518	87521.4046952	346662.223869359	6206.7379154	9826.2140702398	293549.890105866	358747.591243839	4171.1975556	5380.78031938003	195931.547736853	186554.023495201	2135.6571958	2625.89941227601	98313.2053678399	97720.5337072066
