"capacity_mgd","concentration_method","county_names","dashboard_ignore","epaid","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","major_lab_method","major_lab_method_desc","ntc_amplify","num_no_target_control","other_jurisdiction","pasteurized","pcr_gene_target","pcr_gene_target_ref","pcr_target","pcr_target_avg_conc","pcr_target_units","pcr_type","population_served","pretreatment","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","site_id","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"0.5","ceres nanotrap","54005","","WV0035939","thermo magmax microbiome ultra nucleic acid isolation kit","0.2416","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","45","copies/L wastewater","ddPCR","4555","no","rna","-1","","","","WV","2024-09-01","08:00","Q01-0520","wwtp","","raw wastewater","24-hr time-weighted composite","54005-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-09-13","WV","Madison WWTP","25053"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","8.588","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","4275","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2021-07-01","00:00","A1083","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2021-07-09","WV","Star City WWTP","26505"
"0.5","ceres nanotrap","54005","","WV0035939","thermo magmax microbiome ultra nucleic acid isolation kit","0.498","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","88","copies/L wastewater","ddPCR","4555","no","rna","-1","","","","WV","2024-02-18","08:00","Q01-0492","wwtp","","raw wastewater","24-hr time-weighted composite","54005-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-02-29","WV","Madison WWTP","25053"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","7.4","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","1845","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2025-10-05","08:00","C01-1005","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-10-10","WV","Wheeling WWTP","26003"
"0.41","ceres nanotrap","54083","","WV0082414","thermo magmax microbiome ultra nucleic acid isolation kit","0.176","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","27590.8558425","copies/L wastewater","ddPCR","2101","no","rna","-1","","","","WV","2022-05-18","09:00","R01-0006","wwtp","","raw wastewater","24-hr time-weighted composite","54083-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-06-01","WV","Huttonsville WWTP","26273"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","2.2","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","123283.93086","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2022-05-26","08:00","H01-0230","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-06-06","WV","Moundsville WWTP","26041"
"4.9","ceres nanotrap","54055","","WV0023094","thermo magmax microbiome ultra nucleic acid isolation kit","3.042","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","663","copies/L wastewater","ddPCR","36000","no","rna","-1","","","","WV","2025-04-24","09:00","E01-0737","wwtp","","raw wastewater","24-hr time-weighted composite","54055-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-05-12","WV","Princeton WWTP","24740"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.3","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","730574.3088375","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2022-07-14","08:00","H01-0281","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-07-25","WV","Moundsville WWTP","26041"
"2.3","ceres nanotrap","54091","","WVG611883","thermo magmax microbiome ultra nucleic acid isolation kit","2.26","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","91236.4952475","copies/L wastewater","ddPCR","6071","no","rna","-1","","","","WV","2023-01-12","07:00","O01-0252","wwtp","","raw wastewater","24-hr flow-weighted composite","54091-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-01-19","WV","Grafton WWTP","26354"
"2.25","ceres nanotrap","54037","","WV0022349","thermo magmax microbiome ultra nucleic acid isolation kit","1.11","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","317960.09659875","copies/L wastewater","ddPCR","17000","no","rna","-1","","","","WV","2023-06-22","08:00","D01-0287","wwtp","","raw wastewater","24-hr flow-weighted composite","54037-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-07-03","WV","CharlesTown WWTP","25414"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","6.669","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","5026.79010853172","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2024-01-22","07:00","C01-0586","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-01-31","WV","Wheeling WWTP","26003"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","8.082","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","6982.5","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2021-05-30","00:00","A1059","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2021-07-07","WV","Star City WWTP","26505"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","10.9","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","2007","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2022-05-09","00:00","A01-0249","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-05-12","WV","Star City WWTP","26505"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.8","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","118548.468045","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2023-03-28","08:00","H01-0538","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-04-03","WV","Moundsville WWTP","26041"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","8.923","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","156635.43820625","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2021-09-08","00:00","A01-0030","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2021-09-20","WV","Star City WWTP","26505"
"0.41","ceres nanotrap","54083","","WV0082414","thermo magmax microbiome ultra nucleic acid isolation kit","0.171","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","136950.43668","copies/L wastewater","ddPCR","2101","no","rna","-1","","","","WV","2023-03-19","09:00","R01-0297","wwtp","","raw wastewater","24-hr time-weighted composite","54083-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-03-24","WV","Huttonsville WWTP","26273"
"4.99","ceres nanotrap","54083","","WV0020028","thermo magmax microbiome ultra nucleic acid isolation kit","1.5312","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","286415.383815","copies/L wastewater","ddPCR","13156","no","rna","-1","","","","WV","2022-09-22","06:00","R02-0133","wwtp","","raw wastewater","24-hr time-weighted composite","54083-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-09-29","WV","Elkins WWTP","26241"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","7.379","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","63112.5","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2021-11-04","00:00","A01-0081","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2021-11-18","WV","Star City WWTP","26505"
"8","ceres nanotrap","54033","","WV0023302","thermo magmax microbiome ultra nucleic acid isolation kit","10.386","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","78763.170534375","copies/L wastewater","ddPCR","26498","no","rna","-1","","","","WV","2023-07-30","07:00","N02-0390","wwtp","","raw wastewater","24-hr flow-weighted composite","54033-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-08-14","WV","Clarksburg WWTP","26301"
"8","ceres nanotrap","54033","","WV0023302","thermo magmax microbiome ultra nucleic acid isolation kit","5.86","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","129599.444113125","copies/L wastewater","ddPCR","26498","no","rna","-1","","","","WV","2023-10-09","07:00","N02-0444","wwtp","","raw wastewater","24-hr flow-weighted composite","54033-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-10-13","WV","Clarksburg WWTP","26301"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","12.4","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","573993.51583125","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2023-02-28","00:00","A01-0502","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-03-06","WV","Star City WWTP","26505"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","9.6","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","2153","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2025-05-20","12:00","A01-1253","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-06-03","WV","Star City WWTP","26505"
"2.34","ceres nanotrap","54051","","WVR030013","thermo magmax microbiome ultra nucleic acid isolation kit","1.3","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","77808.924628125","copies/L wastewater","ddPCR","12000","no","rna","-1","","","","WV","2021-11-23","08:00","H01-0049","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-003-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","Moundsville WWTP","26041"
"2.3","ceres nanotrap","54091","","WVG611883","thermo magmax microbiome ultra nucleic acid isolation kit","1.66","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","6135.17529331148","copies/L wastewater","ddPCR","6071","no","rna","-1","","","","WV","2024-04-07","08:00","O01-0478","wwtp","","raw wastewater","24-hr flow-weighted composite","54091-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2024-04-15","WV","Grafton WWTP","26354"
"0.25","ceres nanotrap","54049","","WV0024953","thermo magmax microbiome ultra nucleic acid isolation kit","0.158","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","531","copies/L wastewater","ddPCR","1091","no","rna","-1","","","","WV","2025-11-02","08:00","M03-0534","wwtp","","raw wastewater","24-hr time-weighted composite","54049-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-11-10","WV","Mannington WWTP","26582"
"0.7","ceres nanotrap","54053","","WV0022039","thermo magmax microbiome ultra nucleic acid isolation kit","0.24","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","RSV-A and RSV-B combined","https://www.bio-rad.com/digital-assays/assay-detail/dEXD77482599?_gl=1*wb42kj*_gcl_au*MTA0MjQ3Mzc0MC4xNzEyOTUzOTc2","RSV","394","copies/L wastewater","ddPCR","5515","no","rna","-1","","","","WV","2025-12-21","07:03","T01-0416","wwtp","","raw wastewater","24-hr time-weighted composite","54053-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-01-16","WV","Point Pleasant WWTP","25550"
"1.6","ceres nanotrap","54009","","WV0020273","thermo magmax microbiome ultra nucleic acid isolation kit","0.688","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","390864.4242","copies/L wastewater","ddPCR","6468","no","rna","-1","","","","WV","2022-05-25","06:00","S01-0015","wwtp","","raw wastewater","24-hr time-weighted composite","54009-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-06-06","WV","Follansbee WWTP","26037"
"10","ceres nanotrap","54069","","WVG640166","thermo magmax microbiome ultra nucleic acid isolation kit","8.489","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","396297.7176375","copies/L wastewater","ddPCR","50000","no","rna","-1","","","","WV","2022-12-07","07:00","C01-0323","wwtp","","raw wastewater","24-hr flow-weighted composite","54051-004-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-12-16","WV","Wheeling WWTP","26003"
"2.4","","54057","","WV0024392","","0.952","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfB","https://doi.org/10.1021/acs.estlett.2c00350","FLUBV","46449.2122828959","copies/L wastewater","ddPCR","8168","no","rna","-1","","","","WV","2026-03-15","08:00","G01-1004","wwtp","","raw wastewater","24-hr time-weighted composite","54057-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2026-03-19","WV","Keyser WWTP","26726"
"2.3","ceres nanotrap","54091","","WVG611883","thermo magmax microbiome ultra nucleic acid isolation kit","1.25","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n2","https://doi.org/10.1039/D0EW00946F","sars-cov-2","16077.973220625","copies/L wastewater","ddPCR","6071","no","rna","-1","","","","WV","2023-08-18","07:00","O01-0421","wwtp","","raw wastewater","24-hr flow-weighted composite","54091-001-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2023-08-25","WV","Grafton WWTP","26354"
"20.8","ceres nanotrap","54061","","WV0023124","thermo magmax microbiome ultra nucleic acid isolation kit","11.6","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","InfA1 and InfA2 combined","https://doi.org/10.1021/acs.estlett.2c00350","FLUAV","16113.7973517179","copies/L wastewater","ddPCR","48328","no","rna","-1","","","","WV","2025-12-17","12:00","A01-1436","wwtp","","raw wastewater","24-hr flow-weighted composite","54061-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2025-01-16","WV","Star City WWTP","26505"
"4.9","ceres nanotrap","54055","","WV0023094","thermo magmax microbiome ultra nucleic acid isolation kit","1.716","","not tested","none","not institution specific","ZooWVU","https://doi.org/10.1039/D0EW00946F","2855","1","Nanotrap concentration of raw influent and quantification by ddPCR","no","1","","no","n1","https://doi.org/10.1039/D0EW00946F","sars-cov-2","1957046.9212125","copies/L wastewater","ddPCR","36000","no","rna","-1","","","","WV","2022-07-21","09:03","E01-0146","wwtp","","raw wastewater","24-hr time-weighted composite","54055-002-01-00-00","https://doi.org/10.1038/s41598-020-80715-1","2022-08-01","WV","Princeton WWTP","24740"
